Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,610.00,610.00,610.00,610.00,500,610.00
2017-03-29,560.00,560.00,560.00,560.00,000,560.00
2017-03-28,560.00,560.00,560.00,560.00,000,560.00
2017-03-27,560.00,560.00,560.00,560.00,000,560.00
2017-03-24,560.00,560.00,560.00,560.00,000,560.00
2017-03-23,560.00,560.00,560.00,560.00,000,560.00
2017-03-22,560.00,560.00,560.00,560.00,000,560.00
2017-03-21,560.00,560.00,560.00,560.00,000,560.00
2017-03-20,560.00,560.00,560.00,560.00,000,560.00
2017-03-17,560.00,560.00,560.00,560.00,2000,560.00
2017-03-16,750.00,810.00,560.00,600.00,5900,600.00
2017-03-15,700.00,700.00,550.00,650.00,7300,650.00
2017-03-14,560.00,560.00,560.00,560.00,100,560.00
2017-03-13,448.00,448.00,448.00,448.00,100,448.00
2017-03-10,590.00,590.00,590.00,590.00,000,590.00
2017-03-09,590.00,590.00,590.00,590.00,000,590.00
2017-03-08,590.00,590.00,590.00,590.00,000,590.00
2017-03-07,590.00,590.00,590.00,590.00,000,590.00
2017-03-06,590.00,590.00,590.00,590.00,000,590.00
2017-03-03,590.00,590.00,590.00,590.00,000,590.00
2017-03-02,570.00,590.00,570.00,590.00,1900,590.00
2017-03-01,570.00,570.00,570.00,570.00,15000,570.00
2017-02-28,590.00,590.00,590.00,590.00,000,590.00
2017-02-27,590.00,590.00,590.00,590.00,000,590.00
2017-02-24,590.00,590.00,590.00,590.00,000,590.00
2017-02-23,590.00,590.00,590.00,590.00,000,590.00
2017-02-22,590.00,590.00,590.00,590.00,000,590.00
2017-02-21,590.00,590.00,590.00,590.00,000,590.00
2017-02-20,590.00,590.00,590.00,590.00,000,590.00
2017-02-17,590.00,590.00,590.00,590.00,000,590.00
2017-02-16,590.00,590.00,590.00,590.00,000,590.00
2017-02-15,590.00,590.00,590.00,590.00,000,590.00
2017-02-14,600.00,600.00,590.00,590.00,4000,590.00
2017-02-13,600.00,600.00,600.00,600.00,000,600.00
2017-02-10,600.00,600.00,590.00,600.00,25000,600.00
2017-02-09,590.00,600.00,590.00,600.00,105000,600.00
2017-02-08,590.00,600.00,570.00,590.00,156200,590.00
2017-02-07,590.00,600.00,590.00,600.00,80200,600.00
2017-02-06,600.00,600.00,600.00,600.00,50000,600.00
2017-02-03,580.00,600.00,580.00,600.00,37500,600.00
2017-02-02,580.00,580.00,580.00,580.00,000,580.00
2017-02-01,580.00,580.00,580.00,580.00,000,580.00
2017-01-31,580.00,580.00,580.00,580.00,000,580.00
2017-01-30,580.00,580.00,580.00,580.00,000,580.00
2017-01-27,580.00,580.00,580.00,580.00,000,580.00
2017-01-26,530.00,650.00,530.00,580.00,59400,580.00
2017-01-25,530.00,530.00,530.00,530.00,000,530.00
2017-01-24,500.00,530.00,500.00,530.00,4400,530.00
2017-01-23,555.00,555.00,424.00,424.00,100,424.00
2017-01-20,555.00,555.00,555.00,555.00,000,555.00
2017-01-19,555.00,555.00,555.00,555.00,000,555.00
2017-01-18,555.00,555.00,555.00,555.00,000,555.00
2017-01-17,555.00,555.00,555.00,555.00,000,555.00
2017-01-16,550.00,555.00,550.00,555.00,800,555.00
2017-01-13,550.00,550.00,550.00,550.00,2000,550.00
2017-01-12,550.00,550.00,550.00,550.00,000,550.00
2017-01-11,550.00,550.00,550.00,550.00,000,550.00
2017-01-10,550.00,550.00,550.00,550.00,5000,550.00
2017-01-09,550.00,550.00,550.00,550.00,000,550.00
2017-01-06,550.00,550.00,550.00,550.00,000,550.00
2017-01-05,550.00,550.00,550.00,550.00,000,550.00
2017-01-04,550.00,550.00,550.00,550.00,100,550.00
2017-01-03,550.00,550.00,550.00,550.00,5000,550.00
2017-01-02,550.00,550.00,550.00,550.00,000,550.00
2016-12-30,550.00,550.00,550.00,550.00,000,550.00
2016-12-29,550.00,550.00,550.00,550.00,000,550.00
2016-12-28,550.00,550.00,550.00,550.00,35000,550.00
2016-12-27,550.00,550.00,550.00,550.00,2800,550.00
2016-12-26,545.00,545.00,545.00,545.00,000,545.00
2016-12-23,550.00,550.00,545.00,545.00,7500,545.00
2016-12-22,550.00,550.00,550.00,550.00,200,550.00
2016-12-21,595.00,680.00,545.00,545.00,31600,545.00
2016-12-20,660.00,660.00,595.00,595.00,100,595.00
2016-12-19,660.00,660.00,660.00,660.00,000,660.00
2016-12-16,660.00,660.00,660.00,660.00,000,660.00
2016-12-15,660.00,660.00,660.00,660.00,000,660.00
2016-12-14,660.00,660.00,660.00,660.00,000,660.00
2016-12-13,660.00,660.00,660.00,660.00,000,660.00
2016-12-12,660.00,660.00,660.00,660.00,000,660.00
2016-12-09,660.00,660.00,660.00,660.00,000,660.00
2016-12-08,660.00,660.00,660.00,660.00,000,660.00
2016-12-07,670.00,670.00,655.00,660.00,2700,660.00
2016-12-06,645.00,645.00,645.00,645.00,000,645.00
2016-12-05,645.00,645.00,645.00,645.00,000,645.00
2016-12-02,645.00,645.00,645.00,645.00,000,645.00
