Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,322.00,330.00,320.00,322.00,14800,322.00
2017-03-29,318.00,318.00,318.00,318.00,3000,318.00
2017-03-28,318.00,318.00,318.00,318.00,000,318.00
2017-03-27,318.00,320.00,318.00,318.00,14000,318.00
2017-03-24,318.00,320.00,318.00,320.00,32400,320.00
2017-03-23,318.00,330.00,318.00,320.00,1281700,320.00
2017-03-22,320.00,324.00,316.00,316.00,34578800,316.00
2017-03-21,322.00,326.00,318.00,318.00,141800,318.00
2017-03-20,320.00,322.00,320.00,320.00,26023100,320.00
2017-03-17,330.00,330.00,320.00,320.00,23060500,320.00
2017-03-16,322.00,330.00,322.00,330.00,23100,330.00
2017-03-15,338.00,338.00,320.00,320.00,23000,320.00
2017-03-14,340.00,340.00,340.00,340.00,100,340.00
2017-03-13,330.00,330.00,330.00,330.00,9274600,330.00
2017-03-10,330.00,330.00,330.00,330.00,25000600,330.00
2017-03-09,330.00,330.00,330.00,330.00,3000100,330.00
2017-03-08,320.00,334.00,320.00,330.00,2016700,330.00
2017-03-07,320.00,320.00,320.00,320.00,65900,320.00
2017-03-06,330.00,330.00,320.00,320.00,2000200,320.00
2017-03-03,322.00,334.00,320.00,330.00,279900,330.00
2017-03-02,324.00,324.00,296.00,320.00,435400,320.00
2017-03-01,314.00,320.00,314.00,320.00,403200,320.00
2017-02-28,312.00,314.00,310.00,314.00,601700,314.00
2017-02-27,312.00,314.00,310.00,312.00,216300,312.00
2017-02-24,306.00,312.00,306.00,310.00,13700,310.00
2017-02-23,308.00,312.00,308.00,310.00,1607100,310.00
2017-02-22,302.00,308.00,302.00,308.00,60000,308.00
2017-02-21,302.00,308.00,302.00,308.00,105100,308.00
2017-02-20,302.00,302.00,300.00,302.00,135800,302.00
2017-02-17,304.00,308.00,302.00,302.00,84900,302.00
2017-02-16,306.00,310.00,302.00,304.00,752800,304.00
2017-02-15,306.00,306.00,306.00,306.00,000,306.00
2017-02-14,290.00,310.00,290.00,306.00,2151900,306.00
2017-02-13,284.00,290.00,270.00,290.00,1233100,290.00
2017-02-10,270.00,284.00,270.00,284.00,3500,284.00
2017-02-09,268.00,280.00,268.00,270.00,5600,270.00
2017-02-08,268.00,268.00,268.00,268.00,63000,268.00
2017-02-07,264.00,264.00,264.00,264.00,000,264.00
2017-02-06,262.00,264.00,262.00,264.00,18900,264.00
2017-02-03,262.00,262.00,262.00,262.00,1600,262.00
2017-02-02,262.00,268.00,262.00,262.00,35100,262.00
2017-02-01,268.00,268.00,260.00,260.00,73300,260.00
2017-01-31,268.00,270.00,268.00,268.00,30000,268.00
2017-01-30,264.00,270.00,260.00,270.00,39100,270.00
2017-01-27,260.00,264.00,258.00,264.00,46700,264.00
2017-01-26,260.00,260.00,260.00,260.00,000,260.00
2017-01-25,260.00,268.00,258.00,260.00,971200,260.00
2017-01-24,258.00,260.00,258.00,260.00,69700,260.00
2017-01-23,262.00,262.00,258.00,258.00,27300,258.00
2017-01-20,262.00,272.00,262.00,262.00,228300,262.00
2017-01-19,270.00,270.00,262.00,262.00,285700,262.00
2017-01-18,262.00,274.00,262.00,262.00,118300,262.00
2017-01-17,262.00,264.00,260.00,262.00,85000,262.00
2017-01-16,260.00,264.00,256.00,262.00,831700,262.00
2017-01-13,278.00,278.00,250.00,260.00,4808800,260.00
2017-01-12,292.00,292.00,280.00,286.00,200600,286.00
2017-01-11,300.00,300.00,292.00,292.00,2000,292.00
2017-01-10,302.00,302.00,280.00,300.00,10200,300.00
2017-01-09,330.00,330.00,302.00,302.00,3400,302.00
2017-01-06,340.00,340.00,330.00,330.00,102500,330.00
2017-01-05,340.00,340.00,320.00,340.00,1700,340.00
2017-01-04,354.00,354.00,314.00,340.00,35200,340.00
2017-01-03,354.00,354.00,346.00,354.00,133100,354.00
2017-01-02,354.00,354.00,354.00,354.00,000,354.00
2016-12-30,328.00,366.00,320.00,354.00,5761000,354.00
2016-12-29,312.00,338.00,312.00,328.00,1661000,328.00
2016-12-28,300.00,310.00,300.00,310.00,3025200,310.00
2016-12-27,254.00,300.00,250.00,300.00,2341600,300.00
2016-12-26,250.00,250.00,250.00,250.00,000,250.00
2016-12-23,250.00,250.00,250.00,250.00,35200,250.00
2016-12-22,250.00,250.00,250.00,250.00,11200,250.00
2016-12-21,260.00,260.00,250.00,252.00,54500,252.00
2016-12-20,260.00,260.00,260.00,260.00,365300,260.00
2016-12-19,278.00,300.00,260.00,260.00,730200,260.00
2016-12-16,262.00,270.00,262.00,262.00,139900,262.00
2016-12-15,264.00,268.00,260.00,262.00,329100,262.00
2016-12-14,262.00,270.00,262.00,262.00,2046100,262.00
2016-12-13,262.00,262.00,262.00,262.00,500000,262.00
2016-12-12,262.00,262.00,262.00,262.00,000,262.00
2016-12-09,262.00,270.00,262.00,262.00,1155000,262.00
2016-12-08,270.00,270.00,262.00,262.00,195200,262.00
2016-12-07,254.00,270.00,250.00,258.00,1503200,258.00
2016-12-06,268.00,268.00,250.00,250.00,60000,250.00
2016-12-05,270.00,270.00,270.00,270.00,300,270.00
2016-12-02,270.00,270.00,270.00,270.00,000,270.00
2016-12-01,270.00,270.00,270.00,270.00,000,270.00
2016-11-30,270.00,270.00,270.00,270.00,15000,270.00
2016-11-29,264.00,264.00,264.00,264.00,000,264.00
2016-11-28,264.00,264.00,264.00,264.00,000,264.00
2016-11-25,264.00,264.00,264.00,264.00,000,264.00
2016-11-24,264.00,264.00,264.00,264.00,000,264.00
2016-11-23,264.00,266.00,264.00,264.00,167700,264.00
2016-11-22,278.00,278.00,278.00,278.00,1000,278.00
2016-11-21,280.00,280.00,280.00,280.00,500,280.00
2016-11-18,280.00,280.00,280.00,280.00,000,280.00
2016-11-17,280.00,280.00,280.00,280.00,000,280.00
2016-11-16,280.00,280.00,280.00,280.00,000,280.00
2016-11-15,280.00,280.00,280.00,280.00,000,280.00
2016-11-14,280.00,280.00,280.00,280.00,600,280.00
2016-11-11,280.00,280.00,280.00,280.00,000,280.00
2016-11-10,280.00,280.00,280.00,280.00,000,280.00
2016-11-09,280.00,280.00,280.00,280.00,000,280.00
2016-11-08,280.00,280.00,280.00,280.00,1000,280.00
2016-11-07,280.00,290.00,280.00,290.00,4600,290.00
2016-11-04,280.00,280.00,280.00,280.00,112000,280.00
2016-11-03,284.00,284.00,280.00,280.00,300,280.00
2016-11-02,280.00,280.00,264.00,264.00,30500,264.00
2016-11-01,280.00,280.00,280.00,280.00,000,280.00
2016-10-31,280.00,280.00,280.00,280.00,5000,280.00
2016-10-28,282.00,284.00,280.00,280.00,900,280.00
2016-10-27,284.00,284.00,274.00,284.00,8400,284.00
2016-10-26,290.00,290.00,284.00,284.00,29700,284.00
2016-10-25,280.00,280.00,280.00,280.00,200,280.00
2016-10-24,290.00,292.00,290.00,290.00,4815100,290.00
2016-10-21,300.00,300.00,290.00,290.00,1600,290.00
2016-10-20,300.00,300.00,300.00,300.00,500000,300.00
2016-10-19,300.00,300.00,300.00,300.00,000,300.00
2016-10-18,300.00,300.00,300.00,300.00,1000,300.00
2016-10-17,312.00,312.00,312.00,312.00,000,312.00
2016-10-14,312.00,312.00,312.00,312.00,300,312.00
2016-10-13,314.00,314.00,312.00,312.00,2000,312.00
2016-10-12,316.00,316.00,316.00,316.00,000,316.00
2016-10-11,312.00,316.00,312.00,316.00,11200,316.00
2016-10-10,310.00,312.00,310.00,312.00,20000,312.00
2016-10-07,310.00,310.00,310.00,310.00,700,310.00
2016-10-06,318.00,318.00,318.00,318.00,000,318.00
2016-10-05,318.00,318.00,318.00,318.00,000,318.00
2016-10-04,298.00,318.00,298.00,318.00,100,318.00
2016-10-03,298.00,298.00,298.00,298.00,78700,298.00
2016-09-30,300.00,302.00,300.00,302.00,1244800,302.00
2016-09-29,300.00,300.00,300.00,300.00,1700,300.00
2016-09-28,300.00,300.00,300.00,300.00,15500,300.00
2016-09-27,310.00,310.00,310.00,310.00,1000,310.00
2016-09-26,310.00,310.00,310.00,310.00,50000,310.00
2016-09-23,310.00,310.00,310.00,310.00,000,310.00
2016-09-22,310.00,310.00,308.00,310.00,6500,310.00
2016-09-21,310.00,310.00,310.00,310.00,000,310.00
2016-09-20,310.00,310.00,310.00,310.00,000,310.00
2016-09-19,310.00,310.00,310.00,310.00,000,310.00
2016-09-16,310.00,318.00,310.00,310.00,118200,310.00
2016-09-15,308.00,310.00,308.00,310.00,173700,310.00
2016-09-14,300.00,316.00,300.00,310.00,2135300,310.00
2016-09-13,302.00,302.00,302.00,302.00,1700,302.00
2016-09-12,308.00,308.00,308.00,308.00,000,308.00
2016-09-09,308.00,308.00,308.00,308.00,000,308.00
2016-09-08,308.00,308.00,308.00,308.00,101700,308.00
2016-09-07,310.00,310.00,310.00,310.00,000,310.00
2016-09-06,304.00,310.00,304.00,310.00,15000,310.00
2016-09-05,302.00,312.00,302.00,312.00,5100,312.00
2016-09-02,302.00,302.00,302.00,302.00,400,302.00
2016-09-01,312.00,312.00,312.00,312.00,000,312.00
2016-08-31,302.00,312.00,302.00,312.00,200,312.00
2016-08-30,304.00,304.00,304.00,304.00,3400,304.00
2016-08-29,304.00,310.00,304.00,310.00,1600,310.00
2016-08-26,312.00,312.00,310.00,312.00,829000,312.00
2016-08-25,326.00,326.00,312.00,312.00,3400,312.00
2016-08-24,330.00,330.00,330.00,330.00,000,330.00
2016-08-23,330.00,330.00,330.00,330.00,100,330.00
2016-08-22,302.00,310.00,302.00,310.00,318900,310.00
2016-08-19,324.00,324.00,320.00,320.00,767600,320.00
2016-08-18,334.00,334.00,320.00,324.00,15700,324.00
2016-08-17,326.00,326.00,326.00,326.00,000,326.00
2016-08-16,326.00,326.00,326.00,326.00,100,326.00
2016-08-15,330.00,334.00,324.00,326.00,2147500,326.00
2016-08-12,330.00,332.00,328.00,330.00,2772200,330.00
2016-08-11,330.00,334.00,330.00,330.00,4636000,330.00
2016-08-10,330.00,334.00,330.00,330.00,215000,330.00
2016-08-09,330.00,338.00,330.00,334.00,486200,334.00
2016-08-08,330.00,330.00,330.00,330.00,200000,330.00
2016-08-05,330.00,330.00,330.00,330.00,151500,330.00
2016-08-04,330.00,330.00,330.00,330.00,204000,330.00
2016-08-03,338.00,338.00,338.00,338.00,200,338.00
2016-08-02,324.00,324.00,324.00,324.00,000,324.00
2016-08-01,328.00,328.00,324.00,324.00,2000,324.00
2016-07-29,326.00,330.00,326.00,328.00,213700,328.00
2016-07-28,328.00,328.00,326.00,326.00,3700,326.00
2016-07-27,328.00,334.00,328.00,328.00,225800,328.00
2016-07-26,330.00,330.00,328.00,328.00,2000,328.00
2016-07-25,330.00,334.00,330.00,330.00,91100,330.00
2016-07-22,334.00,334.00,330.00,330.00,395100,330.00
2016-07-21,312.00,334.00,312.00,322.00,216800,322.00
2016-07-20,314.00,314.00,314.00,314.00,900,314.00
2016-07-19,314.00,314.00,312.00,312.00,75700,312.00
2016-07-18,312.00,312.00,312.00,312.00,3000,312.00
2016-07-15,308.00,312.00,308.00,312.00,5000,312.00
2016-07-14,320.00,320.00,308.00,308.00,305900,308.00
2016-07-13,320.00,320.00,320.00,320.00,48900,320.00
2016-07-12,320.00,320.00,320.00,320.00,000,320.00
2016-07-11,320.00,320.00,320.00,320.00,000,320.00
2016-07-08,320.00,320.00,320.00,320.00,000,320.00
2016-07-07,320.00,320.00,320.00,320.00,000,320.00
2016-07-06,320.00,320.00,320.00,320.00,000,320.00
2016-07-05,320.00,320.00,320.00,320.00,000,320.00
2016-07-04,320.00,320.00,320.00,320.00,000,320.00
2016-07-01,324.00,324.00,320.00,320.00,700000,320.00
2016-06-30,330.00,330.00,328.00,328.00,56000,328.00
2016-06-28,326.00,340.00,324.00,338.00,1085200,338.00
2016-06-27,320.00,330.00,320.00,330.00,373200,330.00
2016-06-24,326.00,326.00,320.00,320.00,43600,320.00
2016-06-23,334.00,334.00,326.00,326.00,12300,326.00
2016-06-22,334.00,334.00,330.00,334.00,209400,334.00
2016-06-21,322.00,334.00,314.00,334.00,1185600,334.00
2016-06-20,330.00,330.00,320.00,320.00,189100,320.00
2016-06-17,312.00,326.00,310.00,326.00,1978300,326.00
2016-06-16,312.00,312.00,312.00,312.00,8000,312.00
2016-06-15,312.00,312.00,312.00,312.00,200,312.00
2016-06-14,328.00,328.00,328.00,328.00,000,328.00
2016-06-13,328.00,328.00,328.00,328.00,500,328.00
2016-06-10,310.00,310.00,310.00,310.00,000,310.00
2016-06-09,310.00,314.00,310.00,310.00,2210100,310.00
2016-06-08,312.00,312.00,312.00,312.00,11000,312.00
2016-06-07,310.00,330.00,310.00,330.00,5200,330.00
2016-06-06,312.00,312.00,310.00,310.00,90500,310.00
2016-06-03,318.00,318.00,312.00,312.00,115000,312.00
2016-06-02,322.00,322.00,320.00,320.00,22000,320.00
2016-06-01,334.00,334.00,322.00,322.00,11200,322.00
2016-05-31,334.00,334.00,324.00,334.00,241400,334.00
2016-05-30,320.00,334.00,320.00,334.00,179100,330.80
2016-05-27,320.00,330.00,320.00,320.00,264600,316.934
2016-05-26,320.00,334.00,320.00,320.00,1298800,316.934
2016-05-25,324.00,334.00,320.00,320.00,569000,316.934
2016-05-24,326.00,326.00,316.00,316.00,134000,312.972
2016-05-23,318.00,326.00,316.00,326.00,78200,322.877
2016-05-20,320.00,324.00,308.00,318.00,444600,314.953
2016-05-19,324.00,324.00,316.00,320.00,228400,316.934
2016-05-18,320.00,326.00,320.00,324.00,336100,320.896
2016-05-17,316.00,320.00,308.00,308.00,240300,305.049
2016-05-16,326.00,326.00,308.00,308.00,247000,305.049
2016-05-13,318.00,330.00,308.00,326.00,185300,322.877
2016-05-12,314.00,318.00,302.00,318.00,411400,314.953
2016-05-11,314.00,316.00,314.00,314.00,604600,310.992
2016-05-10,310.00,324.00,310.00,314.00,56900,310.992
2016-05-09,312.00,312.00,308.00,308.00,653400,305.049
2016-05-06,312.00,312.00,312.00,312.00,000,309.011
2016-05-05,312.00,312.00,312.00,312.00,000,309.011
2016-05-04,318.00,318.00,308.00,312.00,47500,309.011
2016-05-03,308.00,318.00,304.00,306.00,1106000,303.068
2016-05-02,300.00,312.00,300.00,302.00,343300,299.107
2016-04-29,308.00,309.00,300.00,300.00,177700,297.126
2016-04-28,306.00,340.00,299.00,308.00,536700,305.049
2016-04-27,290.00,300.00,290.00,297.00,3353500,294.154
2016-04-26,296.00,300.00,290.00,290.00,233600,287.222
2016-04-25,310.00,310.00,290.00,296.00,462500,293.164
2016-04-22,278.00,300.00,278.00,286.00,2934000,283.26
2016-04-21,273.00,297.00,270.00,276.00,1827200,273.356
2016-04-12,291.00,305.00,291.00,304.00,3509500,301.087
2016-04-08,290.00,296.00,283.00,296.00,119700,293.164
2016-04-07,282.00,285.00,280.00,282.00,3394900,279.298
2016-04-06,282.00,288.00,279.00,280.00,437200,277.317
2016-04-05,285.00,285.00,275.00,275.00,746500,272.365
2016-04-04,281.00,296.00,281.00,281.00,255300,278.308
2016-04-01,285.00,295.00,281.00,295.00,50400,292.174
2016-03-31,285.00,285.00,278.00,280.00,457700,277.317
2016-03-30,290.00,290.00,285.00,285.00,226400,282.269
2016-03-29,293.00,293.00,285.00,290.00,936400,287.222
2016-03-28,290.00,292.00,270.00,290.00,138200,287.222
2016-03-25,292.00,292.00,292.00,292.00,000,289.202
2016-03-24,290.00,295.00,290.00,292.00,1162400,289.202
2016-03-23,285.00,295.00,285.00,290.00,370300,287.222
2016-03-22,288.00,299.00,275.00,285.00,2008200,282.269
2016-03-21,273.00,315.00,273.00,288.00,3218500,285.241
2016-03-18,242.00,280.00,236.00,272.00,3531300,269.394
2016-03-17,240.00,247.00,234.00,234.00,4309300,231.758
2016-03-16,216.00,236.00,215.00,236.00,2253400,233.739
2016-03-15,210.00,217.00,204.00,215.00,2006200,212.94
2016-03-10,195.00,201.00,193.00,200.00,155500,198.084
2016-03-09,195.00,195.00,195.00,195.00,000,193.132
2016-03-08,199.00,199.00,191.00,195.00,151900,193.132
2016-03-07,199.00,199.00,194.00,197.00,197700,195.113
2016-03-04,204.00,204.00,199.00,199.00,54000,197.093
2016-03-03,205.00,210.00,199.00,199.00,155400,197.093
2016-03-02,202.00,205.00,199.00,199.00,56900,197.093
2016-03-01,199.00,203.00,198.00,199.00,110400,197.093
2016-02-29,193.00,198.00,193.00,198.00,100500,196.103
2016-02-26,199.00,199.00,193.00,193.00,125200,191.151
2016-02-25,200.00,200.00,195.00,195.00,161700,193.132
2016-02-24,189.00,200.00,189.00,200.00,147700,198.084
2016-02-23,197.00,198.00,178.00,197.00,300800,195.113
2016-02-22,195.00,197.00,195.00,197.00,94500,195.113
2016-02-19,197.00,197.00,195.00,195.00,68500,193.132
2016-02-18,199.00,199.00,195.00,195.00,245400,193.132
2016-02-17,195.00,199.00,195.00,197.00,300700,195.113
2016-02-16,195.00,201.00,194.00,197.00,96700,195.113
2016-02-15,195.00,195.00,190.00,195.00,106800,193.132
2016-02-12,198.00,198.00,196.00,196.00,1400,194.122
2016-02-11,196.00,205.00,191.00,197.00,81400,195.113
2016-02-10,196.00,197.00,190.00,195.00,313400,193.132
2016-02-09,194.00,196.00,194.00,195.00,67100,193.132
2016-02-08,194.00,194.00,194.00,194.00,000,192.141
2016-02-05,196.00,198.00,190.00,194.00,203800,192.141
2016-02-04,194.00,198.00,194.00,194.00,48400,192.141
2016-02-03,199.00,201.00,180.00,199.00,311700,197.093
2016-02-02,198.00,204.00,198.00,198.00,187000,196.103
2016-02-01,197.00,205.00,197.00,203.00,137600,201.055
2016-01-29,193.00,208.00,193.00,205.00,64100,203.036
2016-01-28,198.00,203.00,198.00,203.00,59300,201.055
2016-01-27,205.00,205.00,198.00,198.00,26000,196.103
2016-01-26,204.00,205.00,200.00,200.00,22600,198.084
2016-01-25,205.00,205.00,200.00,200.00,5600,198.084
2016-01-22,203.00,203.00,200.00,200.00,5100,198.084
2016-01-21,196.00,205.00,196.00,203.00,6700,201.055
2016-01-20,206.00,206.00,200.00,200.00,637500,198.084
2016-01-19,208.00,208.00,201.00,206.00,471000,204.026
2016-01-18,202.00,208.00,202.00,203.00,277000,201.055
2016-01-15,201.00,208.00,201.00,204.00,55900,202.046
2016-01-14,210.00,210.00,200.00,206.00,739900,204.026
2016-01-13,211.00,215.00,205.00,208.00,62200,206.007
2016-01-12,204.00,212.00,204.00,210.00,512900,207.988
2016-01-11,207.00,209.00,205.00,208.00,935100,206.007
2016-01-08,208.00,209.00,208.00,208.00,36900,206.007
2016-01-07,209.00,210.00,206.00,207.00,10700,205.017
2016-01-06,208.00,208.00,206.00,208.00,156200,206.007
2016-01-05,208.00,208.00,205.00,208.00,316900,206.007
2016-01-04,215.00,215.00,205.00,207.00,603300,205.017
2016-01-01,215.00,215.00,215.00,215.00,000,212.94
2015-12-31,215.00,215.00,215.00,215.00,000,212.94
2015-12-30,223.00,223.00,212.00,215.00,497000,212.94
2015-12-29,220.00,223.00,215.00,215.00,180000,212.94
2015-12-28,224.00,224.00,215.00,220.00,28000,217.892
2015-12-25,219.00,219.00,219.00,219.00,000,216.902
2015-12-24,219.00,219.00,219.00,219.00,000,216.902
2015-12-23,225.00,226.00,219.00,219.00,29700,216.902
2015-12-22,220.00,227.00,220.00,225.00,90700,222.844
2015-12-21,223.00,236.00,220.00,220.00,219100,217.892
2015-12-18,220.00,230.00,217.00,223.00,661700,220.863
2015-12-17,205.00,227.00,205.00,222.00,1960600,219.873
2015-12-16,205.00,210.00,204.00,205.00,15700,203.036
2015-12-15,210.00,210.00,202.00,203.00,54400,201.055
2015-12-14,207.00,220.00,205.00,205.00,41700,203.036
2015-12-11,211.00,212.00,207.00,207.00,18700,205.017
2015-12-10,213.00,213.00,205.00,212.00,224900,209.969
2015-12-09,213.00,213.00,213.00,213.00,000,210.959
2015-12-08,201.00,218.00,200.00,213.00,808000,210.959
2015-12-07,200.00,209.00,200.00,206.00,224700,204.026
2015-12-04,197.00,207.00,197.00,200.00,261700,198.084
