Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,340.00,346.00,320.00,340.00,91600,340.00
2017-03-29,376.00,376.00,356.00,356.00,200,356.00
2017-03-28,378.00,378.00,378.00,378.00,000,378.00
2017-03-27,378.00,380.00,370.00,378.00,18800,378.00
2017-03-24,362.00,400.00,360.00,378.00,14200,378.00
2017-03-23,478.00,478.00,478.00,478.00,000,478.00
2017-03-22,488.00,488.00,478.00,478.00,1600,478.00
2017-03-21,488.00,488.00,488.00,488.00,000,488.00
2017-03-20,488.00,488.00,488.00,488.00,000,488.00
2017-03-17,488.00,488.00,488.00,488.00,000,488.00
2017-03-16,488.00,488.00,488.00,488.00,200,488.00
2017-03-15,490.00,490.00,490.00,490.00,100,490.00
2017-03-14,492.00,492.00,492.00,492.00,000,492.00
2017-03-13,492.00,492.00,492.00,492.00,000,492.00
2017-03-10,492.00,492.00,492.00,492.00,100,492.00
2017-03-09,494.00,505.00,494.00,494.00,200,494.00
2017-03-08,500.00,500.00,500.00,500.00,000,500.00
2017-03-07,500.00,500.00,500.00,500.00,100,500.00
2017-03-06,484.00,484.00,484.00,484.00,000,484.00
2017-03-03,484.00,484.00,484.00,484.00,000,484.00
2017-03-02,484.00,484.00,484.00,484.00,000,484.00
2017-03-01,484.00,484.00,484.00,484.00,000,484.00
2017-02-28,486.00,486.00,484.00,484.00,300,484.00
2017-02-27,500.00,500.00,498.00,498.00,7800,498.00
2017-02-24,520.00,520.00,520.00,520.00,000,520.00
2017-02-23,520.00,520.00,520.00,520.00,100,520.00
2017-02-22,520.00,520.00,520.00,520.00,100,520.00
2017-02-21,492.00,492.00,492.00,492.00,100,492.00
2017-02-20,390.00,492.00,390.00,492.00,500,492.00
2017-02-17,400.00,400.00,394.00,394.00,600,394.00
2017-02-16,322.00,400.00,308.00,400.00,3900,400.00
2017-02-15,322.00,322.00,322.00,322.00,000,322.00
2017-02-14,322.00,322.00,322.00,322.00,000,322.00
2017-02-13,324.00,324.00,322.00,322.00,400,322.00
2017-02-10,344.00,344.00,324.00,324.00,200,324.00
