Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,80.00,85.00,79.00,80.00,24043400,80.00
2017-03-29,80.00,80.00,79.00,79.00,1049000,79.00
2017-03-28,80.00,80.00,80.00,80.00,000,80.00
2017-03-27,80.00,81.00,80.00,80.00,374800,80.00
2017-03-24,80.00,81.00,79.00,80.00,646000,80.00
2017-03-23,80.00,82.00,80.00,80.00,1036700,80.00
2017-03-22,82.00,82.00,80.00,80.00,1001300,80.00
2017-03-21,82.00,82.00,80.00,80.00,1027100,80.00
2017-03-20,80.00,83.00,80.00,80.00,857500,80.00
2017-03-17,81.00,82.00,80.00,80.00,568100,80.00
2017-03-16,82.00,83.00,80.00,81.00,1373000,81.00
2017-03-15,80.00,82.00,79.00,82.00,1250500,82.00
2017-03-14,80.00,81.00,79.00,80.00,1292000,80.00
2017-03-13,80.00,81.00,79.00,80.00,2938100,80.00
2017-03-10,80.00,80.00,78.00,80.00,3227300,80.00
2017-03-09,80.00,82.00,80.00,80.00,1931900,80.00
2017-03-08,81.00,82.00,81.00,82.00,6000,82.00
2017-03-07,81.00,83.00,81.00,81.00,440800,81.00
2017-03-06,81.00,82.00,80.00,81.00,208400,81.00
2017-03-03,82.00,82.00,80.00,81.00,230600,81.00
2017-03-02,79.00,82.00,79.00,81.00,536000,81.00
2017-03-01,80.00,83.00,78.00,80.00,1186400,80.00
2017-02-28,82.00,83.00,78.00,78.00,3264300,78.00
2017-02-27,84.00,84.00,82.00,82.00,212000,82.00
2017-02-24,84.00,84.00,82.00,82.00,1352200,82.00
2017-02-23,84.00,84.00,82.00,83.00,168400,83.00
2017-02-22,84.00,84.00,82.00,83.00,170600,83.00
2017-02-21,86.00,86.00,83.00,83.00,1089700,83.00
2017-02-20,86.00,87.00,84.00,85.00,278200,85.00
2017-02-17,85.00,87.00,84.00,84.00,141500,84.00
2017-02-16,85.00,86.00,85.00,85.00,117600,85.00
2017-02-15,85.00,85.00,85.00,85.00,000,85.00
2017-02-14,84.00,85.00,84.00,85.00,668500,85.00
2017-02-13,85.00,88.00,84.00,84.00,330300,84.00
2017-02-10,84.00,89.00,84.00,85.00,1311600,85.00
2017-02-09,84.00,88.00,83.00,84.00,2464000,84.00
2017-02-08,85.00,87.00,84.00,84.00,344100,84.00
2017-02-07,87.00,87.00,84.00,84.00,410200,84.00
2017-02-06,86.00,89.00,85.00,85.00,552000,85.00
2017-02-03,86.00,87.00,85.00,86.00,598300,86.00
2017-02-02,84.00,90.00,83.00,86.00,1911500,86.00
2017-02-01,84.00,87.00,84.00,84.00,883100,84.00
2017-01-31,84.00,87.00,84.00,84.00,143900,84.00
2017-01-30,85.00,86.00,83.00,84.00,734100,84.00
2017-01-27,85.00,87.00,85.00,85.00,119700,85.00
2017-01-26,84.00,86.00,83.00,85.00,400000,85.00
2017-01-25,86.00,88.00,84.00,84.00,3735100,84.00
2017-01-24,86.00,88.00,85.00,86.00,610800,86.00
2017-01-23,87.00,87.00,86.00,86.00,196100,86.00
2017-01-20,89.00,89.00,87.00,87.00,7822400,87.00
2017-01-19,89.00,89.00,88.00,89.00,79400,89.00
2017-01-18,89.00,89.00,88.00,88.00,1139400,88.00
2017-01-17,89.00,90.00,89.00,89.00,192900,89.00
2017-01-16,89.00,90.00,89.00,89.00,476900,89.00
2017-01-13,95.00,95.00,89.00,89.00,590300,89.00
2017-01-12,90.00,91.00,88.00,91.00,1351600,91.00
2017-01-11,90.00,91.00,89.00,90.00,1957100,90.00
2017-01-10,91.00,92.00,89.00,90.00,614300,90.00
2017-01-09,89.00,95.00,89.00,91.00,6223300,91.00
2017-01-06,90.00,90.00,89.00,89.00,1233400,89.00
2017-01-05,90.00,90.00,89.00,89.00,1300200,89.00
2017-01-04,92.00,94.00,89.00,90.00,2175200,90.00
2017-01-03,94.00,94.00,91.00,92.00,329100,92.00
2017-01-02,94.00,94.00,94.00,94.00,000,94.00
2016-12-30,90.00,94.00,88.00,94.00,6805500,94.00
2016-12-29,90.00,90.00,89.00,90.00,1277700,90.00
2016-12-28,92.00,92.00,90.00,90.00,1729300,90.00
2016-12-27,92.00,92.00,91.00,92.00,1267300,92.00
2016-12-26,92.00,92.00,92.00,92.00,000,92.00
2016-12-23,92.00,96.00,92.00,92.00,314100,92.00
2016-12-22,91.00,92.00,90.00,92.00,1508800,92.00
2016-12-21,92.00,93.00,91.00,92.00,1132800,92.00
2016-12-20,93.00,93.00,92.00,92.00,1107600,92.00
2016-12-19,92.00,93.00,92.00,93.00,1486700,93.00
2016-12-16,93.00,94.00,93.00,93.00,422100,93.00
2016-12-15,92.00,94.00,92.00,93.00,113000,93.00
2016-12-14,94.00,94.00,93.00,93.00,2173900,93.00
2016-12-13,95.00,95.00,94.00,94.00,515900,94.00
2016-12-12,95.00,95.00,95.00,95.00,000,95.00
2016-12-09,95.00,95.00,93.00,95.00,600300,95.00
2016-12-08,95.00,96.00,95.00,95.00,356200,95.00
2016-12-07,94.00,95.00,93.00,95.00,688800,95.00
2016-12-06,95.00,95.00,93.00,94.00,1375900,94.00
2016-12-05,94.00,95.00,93.00,95.00,2258800,95.00
2016-12-02,94.00,95.00,93.00,95.00,750600,95.00
2016-12-01,95.00,96.00,93.00,96.00,1239900,96.00
2016-11-30,93.00,95.00,91.00,95.00,7054100,95.00
2016-11-29,93.00,94.00,92.00,94.00,3331300,94.00
2016-11-28,94.00,94.00,93.00,94.00,2041700,94.00
2016-11-25,95.00,95.00,93.00,94.00,1506700,94.00
2016-11-24,97.00,97.00,93.00,94.00,633200,94.00
2016-11-23,93.00,96.00,93.00,95.00,2876300,95.00
2016-11-22,94.00,99.00,93.00,95.00,35005900,95.00
2016-11-21,95.00,95.00,93.00,94.00,2053600,94.00
2016-11-18,94.00,95.00,93.00,95.00,684100,95.00
2016-11-17,93.00,95.00,93.00,95.00,1709800,95.00
2016-11-16,94.00,95.00,93.00,95.00,1301800,95.00
2016-11-15,95.00,95.00,93.00,94.00,1125100,94.00
2016-11-14,95.00,95.00,93.00,94.00,4389100,94.00
2016-11-11,94.00,96.00,94.00,96.00,494200,96.00
2016-11-10,95.00,96.00,93.00,96.00,3305400,96.00
2016-11-09,96.00,96.00,93.00,94.00,4612300,94.00
2016-11-08,96.00,96.00,94.00,96.00,3721200,96.00
2016-11-07,96.00,97.00,93.00,96.00,14549400,96.00
2016-11-04,98.00,98.00,96.00,96.00,100100,96.00
2016-11-03,96.00,98.00,96.00,98.00,1209700,98.00
2016-11-02,96.00,98.00,96.00,98.00,7208100,98.00
2016-11-01,98.00,98.00,97.00,97.00,232200,97.00
2016-10-31,98.00,98.00,96.00,98.00,2008400,98.00
2016-10-28,100.00,100.00,96.00,98.00,1354900,98.00
2016-10-27,98.00,98.00,95.00,98.00,2247600,98.00
2016-10-26,97.00,98.00,96.00,98.00,41090200,98.00
2016-10-25,97.00,99.00,95.00,96.00,47008900,96.00
2016-10-24,96.00,96.00,95.00,96.00,1557700,96.00
2016-10-21,96.00,97.00,96.00,96.00,1211800,96.00
2016-10-20,97.00,98.00,95.00,96.00,5436700,96.00
2016-10-19,97.00,99.00,96.00,97.00,39463900,97.00
2016-10-18,97.00,99.00,97.00,98.00,56369800,98.00
2016-10-17,99.00,100.00,97.00,98.00,38472000,98.00
2016-10-14,97.00,99.00,97.00,98.00,39591000,98.00
2016-10-13,98.00,98.00,98.00,98.00,263100,98.00
2016-10-12,97.00,100.00,97.00,98.00,54364300,98.00
2016-10-11,99.00,99.00,97.00,98.00,151000,98.00
2016-10-10,100.00,100.00,97.00,99.00,35994000,99.00
2016-10-07,99.00,100.00,97.00,100.00,1403900,100.00
2016-10-06,100.00,101.00,99.00,99.00,7708400,99.00
2016-10-05,88.00,99.00,88.00,99.00,5206000,99.00
2016-10-04,98.00,100.00,96.00,97.00,6719600,97.00
2016-10-03,95.00,100.00,95.00,98.00,30555400,98.00
2016-09-30,98.00,100.00,96.00,99.00,12393800,99.00
2016-09-29,97.00,101.00,94.00,98.00,46346500,98.00
2016-09-28,93.00,98.00,93.00,98.00,33302700,98.00
2016-09-27,93.00,97.00,91.00,94.00,15661100,94.00
2016-09-26,95.00,95.00,92.00,93.00,28645900,93.00
2016-09-23,95.00,97.00,93.00,95.00,11372100,95.00
2016-09-22,97.00,98.00,95.00,95.00,11147200,95.00
2016-09-21,98.00,98.00,96.00,97.00,5517500,97.00
2016-09-20,99.00,99.00,97.00,97.00,10390100,97.00
2016-09-19,97.00,99.00,97.00,99.00,50541400,99.00
2016-09-16,98.00,99.00,97.00,98.00,25032100,98.00
2016-09-15,98.00,100.00,97.00,98.00,40507600,98.00
2016-09-14,100.00,100.00,97.00,100.00,11666600,100.00
2016-09-13,96.00,100.00,93.00,100.00,71709700,100.00
2016-09-12,97.00,97.00,97.00,97.00,000,97.00
2016-09-09,100.00,100.00,97.00,97.00,11945000,97.00
2016-09-08,100.00,100.00,98.00,99.00,15643400,99.00
2016-09-07,97.00,100.00,97.00,100.00,16252900,100.00
2016-09-06,98.00,98.00,96.00,97.00,7714600,97.00
2016-09-05,98.00,99.00,97.00,98.00,11113400,98.00
2016-09-02,99.00,99.00,98.00,99.00,3587700,99.00
2016-09-01,100.00,100.00,98.00,99.00,6463700,99.00
2016-08-31,99.00,100.00,98.00,100.00,13655300,100.00
2016-08-30,100.00,100.00,98.00,100.00,14124400,100.00
2016-08-29,100.00,100.00,98.00,100.00,18841700,100.00
2016-08-26,99.00,100.00,98.00,99.00,14679000,99.00
2016-08-25,100.00,100.00,99.00,100.00,5925200,100.00
2016-08-24,100.00,100.00,99.00,100.00,9867000,100.00
2016-08-23,100.00,100.00,98.00,100.00,12361300,100.00
2016-08-22,100.00,100.00,99.00,100.00,7504500,100.00
2016-08-19,100.00,100.00,99.00,100.00,4510400,100.00
2016-08-18,100.00,100.00,99.00,100.00,12180600,100.00
2016-08-17,100.00,100.00,100.00,100.00,000,100.00
2016-08-16,100.00,100.00,99.00,100.00,47940700,100.00
2016-08-15,100.00,100.00,99.00,100.00,52666600,100.00
2016-08-12,100.00,101.00,98.00,100.00,58020000,100.00
2016-08-11,101.00,101.00,100.00,100.00,23595100,100.00
2016-08-10,100.00,101.00,99.00,100.00,32635300,100.00
2016-08-09,101.00,101.00,99.00,100.00,34002300,100.00
2016-08-08,102.00,103.00,100.00,100.00,33742700,100.00
2016-08-05,101.00,102.00,100.00,102.00,32232100,102.00
2016-08-04,101.00,103.00,100.00,101.00,33421000,101.00
2016-08-03,101.00,103.00,100.00,103.00,28900400,103.00
2016-08-02,100.00,103.00,100.00,102.00,39061200,102.00
2016-08-01,103.00,103.00,100.00,103.00,41267700,103.00
2016-07-29,103.00,104.00,100.00,103.00,41665000,103.00
2016-07-28,103.00,106.00,101.00,103.00,99901000,103.00
2016-07-27,100.00,103.00,100.00,103.00,36064200,103.00
2016-07-26,100.00,101.00,99.00,100.00,26165000,100.00
2016-07-25,100.00,101.00,99.00,100.00,27660600,100.00
2016-07-22,101.00,101.00,99.00,100.00,39907700,100.00
2016-07-21,101.00,101.00,99.00,100.00,48398000,100.00
2016-07-20,100.00,102.00,99.00,100.00,39255500,100.00
2016-07-19,101.00,102.00,100.00,100.00,41940400,100.00
2016-07-18,103.00,103.00,100.00,101.00,9856600,101.00
2016-07-15,100.00,105.00,100.00,103.00,22791000,103.00
2016-07-14,101.00,105.00,100.00,100.00,34699300,100.00
2016-07-13,100.00,101.00,100.00,100.00,9450800,100.00
2016-07-12,102.00,102.00,100.00,100.00,13728000,100.00
2016-07-11,101.00,103.00,101.00,102.00,5258800,102.00
2016-07-08,100.00,100.00,100.00,100.00,000,100.00
2016-07-07,100.00,100.00,100.00,100.00,000,100.00
2016-07-06,100.00,100.00,100.00,100.00,000,100.00
2016-07-05,100.00,100.00,100.00,100.00,000,100.00
2016-07-04,100.00,100.00,100.00,100.00,000,100.00
2016-07-01,110.00,110.00,100.00,100.00,11191200,100.00
2016-06-30,100.00,107.00,100.00,105.00,66963900,105.00
2016-06-28,101.00,102.00,100.00,100.00,10302100,100.00
2016-06-27,100.00,103.00,100.00,100.00,11958600,100.00
2016-06-24,101.00,101.00,100.00,100.00,28590900,100.00
2016-06-23,102.00,104.00,101.00,101.00,2889900,101.00
2016-06-22,107.00,107.00,102.00,102.00,5741000,102.00
2016-06-21,100.00,107.00,100.00,105.00,15431400,105.00
