Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1805.00,1875.00,1805.00,1805.00,15000,1805.00
2017-03-29,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-28,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-27,1800.00,1800.00,1800.00,1800.00,1000,1800.00
2017-03-24,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-23,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-22,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-21,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-20,1900.00,1900.00,1800.00,1800.00,1800,1800.00
2017-03-17,1820.00,1820.00,1820.00,1820.00,100,1820.00
2017-03-16,1850.00,1850.00,1850.00,1850.00,200,1850.00
2017-03-15,1885.00,1885.00,1885.00,1885.00,000,1885.00
2017-03-14,1900.00,1900.00,1800.00,1885.00,500,1885.00
2017-03-13,1810.00,1810.00,1810.00,1810.00,31000,1810.00
2017-03-10,1870.00,1870.00,1870.00,1870.00,000,1870.00
2017-03-09,1870.00,1870.00,1870.00,1870.00,000,1870.00
2017-03-08,1870.00,1870.00,1870.00,1870.00,38800,1870.00
2017-03-07,1760.00,1870.00,1760.00,1870.00,500,1870.00
2017-03-06,1815.00,1855.00,1815.00,1855.00,14600,1855.00
2017-03-03,1855.00,1855.00,1855.00,1855.00,000,1855.00
2017-03-02,1800.00,1860.00,1800.00,1855.00,3600,1855.00
2017-03-01,1810.00,1810.00,1810.00,1810.00,100,1810.00
2017-02-28,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-02-27,1810.00,1810.00,1810.00,1810.00,000,1810.00
2017-02-24,1810.00,1810.00,1810.00,1810.00,100,1810.00
2017-02-23,1785.00,1875.00,1780.00,1875.00,900,1875.00
2017-02-22,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-02-21,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-02-20,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-02-17,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-02-16,1780.00,1780.00,1780.00,1780.00,900,1780.00
2017-02-15,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-02-14,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-02-13,1780.00,1780.00,1780.00,1780.00,000,1780.00
2017-02-10,1900.00,1900.00,1780.00,1780.00,80200,1780.00
2017-02-09,1755.00,1900.00,1755.00,1900.00,45900,1900.00
2017-02-08,1760.00,1760.00,1755.00,1755.00,50000,1755.00
2017-02-07,2060.00,2060.00,1750.00,1750.00,85900,1750.00
2017-02-06,1805.00,1830.00,1805.00,1830.00,800,1830.00
2017-02-03,1805.00,1805.00,1805.00,1805.00,000,1805.00
2017-02-02,1805.00,1805.00,1805.00,1805.00,400,1805.00
2017-02-01,1810.00,1810.00,1810.00,1810.00,2000,1810.00
2017-01-31,1810.00,1810.00,1800.00,1810.00,700,1810.00
2017-01-30,1785.00,1810.00,1785.00,1810.00,200,1810.00
2017-01-27,1730.00,1785.00,1730.00,1785.00,6100,1785.00
2017-01-26,1730.00,1730.00,1720.00,1730.00,13400,1730.00
2017-01-25,1700.00,1730.00,1700.00,1730.00,16800,1730.00
2017-01-24,1700.00,1700.00,1700.00,1700.00,1000,1700.00
2017-01-23,1605.00,1700.00,1605.00,1700.00,5400,1700.00
2017-01-20,1700.00,1700.00,1605.00,1605.00,6800,1605.00
2017-01-19,1700.00,1700.00,1700.00,1700.00,100,1700.00
2017-01-18,1735.00,1735.00,1735.00,1735.00,000,1735.00
2017-01-17,1735.00,1735.00,1735.00,1735.00,000,1735.00
2017-01-16,1700.00,1735.00,1700.00,1735.00,6900,1735.00
2017-01-13,1655.00,1700.00,1650.00,1700.00,10900,1700.00
2017-01-12,1720.00,1720.00,1700.00,1700.00,30800,1700.00
2017-01-11,1800.00,1800.00,1680.00,1720.00,24900,1720.00
2017-01-10,1845.00,1845.00,1795.00,1800.00,800,1800.00
2017-01-09,1845.00,1845.00,1845.00,1845.00,000,1845.00
