Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,450.00,450.00,446.00,450.00,15800,450.00
2017-03-29,438.00,452.00,438.00,448.00,128800,448.00
2017-03-28,440.00,440.00,440.00,440.00,000,440.00
2017-03-27,440.00,450.00,434.00,440.00,66900,440.00
2017-03-24,432.00,432.00,432.00,432.00,000,432.00
2017-03-23,432.00,432.00,432.00,432.00,000,432.00
2017-03-22,434.00,434.00,432.00,432.00,100,432.00
2017-03-21,434.00,434.00,434.00,434.00,000,434.00
2017-03-20,434.00,434.00,434.00,434.00,000,434.00
2017-03-17,436.00,436.00,434.00,434.00,2000,434.00
2017-03-16,436.00,436.00,436.00,436.00,000,436.00
2017-03-15,436.00,436.00,436.00,436.00,100,436.00
2017-03-14,438.00,438.00,438.00,438.00,000,438.00
2017-03-13,438.00,438.00,438.00,438.00,600,438.00
2017-03-10,440.00,440.00,438.00,438.00,600,438.00
2017-03-09,440.00,440.00,440.00,440.00,000,440.00
2017-03-08,438.00,440.00,438.00,440.00,700,440.00
2017-03-07,438.00,438.00,438.00,438.00,000,438.00
2017-03-06,438.00,438.00,438.00,438.00,000,438.00
2017-03-03,438.00,438.00,438.00,438.00,7600,438.00
2017-03-02,438.00,438.00,438.00,438.00,000,438.00
2017-03-01,422.00,438.00,422.00,438.00,7400,438.00
2017-02-28,438.00,438.00,438.00,438.00,3500,438.00
2017-02-27,440.00,440.00,440.00,440.00,6000,440.00
2017-02-24,444.00,444.00,444.00,444.00,3000,444.00
2017-02-23,448.00,450.00,446.00,446.00,11800,446.00
2017-02-22,448.00,448.00,448.00,448.00,6100,448.00
2017-02-21,454.00,454.00,432.00,450.00,350900,450.00
2017-02-20,454.00,454.00,454.00,454.00,2000,454.00
2017-02-17,456.00,456.00,456.00,456.00,100,456.00
2017-02-16,456.00,456.00,456.00,456.00,300,456.00
2017-02-15,456.00,456.00,456.00,456.00,000,456.00
2017-02-14,458.00,458.00,456.00,456.00,7800,456.00
2017-02-13,458.00,458.00,458.00,458.00,2100,458.00
2017-02-10,456.00,458.00,456.00,458.00,1400,458.00
2017-02-09,456.00,456.00,456.00,456.00,000,456.00
2017-02-08,456.00,456.00,456.00,456.00,3300,456.00
2017-02-07,460.00,460.00,458.00,458.00,19500,458.00
2017-02-06,464.00,464.00,462.00,462.00,1300,462.00
2017-02-03,464.00,464.00,462.00,464.00,1800,464.00
2017-02-02,464.00,464.00,464.00,464.00,000,464.00
2017-02-01,464.00,464.00,464.00,464.00,000,464.00
2017-01-31,464.00,464.00,464.00,464.00,55000,464.00
2017-01-30,466.00,466.00,464.00,464.00,10100,464.00
2017-01-27,466.00,468.00,466.00,466.00,1000,466.00
2017-01-26,466.00,466.00,466.00,466.00,1500,466.00
2017-01-25,468.00,468.00,466.00,466.00,28600,466.00
2017-01-24,468.00,468.00,468.00,468.00,400,468.00
2017-01-23,470.00,470.00,468.00,468.00,9500,468.00
2017-01-20,470.00,472.00,470.00,470.00,38100,470.00
2017-01-19,478.00,478.00,470.00,470.00,53800,470.00
2017-01-18,480.00,480.00,480.00,480.00,8500,480.00
2017-01-17,482.00,482.00,480.00,480.00,17100,480.00
2017-01-16,482.00,482.00,480.00,482.00,19600,482.00
2017-01-13,482.00,482.00,482.00,482.00,2800,482.00
2017-01-12,476.00,480.00,474.00,480.00,30600,480.00
2017-01-11,478.00,478.00,476.00,476.00,6200,476.00
2017-01-10,478.00,478.00,478.00,478.00,000,478.00
2017-01-09,480.00,480.00,478.00,478.00,10100,478.00
2017-01-06,480.00,480.00,478.00,480.00,20700,480.00
2017-01-05,480.00,482.00,478.00,482.00,33600,482.00
2017-01-04,484.00,484.00,480.00,480.00,24400,480.00
2017-01-03,476.00,490.00,476.00,484.00,114500,484.00
2017-01-02,476.00,476.00,476.00,476.00,000,476.00
2016-12-30,460.00,478.00,460.00,476.00,183900,476.00
2016-12-29,460.00,460.00,458.00,458.00,19400,458.00
2016-12-28,460.00,460.00,460.00,460.00,5000,460.00
2016-12-27,460.00,462.00,460.00,460.00,178800,460.00
2016-12-26,460.00,460.00,460.00,460.00,000,460.00
2016-12-23,456.00,460.00,450.00,460.00,1171900,460.00
2016-12-22,458.00,460.00,454.00,458.00,23900,458.00
2016-12-21,462.00,462.00,458.00,460.00,29600,460.00
2016-12-20,470.00,470.00,462.00,462.00,59700,462.00
2016-12-19,470.00,470.00,458.00,470.00,129900,470.00
2016-12-16,474.00,476.00,460.00,472.00,317400,472.00
2016-12-15,476.00,500.00,458.00,474.00,612800,474.00
2016-12-14,452.00,510.00,452.00,474.00,1918900,474.00
2016-12-13,402.00,458.00,402.00,450.00,1474300,450.00
2016-12-12,402.00,402.00,402.00,402.00,000,402.00
2016-12-09,330.00,402.00,328.00,402.00,4092400,402.00
2016-12-08,296.00,346.00,296.00,328.00,4739600,328.00
2016-12-07,296.00,302.00,294.00,294.00,193600,294.00
2016-12-06,298.00,300.00,296.00,300.00,188700,300.00
2016-12-05,300.00,300.00,300.00,300.00,83800,300.00
2016-12-02,298.00,308.00,298.00,304.00,741700,304.00
2016-12-01,300.00,310.00,292.00,300.00,512900,300.00
2016-11-30,288.00,310.00,286.00,300.00,3311700,300.00
2016-11-29,290.00,290.00,280.00,286.00,289600,286.00
2016-11-28,280.00,298.00,280.00,290.00,1418100,290.00
2016-11-25,278.00,280.00,278.00,280.00,104000,280.00
2016-11-24,288.00,288.00,278.00,278.00,31700,278.00
2016-11-23,296.00,300.00,288.00,288.00,254200,288.00
2016-11-22,296.00,296.00,296.00,296.00,100,296.00
2016-11-21,294.00,294.00,294.00,294.00,000,294.00
2016-11-18,294.00,294.00,294.00,294.00,6500,294.00
2016-11-17,284.00,298.00,284.00,292.00,1133900,292.00
2016-11-16,274.00,300.00,272.00,284.00,1924900,284.00
2016-11-15,282.00,282.00,274.00,274.00,31300,274.00
2016-11-14,274.00,300.00,274.00,280.00,2211400,280.00
2016-11-11,278.00,278.00,274.00,274.00,40000,274.00
2016-11-10,278.00,280.00,278.00,278.00,210600,278.00
2016-11-09,276.00,276.00,276.00,276.00,100,276.00
2016-11-08,280.00,288.00,280.00,288.00,200,288.00
2016-11-07,290.00,290.00,282.00,288.00,400,288.00
2016-11-04,300.00,300.00,288.00,290.00,1300,290.00
2016-11-03,302.00,302.00,290.00,300.00,27300,300.00
2016-11-02,310.00,310.00,294.00,308.00,14000,308.00
2016-11-01,294.00,340.00,294.00,310.00,5515000,310.00
2016-10-31,294.00,294.00,294.00,294.00,60000,294.00
2016-10-28,274.00,292.00,274.00,292.00,21500,292.00
2016-10-27,280.00,292.00,280.00,292.00,42000,292.00
2016-10-26,278.00,296.00,278.00,294.00,920500,294.00
2016-10-25,276.00,276.00,276.00,276.00,100,276.00
2016-10-24,288.00,296.00,272.00,292.00,510200,292.00
2016-10-21,282.00,288.00,282.00,288.00,20000,288.00
2016-10-20,292.00,292.00,272.00,290.00,31100,290.00
2016-10-19,260.00,292.00,260.00,292.00,1359700,292.00
2016-10-18,274.00,274.00,264.00,264.00,22200,264.00
2016-10-17,274.00,274.00,274.00,274.00,15500,274.00
2016-10-14,268.00,286.00,268.00,274.00,2255400,274.00
2016-10-13,274.00,274.00,266.00,266.00,4600,266.00
2016-10-12,282.00,282.00,266.00,272.00,1615500,272.00
2016-10-11,288.00,288.00,284.00,288.00,132300,288.00
2016-10-10,282.00,300.00,282.00,288.00,890500,288.00
2016-10-07,270.00,284.00,270.00,282.00,141600,282.00
2016-10-06,294.00,294.00,284.00,284.00,80800,284.00
2016-10-05,272.00,298.00,270.00,294.00,1522500,294.00
2016-10-04,266.00,282.00,264.00,280.00,1344700,280.00
2016-10-03,262.00,268.00,260.00,266.00,651800,266.00
2016-09-30,262.00,322.00,260.00,262.00,2350500,262.00
2016-09-29,254.00,278.00,254.00,262.00,4576200,262.00
2016-09-28,252.00,254.00,252.00,254.00,130900,254.00
2016-09-27,250.00,254.00,248.00,254.00,309000,254.00
2016-09-26,256.00,256.00,250.00,250.00,432600,250.00
2016-09-23,256.00,256.00,234.00,256.00,5205400,256.00
2016-09-22,228.00,250.00,226.00,234.00,4182500,234.00
2016-09-21,230.00,230.00,228.00,228.00,100900,228.00
2016-09-20,224.00,236.00,224.00,230.00,21788400,230.00
2016-09-19,226.00,236.00,224.00,228.00,795700,228.00
2016-09-16,230.00,240.00,224.00,230.00,1620700,230.00
2016-09-15,224.00,236.00,216.00,230.00,2911700,230.00
2016-09-14,212.00,250.00,212.00,224.00,28004100,224.00
2016-09-13,212.00,212.00,212.00,212.00,20000,212.00
2016-09-12,218.00,218.00,218.00,218.00,000,218.00
2016-09-09,224.00,224.00,218.00,218.00,90000,218.00
2016-09-08,220.00,224.00,220.00,224.00,112400,224.00
2016-09-07,218.00,232.00,218.00,224.00,1401400,224.00
2016-09-06,218.00,218.00,218.00,218.00,111300,218.00
2016-09-05,214.00,242.00,214.00,224.00,1983700,224.00
2016-09-02,212.00,214.00,212.00,214.00,19400,214.00
2016-09-01,222.00,222.00,218.00,218.00,8100,218.00
2016-08-31,226.00,226.00,222.00,222.00,51400,222.00
2016-08-30,222.00,228.00,222.00,228.00,49800,228.00
2016-08-29,222.00,236.00,222.00,228.00,1298800,228.00
2016-08-26,224.00,224.00,222.00,222.00,700,222.00
2016-08-25,224.00,224.00,224.00,224.00,000,224.00
2016-08-24,224.00,224.00,224.00,224.00,000,224.00
2016-08-23,222.00,224.00,222.00,224.00,303400,224.00
2016-08-22,224.00,224.00,218.00,224.00,182800,224.00
