Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,3790.00,3800.00,3750.00,3790.00,2800,3790.00
2017-03-29,3850.00,3850.00,3850.00,3850.00,20000,3850.00
2017-03-28,3830.00,3830.00,3830.00,3830.00,000,3830.00
2017-03-27,3830.00,3900.00,3750.00,3830.00,9300,3830.00
2017-03-24,3860.00,3860.00,3770.00,3850.00,300,3850.00
2017-03-23,3850.00,3900.00,3750.00,3850.00,5300,3850.00
2017-03-22,3900.00,3900.00,3720.00,3850.00,14000,3850.00
2017-03-21,3790.00,3870.00,3700.00,3870.00,50000,3870.00
2017-03-20,3790.00,3800.00,3700.00,3800.00,1600,3800.00
2017-03-17,3750.00,3850.00,3640.00,3700.00,400,3700.00
2017-03-16,3880.00,3880.00,3570.00,3750.00,48700,3750.00
2017-03-15,3880.00,3880.00,3760.00,3780.00,3200,3780.00
2017-03-14,3890.00,3890.00,3700.00,3780.00,8100,3780.00
2017-03-13,3790.00,3790.00,3790.00,3790.00,700,3790.00
2017-03-10,3940.00,3940.00,3620.00,3620.00,35800,3620.00
2017-03-09,3840.00,3840.00,3700.00,3840.00,11500,3840.00
2017-03-08,3790.00,3890.00,3710.00,3730.00,23700,3730.00
2017-03-07,4020.00,4020.00,3790.00,3790.00,7300,3790.00
2017-03-06,3920.00,3920.00,3920.00,3920.00,100,3920.00
2017-03-03,3940.00,3940.00,3780.00,3800.00,47600,3800.00
2017-03-02,3750.00,3840.00,3750.00,3840.00,35700,3840.00
2017-03-01,3900.00,3980.00,3790.00,3850.00,107900,3850.00
2017-02-28,3900.00,4000.00,3700.00,4000.00,255000,4000.00
2017-02-27,3930.00,3930.00,3740.00,3900.00,86400,3900.00
2017-02-24,3900.00,3900.00,3730.00,3830.00,11300,3830.00
2017-02-23,3940.00,3990.00,3750.00,3790.00,44400,3790.00
2017-02-22,3930.00,3930.00,3730.00,3840.00,6800,3840.00
2017-02-21,3850.00,3850.00,3640.00,3830.00,6400,3830.00
2017-02-20,3790.00,3790.00,3600.00,3780.00,106600,3780.00
2017-02-17,3690.00,3780.00,3690.00,3780.00,100,3780.00
2017-02-16,3780.00,3780.00,3680.00,3690.00,17100,3690.00
2017-02-15,3780.00,3780.00,3780.00,3780.00,000,3780.00
2017-02-14,3810.00,3810.00,3670.00,3780.00,71600,3780.00
2017-02-13,3830.00,3930.00,3750.00,3810.00,29200,3810.00
2017-02-10,3810.00,3900.00,3710.00,3830.00,1100,3830.00
2017-02-09,3890.00,3890.00,3770.00,3810.00,18800,3810.00
2017-02-08,3810.00,3900.00,3750.00,3890.00,72400,3890.00
2017-02-07,3900.00,3960.00,3810.00,3960.00,1000,3960.00
2017-02-06,4000.00,4000.00,3800.00,3980.00,9200,3980.00
2017-02-03,3900.00,4000.00,3720.00,4000.00,51300,4000.00
2017-02-02,4050.00,4050.00,3660.00,3900.00,41700,3900.00
2017-02-01,4000.00,4100.00,3620.00,3950.00,32400,3950.00
2017-01-31,4000.00,4000.00,3750.00,4000.00,76100,4000.00
2017-01-30,3780.00,3870.00,3600.00,3610.00,11600,3610.00
2017-01-27,3780.00,3780.00,3780.00,3780.00,100,3780.00
2017-01-26,3780.00,3800.00,3780.00,3780.00,300,3780.00
2017-01-25,3780.00,3780.00,3780.00,3780.00,100,3780.00
2017-01-24,3780.00,3780.00,3780.00,3780.00,100,3780.00
2017-01-23,3600.00,3750.00,3590.00,3650.00,10200,3650.00
2017-01-20,3780.00,3780.00,3600.00,3600.00,3500,3600.00
2017-01-19,3800.00,3800.00,3800.00,3800.00,000,3800.00
2017-01-18,3800.00,3800.00,3800.00,3800.00,100,3800.00
2017-01-17,3800.00,3800.00,3790.00,3800.00,500,3800.00
2017-01-16,3800.00,3800.00,3800.00,3800.00,000,3800.00
2017-01-13,3920.00,3920.00,3800.00,3800.00,1300,3800.00
2017-01-12,3700.00,3850.00,3700.00,3830.00,1000,3830.00
2017-01-11,3610.00,3700.00,3520.00,3700.00,5200,3700.00
2017-01-10,3520.00,3610.00,3520.00,3610.00,10100,3610.00
2017-01-09,3600.00,3600.00,3520.00,3520.00,100,3520.00
2017-01-06,3500.00,3620.00,3500.00,3600.00,13000,3600.00
2017-01-05,3520.00,3590.00,3520.00,3590.00,3500,3590.00
2017-01-04,3610.00,3610.00,3550.00,3610.00,3100,3610.00
2017-01-03,3800.00,3800.00,3600.00,3610.00,131800,3610.00
2017-01-02,3920.00,3920.00,3920.00,3920.00,000,3920.00
2016-12-30,3780.00,3920.00,3560.00,3920.00,864500,3920.00
2016-12-29,3890.00,3890.00,3780.00,3780.00,1100,3780.00
2016-12-28,3600.00,3650.00,3600.00,3650.00,50400,3650.00
2016-12-27,3600.00,3600.00,3600.00,3600.00,17100,3600.00
2016-12-26,3600.00,3600.00,3600.00,3600.00,000,3600.00
2016-12-23,3600.00,3600.00,3600.00,3600.00,200,3600.00
2016-12-22,3600.00,3600.00,3600.00,3600.00,000,3600.00
2016-12-21,3600.00,3600.00,3600.00,3600.00,1100,3600.00
2016-12-20,3640.00,3800.00,3600.00,3600.00,17100,3600.00
2016-12-19,3640.00,3640.00,3640.00,3640.00,000,3640.00
2016-12-16,3570.00,3640.00,3570.00,3640.00,100,3640.00
2016-12-15,3560.00,3570.00,3550.00,3570.00,4600,3570.00
