Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,226.00,226.00,226.00,226.00,000,226.00
2017-03-29,226.00,226.00,226.00,226.00,000,226.00
2017-03-28,226.00,226.00,226.00,226.00,000,226.00
2017-03-27,226.00,226.00,226.00,226.00,100,226.00
2017-03-24,226.00,226.00,226.00,226.00,000,226.00
2017-03-23,230.00,230.00,226.00,226.00,200,226.00
2017-03-22,220.00,234.00,202.00,230.00,10800,230.00
2017-03-21,220.00,220.00,220.00,220.00,000,220.00
2017-03-20,220.00,220.00,220.00,220.00,000,220.00
2017-03-17,220.00,220.00,220.00,220.00,000,220.00
2017-03-16,220.00,220.00,220.00,220.00,000,220.00
2017-03-15,202.00,220.00,202.00,220.00,4200,220.00
2017-03-14,204.00,218.00,204.00,218.00,2200,218.00
2017-03-13,218.00,218.00,204.00,218.00,300,218.00
2017-03-10,202.00,220.00,202.00,220.00,99500,220.00
2017-03-09,218.00,218.00,218.00,218.00,000,218.00
2017-03-08,210.00,220.00,180.00,218.00,292900,218.00
2017-03-07,210.00,210.00,210.00,210.00,10000,210.00
2017-03-06,224.00,224.00,224.00,224.00,000,224.00
2017-03-03,224.00,224.00,224.00,224.00,000,224.00
2017-03-02,224.00,224.00,224.00,224.00,000,224.00
2017-03-01,224.00,224.00,224.00,224.00,000,224.00
2017-02-28,224.00,224.00,224.00,224.00,000,224.00
2017-02-27,224.00,224.00,224.00,224.00,000,224.00
2017-02-24,224.00,224.00,224.00,224.00,000,224.00
2017-02-23,224.00,224.00,224.00,224.00,000,224.00
2017-02-22,224.00,224.00,224.00,224.00,000,224.00
2017-02-21,224.00,224.00,224.00,224.00,200,224.00
2017-02-20,218.00,218.00,218.00,218.00,000,218.00
2017-02-17,218.00,218.00,200.00,218.00,61100,218.00
2017-02-16,230.00,230.00,200.00,218.00,600,218.00
2017-02-15,230.00,230.00,230.00,230.00,000,230.00
2017-02-14,230.00,230.00,230.00,230.00,000,230.00
2017-02-13,230.00,230.00,230.00,230.00,000,230.00
2017-02-10,230.00,230.00,230.00,230.00,000,230.00
2017-02-09,230.00,230.00,230.00,230.00,000,230.00
2017-02-08,230.00,230.00,230.00,230.00,000,230.00
2017-02-07,230.00,230.00,230.00,230.00,000,230.00
2017-02-06,214.00,230.00,214.00,230.00,300,230.00
2017-02-03,214.00,214.00,214.00,214.00,000,214.00
2017-02-02,214.00,214.00,214.00,214.00,000,214.00
2017-02-01,214.00,214.00,214.00,214.00,100,214.00
2017-01-31,214.00,214.00,214.00,214.00,000,214.00
2017-01-30,214.00,214.00,214.00,214.00,000,214.00
2017-01-27,214.00,214.00,214.00,214.00,000,214.00
2017-01-26,214.00,214.00,214.00,214.00,000,214.00
2017-01-25,214.00,214.00,214.00,214.00,000,214.00
2017-01-24,200.00,214.00,200.00,214.00,10500,214.00
2017-01-23,200.00,200.00,200.00,200.00,6200,200.00
2017-01-20,200.00,200.00,200.00,200.00,20100,200.00
2017-01-19,200.00,200.00,200.00,200.00,000,200.00
2017-01-18,216.00,216.00,200.00,200.00,100,200.00
2017-01-17,216.00,216.00,216.00,216.00,000,216.00
2017-01-16,218.00,218.00,216.00,216.00,100,216.00
2017-01-13,218.00,218.00,218.00,218.00,000,218.00
2017-01-12,218.00,218.00,218.00,218.00,000,218.00
2017-01-11,218.00,218.00,218.00,218.00,000,218.00
2017-01-10,200.00,218.00,200.00,218.00,100,218.00
2017-01-09,202.00,202.00,200.00,200.00,52800,200.00
2017-01-06,202.00,202.00,202.00,202.00,000,202.00
2017-01-05,202.00,202.00,202.00,202.00,5000,202.00
2017-01-04,222.00,222.00,202.00,202.00,120000,202.00
2017-01-03,222.00,222.00,222.00,222.00,000,222.00
2017-01-02,222.00,222.00,222.00,222.00,000,222.00
2016-12-30,222.00,222.00,222.00,222.00,000,222.00
2016-12-29,222.00,222.00,222.00,222.00,000,222.00
2016-12-28,222.00,222.00,222.00,222.00,000,222.00
2016-12-27,222.00,222.00,222.00,222.00,000,222.00
2016-12-26,222.00,222.00,222.00,222.00,000,222.00
2016-12-23,202.00,222.00,202.00,222.00,8100,222.00
2016-12-22,216.00,216.00,200.00,200.00,5500,200.00
2016-12-21,200.00,208.00,200.00,208.00,300,208.00
2016-12-20,200.00,216.00,200.00,200.00,4500,200.00
2016-12-19,200.00,200.00,200.00,200.00,1500,200.00
2016-12-16,206.00,206.00,200.00,200.00,5300,200.00
2016-12-15,206.00,206.00,206.00,206.00,000,206.00
2016-12-14,202.00,206.00,202.00,206.00,300,206.00
2016-12-13,200.00,200.00,200.00,200.00,400,200.00
2016-12-12,200.00,200.00,200.00,200.00,000,200.00
2016-12-09,200.00,200.00,200.00,200.00,43600,200.00
2016-12-08,218.00,218.00,218.00,218.00,200,218.00
2016-12-07,199.00,210.00,199.00,210.00,10100,210.00
2016-12-06,210.00,210.00,210.00,210.00,100,210.00
2016-12-05,210.00,210.00,210.00,210.00,000,210.00
2016-12-02,210.00,210.00,210.00,210.00,000,210.00
2016-12-01,210.00,210.00,210.00,210.00,000,210.00
2016-11-30,210.00,210.00,210.00,210.00,000,210.00
2016-11-29,210.00,210.00,210.00,210.00,000,210.00
2016-11-28,216.00,216.00,210.00,210.00,100,210.00
2016-11-25,216.00,216.00,216.00,216.00,100,216.00
2016-11-24,218.00,220.00,218.00,220.00,30300,220.00
2016-11-23,208.00,208.00,208.00,208.00,100,208.00
2016-11-22,187.00,194.00,187.00,194.00,27900,194.00
2016-11-21,220.00,202.00,198.00,202.00,11700,202.00
2016-11-18,220.00,220.00,220.00,220.00,300,220.00
2016-11-17,210.00,220.00,210.00,220.00,200,220.00
2016-11-16,202.00,210.00,196.00,210.00,200,210.00
2016-11-15,204.00,204.00,202.00,202.00,1600,202.00
2016-11-14,220.00,220.00,206.00,218.00,92100,218.00
2016-11-11,228.00,228.00,228.00,228.00,200,228.00
2016-11-10,220.00,220.00,220.00,220.00,100,220.00
2016-11-09,220.00,220.00,220.00,220.00,000,220.00
2016-11-08,208.00,220.00,208.00,220.00,200,220.00
2016-11-07,200.00,228.00,200.00,228.00,200,228.00
2016-11-04,196.00,200.00,196.00,200.00,3100,200.00
2016-11-03,198.00,198.00,196.00,196.00,10000,196.00
2016-11-02,197.00,197.00,197.00,197.00,1200,197.00
2016-11-01,197.00,197.00,197.00,197.00,000,197.00
2016-10-31,197.00,197.00,197.00,197.00,000,197.00
2016-10-28,220.00,220.00,197.00,197.00,1200,197.00
2016-10-27,190.00,196.00,186.00,196.00,5700,196.00
2016-10-26,200.00,200.00,190.00,190.00,32700,190.00
2016-10-25,208.00,208.00,208.00,208.00,000,208.00
2016-10-24,210.00,210.00,191.00,208.00,30300,208.00
2016-10-21,210.00,240.00,210.00,210.00,18900,210.00
2016-10-20,210.00,210.00,210.00,210.00,100,210.00
2016-10-19,202.00,202.00,200.00,200.00,156600,200.00
2016-10-18,200.00,216.00,200.00,200.00,20200,200.00
2016-10-17,218.00,218.00,218.00,218.00,100,218.00
2016-10-14,218.00,218.00,218.00,218.00,31000,218.00
2016-10-13,190.00,202.00,190.00,202.00,20200,202.00
2016-10-12,202.00,218.00,202.00,206.00,12400,206.00
2016-10-11,208.00,216.00,196.00,196.00,200,196.00
2016-10-10,210.00,210.00,208.00,208.00,10000,208.00
2016-10-07,218.00,218.00,210.00,210.00,200,210.00
2016-10-06,212.00,212.00,204.00,204.00,41000,204.00
2016-10-05,212.00,214.00,212.00,212.00,38700,212.00
2016-10-04,214.00,216.00,214.00,214.00,120800,214.00
2016-10-03,214.00,214.00,214.00,214.00,49000,214.00
2016-09-30,214.00,228.00,214.00,228.00,100,228.00
2016-09-29,220.00,220.00,214.00,214.00,30000,214.00
2016-09-28,214.00,224.00,214.00,214.00,154500,214.00
2016-09-27,224.00,224.00,210.00,214.00,195800,214.00
2016-09-26,226.00,226.00,224.00,224.00,31300,224.00
2016-09-23,226.00,234.00,224.00,226.00,385100,226.00
2016-09-22,234.00,240.00,228.00,234.00,140200,234.00
2016-09-21,208.00,254.00,206.00,234.00,26628400,234.00
2016-09-20,206.00,210.00,206.00,206.00,317900,206.00
2016-09-19,199.00,212.00,194.00,206.00,1104200,206.00
2016-09-16,188.00,199.00,188.00,194.00,123100,194.00
2016-09-15,189.00,192.00,188.00,188.00,67300,188.00
2016-09-14,184.00,195.00,184.00,195.00,811200,195.00
2016-09-13,182.00,192.00,182.00,184.00,59700,184.00
2016-09-12,181.00,181.00,181.00,181.00,000,181.00
2016-09-09,182.00,185.00,178.00,181.00,332900,181.00
2016-09-08,178.00,182.00,175.00,178.00,106400,178.00
2016-09-07,185.00,185.00,176.00,182.00,153800,182.00
2016-09-06,186.00,186.00,175.00,183.00,35300,183.00
2016-09-05,226.00,226.00,186.00,186.00,583100,186.00
2016-09-02,232.00,258.00,206.00,206.00,10415500,206.00
2016-09-01,202.00,232.00,202.00,228.00,784400,228.00
2016-08-31,189.00,204.00,185.00,202.00,239900,202.00
2016-08-30,183.00,190.00,183.00,183.00,9900,183.00
2016-08-29,183.00,184.00,183.00,183.00,245800,183.00
2016-08-26,192.00,192.00,182.00,183.00,499900,183.00
2016-08-25,220.00,224.00,202.00,202.00,219300,202.00
2016-08-24,252.00,278.00,224.00,224.00,8486900,224.00
2016-08-23,185.00,248.00,185.00,248.00,2658300,248.00
2016-08-22,168.00,194.00,168.00,185.00,352700,185.00
2016-08-19,172.00,174.00,165.00,174.00,54800,174.00
2016-08-18,174.00,174.00,160.00,172.00,1400,172.00
2016-08-17,174.00,174.00,174.00,174.00,000,174.00
2016-08-16,178.00,178.00,166.00,174.00,2200,174.00
2016-08-15,176.00,178.00,176.00,178.00,200,178.00
2016-08-12,174.00,175.00,168.00,174.00,1500,174.00
2016-08-11,173.00,178.00,169.00,175.00,65700,175.00
2016-08-10,165.00,175.00,165.00,173.00,68700,173.00
2016-08-09,177.00,177.00,165.00,175.00,1600,175.00
2016-08-08,173.00,185.00,167.00,170.00,325900,170.00
2016-08-05,178.00,178.00,169.00,173.00,85000,173.00
2016-08-04,177.00,182.00,165.00,177.00,416400,177.00
2016-08-03,171.00,171.00,157.00,162.00,294000,162.00
2016-08-02,192.00,199.00,171.00,171.00,6704900,171.00
2016-08-01,168.00,190.00,168.00,190.00,835500,190.00
2016-07-29,175.00,175.00,152.00,168.00,305000,168.00
2016-07-28,166.00,166.00,166.00,166.00,000,166.00
2016-07-27,166.00,166.00,166.00,166.00,700,166.00
2016-07-26,169.00,186.00,153.00,166.00,3100,166.00
2016-07-25,166.00,170.00,166.00,169.00,11000,169.00
2016-07-22,164.00,165.00,160.00,160.00,46800,160.00
2016-07-21,165.00,167.00,155.00,155.00,72100,155.00
2016-07-20,163.00,165.00,162.00,165.00,10300,165.00
2016-07-19,161.00,163.00,161.00,163.00,200,163.00
2016-07-18,160.00,163.00,160.00,160.00,1900,160.00
2016-07-15,169.00,185.00,153.00,153.00,163000,153.00
2016-07-14,202.00,208.00,166.00,169.00,202500,169.00
2016-07-13,184.00,230.00,184.00,184.00,24900,184.00
2016-07-12,204.00,204.00,204.00,204.00,1100,204.00
2016-07-11,208.00,208.00,190.00,204.00,14200,204.00
2016-07-08,204.00,204.00,204.00,204.00,000,204.00
2016-07-07,204.00,204.00,204.00,204.00,000,204.00
2016-07-06,204.00,204.00,204.00,204.00,000,204.00
2016-07-05,204.00,204.00,204.00,204.00,000,204.00
2016-07-04,204.00,204.00,204.00,204.00,000,204.00
2016-07-01,202.00,216.00,202.00,204.00,14000,204.00
2016-06-30,224.00,224.00,224.00,224.00,500,224.00
2016-06-28,200.00,228.00,200.00,228.00,4200,228.00
2016-06-27,195.00,202.00,195.00,202.00,500,202.00
2016-06-24,199.00,199.00,199.00,199.00,000,199.00
2016-06-23,199.00,199.00,199.00,199.00,000,199.00
2016-06-22,199.00,199.00,199.00,199.00,000,199.00
2016-06-21,199.00,199.00,199.00,199.00,000,199.00
2016-06-20,194.00,199.00,194.00,199.00,5100,199.00
2016-06-17,200.00,200.00,200.00,200.00,000,200.00
2016-06-16,200.00,200.00,200.00,200.00,000,200.00
2016-06-15,200.00,200.00,200.00,200.00,100,200.00
2016-06-14,195.00,195.00,195.00,195.00,000,195.00
2016-06-13,195.00,195.00,195.00,195.00,000,195.00
2016-06-10,200.00,200.00,194.00,195.00,3500,195.00
2016-06-09,188.00,195.00,188.00,195.00,400,195.00
2016-06-08,189.00,189.00,187.00,187.00,7900,187.00
2016-06-07,195.00,195.00,195.00,195.00,000,195.00
2016-06-06,190.00,195.00,185.00,195.00,10800,195.00
2016-06-03,179.00,185.00,179.00,185.00,4300,185.00
2016-06-02,171.00,179.00,171.00,179.00,5500,179.00
2016-06-01,183.00,195.00,183.00,190.00,4900,190.00
2016-05-31,180.00,191.00,174.00,183.00,4600,183.00
2016-05-30,162.00,175.00,162.00,174.00,40000,174.00
2016-05-27,179.00,179.00,179.00,179.00,000,179.00
2016-05-26,195.00,195.00,176.00,179.00,700,179.00
2016-05-25,195.00,195.00,195.00,195.00,000,195.00
2016-05-24,195.00,195.00,195.00,195.00,000,195.00
2016-05-23,195.00,195.00,195.00,195.00,000,195.00
2016-05-20,190.00,195.00,190.00,195.00,200,195.00
2016-05-19,195.00,195.00,190.00,190.00,100,190.00
2016-05-18,195.00,195.00,195.00,195.00,100,195.00
2016-05-17,171.00,190.00,171.00,190.00,1900,190.00
2016-05-16,189.00,189.00,171.00,171.00,200,171.00
2016-05-13,184.00,199.00,184.00,190.00,13300,190.00
2016-05-12,184.00,184.00,184.00,184.00,100,184.00
2016-05-11,183.00,183.00,183.00,183.00,100,183.00
