Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,90.00,90.00,87.00,90.00,7617500,90.00
2017-03-29,85.00,87.00,82.00,87.00,6268500,87.00
2017-03-28,85.00,85.00,85.00,85.00,000,85.00
2017-03-27,85.00,89.00,84.00,85.00,3545900,85.00
2017-03-24,93.00,93.00,88.00,88.00,5121400,88.00
2017-03-23,90.00,99.00,87.00,92.00,73486700,92.00
2017-03-22,90.00,91.00,89.00,90.00,2965600,90.00
2017-03-21,94.00,98.00,89.00,89.00,28554900,89.00
2017-03-20,86.00,92.00,84.00,92.00,7700000,92.00
2017-03-17,86.00,92.00,85.00,86.00,13087800,86.00
2017-03-16,86.00,87.00,83.00,86.00,5394700,86.00
2017-03-15,94.00,94.00,86.00,86.00,12901000,86.00
2017-03-14,81.00,102.00,79.00,93.00,171493400,93.00
2017-03-13,82.00,85.00,78.00,81.00,2737300,81.00
2017-03-10,84.00,87.00,82.00,82.00,3950300,82.00
2017-03-09,84.00,102.00,84.00,84.00,114268900,84.00
2017-03-08,94.00,104.00,85.00,87.00,68811900,87.00
2017-03-07,73.00,94.00,72.00,94.00,75919600,94.00
2017-03-06,80.00,80.00,73.00,73.00,5035200,73.00
2017-03-03,78.00,81.00,76.00,78.00,1945700,78.00
2017-03-02,80.00,81.00,76.00,77.00,5098300,77.00
2017-03-01,85.00,89.00,78.00,80.00,5896000,80.00
2017-02-28,79.00,97.00,77.00,84.00,92474400,84.00
2017-02-27,85.00,87.00,75.00,79.00,28833300,79.00
2017-02-24,78.00,84.00,75.00,84.00,10762600,84.00
2017-02-23,79.00,81.00,73.00,78.00,1026100,78.00
2017-02-22,90.00,90.00,73.00,79.00,26250200,79.00
2017-02-21,90.00,95.00,84.00,85.00,31204200,85.00
2017-02-20,87.00,90.00,83.00,90.00,11503700,90.00
2017-02-17,88.00,99.00,82.00,86.00,80970900,86.00
2017-02-16,92.00,99.00,82.00,88.00,50467800,88.00
2017-02-15,92.00,92.00,92.00,92.00,000,92.00
2017-02-14,86.00,95.00,86.00,92.00,30186700,92.00
2017-02-13,91.00,103.00,77.00,86.00,86847600,86.00
2017-02-10,74.00,91.00,74.00,91.00,87595700,91.00
2017-02-09,70.00,79.00,67.00,74.00,58656800,74.00
2017-02-08,63.00,72.00,60.00,70.00,19413000,70.00
2017-02-07,57.00,64.00,57.00,62.00,2967600,62.00
2017-02-06,59.00,63.00,57.00,58.00,1602400,58.00
2017-02-03,60.00,63.00,58.00,59.00,834100,59.00
2017-02-02,60.00,64.00,59.00,60.00,3273400,60.00
2017-02-01,65.00,65.00,56.00,59.00,5129500,59.00
2017-01-31,65.00,71.00,59.00,65.00,6617300,65.00
2017-01-30,67.00,80.00,62.00,64.00,17585600,64.00
2017-01-27,50.00,67.00,50.00,67.00,27505100,67.00
2017-01-26,51.00,51.00,50.00,50.00,278800,50.00
2017-01-25,51.00,52.00,50.00,51.00,896000,51.00
2017-01-24,53.00,53.00,50.00,51.00,1722100,51.00
2017-01-23,53.00,55.00,51.00,52.00,988400,52.00
2017-01-20,50.00,58.00,50.00,53.00,8953700,53.00
2017-01-19,50.00,51.00,50.00,50.00,176600,50.00
2017-01-18,50.00,50.00,50.00,50.00,200,50.00
2017-01-17,50.00,50.00,50.00,50.00,100,50.00
2017-01-16,50.00,50.00,50.00,50.00,90000,50.00
2017-01-13,50.00,50.00,50.00,50.00,26000,50.00
2017-01-12,50.00,50.00,50.00,50.00,5000,50.00
2017-01-11,50.00,51.00,50.00,50.00,138400,50.00
2017-01-10,50.00,50.00,50.00,50.00,2600,50.00
2017-01-09,50.00,50.00,50.00,50.00,1900,50.00
2017-01-06,50.00,50.00,50.00,50.00,48900,50.00
2017-01-05,50.00,50.00,50.00,50.00,34400,50.00
2017-01-04,50.00,50.00,50.00,50.00,21100,50.00
2017-01-03,50.00,50.00,50.00,50.00,100,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,208900,50.00
2016-12-29,50.00,51.00,50.00,50.00,1602000,50.00
2016-12-28,50.00,51.00,50.00,50.00,8600,50.00
2016-12-27,50.00,51.00,50.00,50.00,230400,50.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,50.00,50.00,50.00,50.00,4900,50.00
2016-12-22,50.00,51.00,50.00,50.00,62300,50.00
2016-12-21,51.00,51.00,50.00,51.00,48800,51.00
2016-12-20,50.00,51.00,50.00,51.00,15000,51.00
2016-12-19,51.00,51.00,50.00,50.00,238000,50.00
2016-12-16,50.00,50.00,50.00,50.00,205000,50.00
2016-12-15,50.00,51.00,50.00,50.00,532800,50.00
2016-12-14,53.00,54.00,50.00,50.00,379800,50.00
2016-12-13,54.00,55.00,52.00,52.00,845500,52.00
2016-12-12,54.00,54.00,54.00,54.00,000,54.00
2016-12-09,50.00,61.00,50.00,54.00,6198900,54.00
2016-12-08,50.00,51.00,50.00,50.00,230200,50.00
2016-12-07,50.00,50.00,50.00,50.00,173600,50.00
2016-12-06,50.00,53.00,50.00,51.00,1086500,51.00
2016-12-05,50.00,50.00,50.00,50.00,1500,50.00
2016-12-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-01,50.00,50.00,50.00,50.00,400,50.00
2016-11-30,50.00,50.00,50.00,50.00,31800,50.00
2016-11-29,50.00,50.00,50.00,50.00,000,50.00
2016-11-28,50.00,50.00,50.00,50.00,70000,50.00
2016-11-25,50.00,50.00,50.00,50.00,30000,50.00
2016-11-24,51.00,51.00,50.00,50.00,176300,50.00
2016-11-23,50.00,51.00,50.00,50.00,130200,50.00
2016-11-22,51.00,51.00,50.00,50.00,3600,50.00
2016-11-21,50.00,51.00,50.00,50.00,12000,50.00
2016-11-18,50.00,50.00,50.00,50.00,000,50.00
2016-11-17,50.00,50.00,50.00,50.00,000,50.00
2016-11-16,50.00,50.00,50.00,50.00,100,50.00
2016-11-15,50.00,50.00,50.00,50.00,000,50.00
2016-11-14,51.00,51.00,50.00,50.00,6500,50.00
2016-11-11,50.00,50.00,50.00,50.00,000,50.00
2016-11-10,50.00,50.00,50.00,50.00,000,50.00
2016-11-09,50.00,50.00,50.00,50.00,000,50.00
2016-11-08,50.00,50.00,50.00,50.00,000,50.00
2016-11-07,50.00,51.00,50.00,50.00,31100,50.00
2016-11-04,50.00,50.00,50.00,50.00,4300,50.00
2016-11-03,50.00,50.00,50.00,50.00,27000,50.00
2016-11-02,50.00,50.00,50.00,50.00,000,50.00
2016-11-01,50.00,50.00,50.00,50.00,3600,50.00
2016-10-31,50.00,50.00,50.00,50.00,11700,50.00
2016-10-28,50.00,50.00,50.00,50.00,477700,50.00
2016-10-27,50.00,56.00,50.00,51.00,4868800,51.00
2016-10-26,50.00,51.00,50.00,51.00,403600,51.00
2016-10-25,50.00,50.00,50.00,50.00,367300,50.00
2016-10-24,50.00,50.00,50.00,50.00,6200,50.00
2016-10-21,50.00,50.00,50.00,50.00,168300,50.00
2016-10-20,50.00,51.00,50.00,51.00,1009400,51.00
2016-10-19,50.00,50.00,50.00,50.00,6100,50.00
2016-10-18,50.00,50.00,50.00,50.00,000,50.00
2016-10-17,50.00,50.00,50.00,50.00,000,50.00
2016-10-14,50.00,50.00,50.00,50.00,10200,50.00
2016-10-13,50.00,50.00,50.00,50.00,100,50.00
2016-10-12,50.00,50.00,50.00,50.00,000,50.00
2016-10-11,50.00,51.00,50.00,50.00,30100,50.00
2016-10-10,50.00,51.00,50.00,50.00,123700,50.00
2016-10-07,50.00,50.00,50.00,50.00,000,50.00
2016-10-06,50.00,50.00,50.00,50.00,000,50.00
2016-10-05,50.00,50.00,50.00,50.00,4700,50.00
2016-10-04,50.00,50.00,50.00,50.00,20000,50.00
2016-10-03,50.00,50.00,50.00,50.00,000,50.00
2016-09-30,50.00,50.00,50.00,50.00,000,50.00
2016-09-29,50.00,50.00,50.00,50.00,000,50.00
2016-09-28,50.00,50.00,50.00,50.00,000,50.00
2016-09-27,50.00,50.00,50.00,50.00,000,50.00
2016-09-26,50.00,50.00,50.00,50.00,000,50.00
2016-09-23,50.00,50.00,50.00,50.00,000,50.00
2016-09-22,50.00,50.00,50.00,50.00,000,50.00
2016-09-21,50.00,50.00,50.00,50.00,10300,50.00
2016-09-20,50.00,50.00,50.00,50.00,000,50.00
2016-09-19,50.00,50.00,50.00,50.00,000,50.00
2016-09-16,50.00,50.00,50.00,50.00,000,50.00
2016-09-15,50.00,50.00,50.00,50.00,100,50.00
2016-09-14,50.00,50.00,50.00,50.00,000,50.00
2016-09-13,50.00,50.00,50.00,50.00,000,50.00
2016-09-12,50.00,50.00,50.00,50.00,000,50.00
2016-09-09,50.00,50.00,50.00,50.00,000,50.00
2016-09-08,50.00,50.00,50.00,50.00,000,50.00
2016-09-07,50.00,50.00,50.00,50.00,20000,50.00
2016-09-06,50.00,50.00,50.00,50.00,000,50.00
2016-09-05,50.00,50.00,50.00,50.00,000,50.00
2016-09-02,50.00,50.00,50.00,50.00,000,50.00
2016-09-01,50.00,50.00,50.00,50.00,000,50.00
2016-08-31,50.00,50.00,50.00,50.00,000,50.00
2016-08-30,50.00,50.00,50.00,50.00,000,50.00
2016-08-29,50.00,50.00,50.00,50.00,000,50.00
2016-08-26,50.00,50.00,50.00,50.00,000,50.00
2016-08-25,50.00,50.00,50.00,50.00,000,50.00
2016-08-24,50.00,50.00,50.00,50.00,1000,50.00
2016-08-23,50.00,50.00,50.00,50.00,10000,50.00
2016-08-22,50.00,50.00,50.00,50.00,000,50.00
2016-08-19,50.00,50.00,50.00,50.00,000,50.00
2016-08-18,50.00,50.00,50.00,50.00,500,50.00
2016-08-17,50.00,50.00,50.00,50.00,000,50.00
2016-08-16,50.00,50.00,50.00,50.00,000,50.00
2016-08-15,50.00,50.00,50.00,50.00,6800,50.00
2016-08-12,51.00,51.00,50.00,50.00,109300,50.00
2016-08-11,50.00,51.00,50.00,50.00,141100,50.00
2016-08-10,50.00,51.00,50.00,50.00,84500,50.00
2016-08-09,50.00,50.00,50.00,50.00,000,50.00
2016-08-08,50.00,50.00,50.00,50.00,38000,50.00
2016-08-05,51.00,51.00,50.00,50.00,15100,50.00
2016-08-04,50.00,51.00,50.00,50.00,30000,50.00
2016-08-03,50.00,50.00,50.00,50.00,9300,50.00
2016-08-02,50.00,50.00,50.00,50.00,4400,50.00
2016-08-01,50.00,50.00,50.00,50.00,20600,50.00
2016-07-29,50.00,51.00,50.00,50.00,537700,50.00
2016-07-28,50.00,51.00,50.00,51.00,17300,51.00
2016-07-27,50.00,50.00,50.00,50.00,24000,50.00
2016-07-26,50.00,51.00,50.00,50.00,63100,50.00
2016-07-25,50.00,50.00,50.00,50.00,8200,50.00
2016-07-22,50.00,50.00,50.00,50.00,106500,50.00
2016-07-21,50.00,51.00,50.00,50.00,821200,50.00
2016-07-20,50.00,50.00,50.00,50.00,000,50.00
2016-07-19,50.00,50.00,50.00,50.00,000,50.00
2016-07-18,50.00,50.00,50.00,50.00,277100,50.00
2016-07-15,50.00,50.00,50.00,50.00,000,50.00
2016-07-14,50.00,50.00,50.00,50.00,100000,50.00
2016-07-13,50.00,51.00,50.00,50.00,66500,50.00
2016-07-12,50.00,50.00,50.00,50.00,22600,50.00
2016-07-11,50.00,50.00,50.00,50.00,5000,50.00
2016-07-08,50.00,50.00,50.00,50.00,000,50.00
2016-07-07,50.00,50.00,50.00,50.00,000,50.00
2016-07-06,50.00,50.00,50.00,50.00,000,50.00
2016-07-05,50.00,50.00,50.00,50.00,000,50.00
2016-07-04,50.00,50.00,50.00,50.00,000,50.00
2016-07-01,50.00,50.00,50.00,50.00,2500,50.00
2016-06-30,50.00,50.00,50.00,50.00,31000,50.00
2016-06-28,50.00,50.00,50.00,50.00,20000,50.00
2016-06-27,50.00,50.00,50.00,50.00,168500,50.00
2016-06-24,51.00,51.00,51.00,51.00,5000,51.00
2016-06-23,50.00,50.00,50.00,50.00,4500,50.00
2016-06-22,50.00,50.00,50.00,50.00,438300,50.00
2016-06-21,50.00,50.00,50.00,50.00,2000,50.00
2016-06-20,50.00,50.00,50.00,50.00,000,50.00
2016-06-17,50.00,50.00,50.00,50.00,309900,50.00
2016-06-16,50.00,50.00,50.00,50.00,2000,50.00
2016-06-15,50.00,50.00,50.00,50.00,30000,50.00
2016-06-14,50.00,50.00,50.00,50.00,000,50.00
2016-06-13,50.00,50.00,50.00,50.00,107500,50.00
2016-06-10,50.00,52.00,50.00,50.00,372600,50.00
2016-06-09,50.00,50.00,50.00,50.00,40000,50.00
2016-06-08,50.00,50.00,50.00,50.00,30000,50.00
2016-06-07,50.00,50.00,50.00,50.00,000,50.00
2016-06-06,50.00,50.00,50.00,50.00,10000,50.00
2016-06-03,50.00,50.00,50.00,50.00,6000,50.00
2016-06-02,50.00,50.00,50.00,50.00,000,50.00
2016-06-01,50.00,50.00,50.00,50.00,000,50.00
2016-05-31,50.00,50.00,50.00,50.00,180100,50.00
2016-05-30,50.00,50.00,50.00,50.00,000,50.00
2016-05-27,50.00,50.00,50.00,50.00,50400,50.00
2016-05-26,50.00,50.00,50.00,50.00,271300,50.00
2016-05-25,50.00,50.00,50.00,50.00,331200,50.00
2016-05-24,50.00,50.00,50.00,50.00,000,50.00
2016-05-23,50.00,50.00,50.00,50.00,000,50.00
2016-05-20,50.00,50.00,50.00,50.00,000,50.00
2016-05-19,50.00,50.00,50.00,50.00,000,50.00
2016-05-18,50.00,50.00,50.00,50.00,347500,50.00
