Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,114.00,114.00,111.00,114.00,7144100,114.00
2017-03-29,113.00,115.00,112.00,113.00,3864100,113.00
2017-03-28,113.00,113.00,113.00,113.00,000,113.00
2017-03-27,113.00,113.00,111.00,113.00,3605000,113.00
2017-03-24,112.00,113.00,110.00,112.00,2712700,112.00
2017-03-23,111.00,114.00,111.00,112.00,6242500,112.00
2017-03-22,108.00,114.00,108.00,111.00,10610200,111.00
2017-03-21,109.00,110.00,107.00,108.00,3104500,108.00
2017-03-20,108.00,111.00,107.00,109.00,9014100,109.00
2017-03-17,108.00,113.00,106.00,108.00,22579700,108.00
2017-03-16,105.00,108.00,104.00,108.00,20392300,108.00
2017-03-15,103.00,105.00,102.00,105.00,8123000,105.00
2017-03-14,103.00,104.00,102.00,103.00,17745400,103.00
2017-03-13,103.00,105.00,101.00,103.00,8726100,103.00
2017-03-10,106.00,106.00,102.00,103.00,27798000,103.00
2017-03-09,106.00,106.00,104.00,106.00,8113900,106.00
2017-03-08,105.00,105.00,104.00,105.00,5438500,105.00
2017-03-07,105.00,105.00,104.00,105.00,3933400,105.00
2017-03-06,106.00,106.00,104.00,105.00,5728900,105.00
2017-03-03,106.00,106.00,105.00,105.00,4335400,105.00
2017-03-02,105.00,106.00,104.00,106.00,6273200,106.00
2017-03-01,104.00,105.00,103.00,105.00,7095300,105.00
2017-02-28,105.00,105.00,103.00,104.00,13107500,104.00
2017-02-27,105.00,106.00,103.00,105.00,20113400,105.00
2017-02-24,105.00,106.00,102.00,105.00,13780900,105.00
2017-02-23,107.00,107.00,103.00,105.00,15915900,105.00
2017-02-22,108.00,108.00,103.00,107.00,9951900,107.00
2017-02-21,110.00,110.00,105.00,109.00,22064700,109.00
2017-02-20,110.00,111.00,109.00,110.00,5615500,110.00
2017-02-17,112.00,112.00,108.00,111.00,12105600,111.00
2017-02-16,113.00,114.00,110.00,112.00,19872800,112.00
2017-02-15,113.00,113.00,113.00,113.00,000,113.00
2017-02-14,115.00,115.00,112.00,113.00,19226800,113.00
2017-02-13,111.00,116.00,110.00,115.00,53373300,115.00
2017-02-10,111.00,113.00,110.00,111.00,12119800,111.00
2017-02-09,113.00,113.00,110.00,111.00,18634700,111.00
2017-02-08,116.00,116.00,111.00,113.00,12339700,113.00
2017-02-07,116.00,117.00,113.00,116.00,11420200,116.00
2017-02-06,118.00,119.00,115.00,116.00,15449100,116.00
2017-02-03,118.00,122.00,116.00,118.00,35742800,118.00
2017-02-02,114.00,122.00,113.00,118.00,95871100,118.00
2017-02-01,109.00,115.00,108.00,114.00,48932400,114.00
2017-01-31,109.00,109.00,107.00,109.00,7910500,109.00
2017-01-30,110.00,110.00,107.00,109.00,18818900,109.00
2017-01-27,111.00,112.00,109.00,110.00,16669700,110.00
2017-01-26,112.00,112.00,111.00,111.00,11940900,111.00
2017-01-25,112.00,115.00,110.00,112.00,28314200,112.00
2017-01-24,113.00,113.00,110.00,112.00,17974900,112.00
2017-01-23,112.00,115.00,111.00,112.00,17246500,112.00
2017-01-20,115.00,115.00,111.00,112.00,29545900,112.00
2017-01-19,118.00,118.00,113.00,115.00,33253700,115.00
2017-01-18,117.00,118.00,115.00,117.00,25350900,117.00
2017-01-17,118.00,121.00,116.00,117.00,77688100,117.00
2017-01-16,115.00,122.00,112.00,118.00,75043700,118.00
2017-01-13,119.00,120.00,112.00,115.00,29074300,115.00
2017-01-12,125.00,125.00,116.00,120.00,23446900,120.00
2017-01-11,129.00,136.00,120.00,125.00,39747300,125.00
2017-01-10,119.00,135.00,119.00,129.00,34146400,129.00
2017-01-09,116.00,143.00,116.00,119.00,16912600,119.00
2017-01-06,116.00,116.00,113.00,116.00,413500,116.00
2017-01-05,115.00,117.00,112.00,116.00,977900,116.00
2017-01-04,118.00,120.00,115.00,117.00,328900,117.00
2017-01-03,120.00,120.00,116.00,118.00,314700,118.00
2017-01-02,120.00,120.00,120.00,120.00,000,120.00
2016-12-30,120.00,121.00,118.00,120.00,1088300,120.00
2016-12-29,120.00,124.00,119.00,121.00,959400,121.00
2016-12-28,122.00,122.00,117.00,122.00,820000,122.00
2016-12-27,123.00,123.00,117.00,122.00,584000,122.00
2016-12-26,123.00,123.00,123.00,123.00,000,123.00
2016-12-23,122.00,125.00,118.00,123.00,277500,123.00
2016-12-22,127.00,127.00,122.00,124.00,289300,124.00
2016-12-21,131.00,131.00,127.00,127.00,205500,127.00
2016-12-20,133.00,133.00,128.00,131.00,553600,131.00
2016-12-19,134.00,134.00,128.00,133.00,1083900,133.00
2016-12-16,130.00,135.00,128.00,134.00,326500,134.00
2016-12-15,135.00,136.00,130.00,130.00,307900,130.00
2016-12-14,132.00,135.00,130.00,135.00,839600,135.00
2016-12-13,136.00,145.00,131.00,135.00,516300,135.00
2016-12-12,136.00,136.00,136.00,136.00,000,136.00
2016-12-09,138.00,138.00,136.00,136.00,156100,136.00
2016-12-08,142.00,142.00,131.00,138.00,430500,138.00
2016-12-07,142.00,143.00,138.00,139.00,584000,139.00
2016-12-06,145.00,145.00,142.00,142.00,272400,142.00
2016-12-05,144.00,148.00,142.00,144.00,209000,144.00
2016-12-02,145.00,145.00,140.00,145.00,414600,145.00
2016-12-01,146.00,150.00,140.00,145.00,693400,145.00
2016-11-30,146.00,150.00,145.00,146.00,360300,146.00
2016-11-29,142.00,146.00,141.00,146.00,185900,146.00
2016-11-28,147.00,147.00,139.00,145.00,4436000,145.00
2016-11-25,148.00,148.00,143.00,147.00,1182500,147.00
2016-11-24,151.00,151.00,145.00,149.00,350600,149.00
2016-11-23,155.00,157.00,149.00,154.00,1215400,154.00
2016-11-22,152.00,155.00,149.00,155.00,315600,155.00
2016-11-21,155.00,157.00,150.00,153.00,204400,153.00
2016-11-18,160.00,160.00,155.00,155.00,734000,155.00
2016-11-17,162.00,162.00,155.00,161.00,1387300,161.00
2016-11-16,161.00,168.00,155.00,162.00,2619500,162.00
2016-11-15,156.00,175.00,156.00,161.00,1413100,161.00
2016-11-14,155.00,164.00,152.00,161.00,995500,161.00
2016-11-11,170.00,170.00,155.00,165.00,531300,165.00
2016-11-10,170.00,175.00,168.00,170.00,769500,170.00
2016-11-09,165.00,168.00,161.00,168.00,7184400,168.00
2016-11-08,165.00,174.00,162.00,174.00,445000,174.00
2016-11-07,170.00,172.00,165.00,172.00,133600,172.00
2016-11-04,170.00,196.00,160.00,170.00,2794700,170.00
2016-11-03,165.00,170.00,165.00,170.00,103800,170.00
2016-11-02,173.00,173.00,165.00,170.00,79600,170.00
2016-11-01,169.00,172.00,160.00,171.00,55000,171.00
2016-10-31,165.00,169.00,160.00,169.00,342700,169.00
2016-10-28,160.00,170.00,158.00,165.00,335900,165.00
2016-10-27,163.00,165.00,155.00,165.00,2007700,165.00
2016-10-26,160.00,170.00,160.00,163.00,987300,163.00
2016-10-25,170.00,175.00,155.00,170.00,105600,170.00
2016-10-24,168.00,170.00,160.00,170.00,1465500,170.00
2016-10-21,175.00,175.00,165.00,168.00,626100,168.00
2016-10-20,180.00,180.00,168.00,176.00,258000,176.00
2016-10-19,185.00,185.00,177.00,178.00,221900,178.00
2016-10-18,187.00,187.00,180.00,180.00,232800,180.00
2016-10-17,187.00,187.00,180.00,185.00,22500,185.00
2016-10-14,183.00,200.00,171.00,187.00,34500,187.00
2016-10-13,195.00,195.00,185.00,187.00,48600,187.00
2016-10-12,192.00,195.00,189.00,189.00,12600,189.00
2016-10-11,189.00,195.00,173.00,186.00,604200,186.00
2016-10-10,192.00,194.00,189.00,189.00,59000,189.00
2016-10-07,190.00,195.00,180.00,192.00,56300,192.00
2016-10-06,188.00,200.00,185.00,192.00,13100,192.00
2016-10-05,192.00,192.00,186.00,190.00,208100,190.00
2016-10-04,196.00,198.00,192.00,193.00,74400,193.00
2016-10-03,195.00,196.00,195.00,196.00,236300,196.00
2016-09-30,200.00,200.00,196.00,199.00,253700,199.00
2016-09-29,202.00,210.00,195.00,200.00,349500,200.00
2016-09-28,200.00,210.00,200.00,202.00,11900,202.00
2016-09-27,200.00,200.00,198.00,198.00,176500,198.00
2016-09-26,200.00,202.00,200.00,200.00,274600,200.00
2016-09-23,202.00,206.00,202.00,202.00,1300,202.00
2016-09-22,210.00,210.00,202.00,206.00,292000,206.00
2016-09-21,210.00,210.00,210.00,210.00,000,210.00
2016-09-20,210.00,210.00,202.00,210.00,567800,210.00
2016-09-19,206.00,208.00,204.00,208.00,130300,208.00
2016-09-16,208.00,210.00,208.00,210.00,252300,210.00
2016-09-15,210.00,210.00,204.00,208.00,63900,208.00
2016-09-14,208.00,210.00,204.00,210.00,400000,210.00
2016-09-13,208.00,214.00,208.00,214.00,237600,214.00
2016-09-12,212.00,212.00,212.00,212.00,000,212.00
2016-09-09,210.00,214.00,202.00,212.00,350000,212.00
2016-09-08,210.00,216.00,206.00,216.00,104700,216.00
2016-09-07,206.00,214.00,206.00,214.00,39900,214.00
2016-09-06,210.00,212.00,210.00,212.00,68500,212.00
2016-09-05,208.00,216.00,208.00,214.00,59500,214.00
2016-09-02,212.00,212.00,210.00,212.00,99000,212.00
2016-09-01,216.00,216.00,208.00,214.00,57900,214.00
2016-08-31,210.00,216.00,210.00,216.00,202900,216.00
2016-08-30,208.00,214.00,208.00,214.00,211200,214.00
2016-08-29,210.00,214.00,208.00,214.00,12600,214.00
2016-08-26,210.00,214.00,208.00,214.00,345300,214.00
2016-08-25,212.00,214.00,206.00,214.00,50700,214.00
2016-08-24,210.00,212.00,200.00,212.00,375400,212.00
2016-08-23,210.00,214.00,208.00,214.00,9100,214.00
2016-08-22,210.00,214.00,210.00,212.00,107700,212.00
2016-08-19,212.00,212.00,210.00,212.00,45300,212.00
2016-08-18,210.00,214.00,210.00,212.00,129600,212.00
2016-08-17,216.00,216.00,216.00,216.00,000,216.00
2016-08-16,216.00,216.00,208.00,216.00,310900,216.00
2016-08-15,210.00,216.00,210.00,216.00,30100,216.00
2016-08-12,210.00,214.00,210.00,214.00,55000,214.00
2016-08-11,216.00,216.00,210.00,212.00,18700,212.00
2016-08-10,212.00,214.00,210.00,214.00,153000,214.00
2016-08-09,212.00,214.00,210.00,214.00,37100,214.00
2016-08-08,212.00,216.00,212.00,216.00,18700,216.00
2016-08-05,210.00,214.00,210.00,214.00,20800,214.00
2016-08-04,214.00,228.00,210.00,214.00,61400,214.00
2016-08-03,212.00,214.00,210.00,214.00,226300,214.00
2016-08-02,210.00,218.00,210.00,214.00,17900,214.00
2016-08-01,212.00,214.00,210.00,214.00,68000,214.00
2016-07-29,212.00,214.00,210.00,212.00,322300,212.00
2016-07-28,214.00,214.00,210.00,212.00,89100,212.00
2016-07-27,210.00,214.00,208.00,214.00,706700,214.00
2016-07-26,210.00,210.00,210.00,210.00,398300,210.00
2016-07-25,216.00,234.00,210.00,210.00,654500,210.00
2016-07-22,212.00,236.00,208.00,220.00,1284400,220.00
2016-07-21,212.00,212.00,208.00,210.00,144800,210.00
2016-07-20,208.00,212.00,208.00,212.00,28500,212.00
2016-07-19,210.00,216.00,206.00,210.00,28700,210.00
2016-07-18,210.00,224.00,210.00,210.00,139200,210.00
2016-07-15,210.00,212.00,206.00,210.00,12000,210.00
2016-07-14,210.00,210.00,202.00,210.00,77800,210.00
2016-07-13,210.00,212.00,206.00,210.00,92400,210.00
2016-07-12,214.00,214.00,206.00,210.00,23600,210.00
2016-07-11,212.00,218.00,206.00,208.00,184100,208.00
2016-07-08,210.00,210.00,210.00,210.00,000,210.00
2016-07-07,210.00,210.00,210.00,210.00,000,210.00
2016-07-06,210.00,210.00,210.00,210.00,000,210.00
2016-07-05,210.00,210.00,210.00,210.00,000,210.00
2016-07-04,210.00,210.00,210.00,210.00,000,210.00
2016-07-01,210.00,222.00,208.00,210.00,40200,210.00
2016-06-30,204.00,240.00,204.00,210.00,88400,210.00
2016-06-28,206.00,206.00,204.00,206.00,59100,206.00
2016-06-27,204.00,206.00,204.00,206.00,2082400,206.00
2016-06-24,208.00,214.00,200.00,206.00,3618800,206.00
2016-06-23,206.00,208.00,202.00,208.00,655100,208.00
2016-06-22,200.00,206.00,200.00,206.00,1457400,206.00
2016-06-21,200.00,202.00,200.00,202.00,710900,202.00
2016-06-20,198.00,199.00,196.00,199.00,2653600,199.00
2016-06-17,198.00,198.00,193.00,198.00,6114800,198.00
2016-06-16,198.00,198.00,190.00,198.00,4042400,198.00
2016-06-15,200.00,200.00,195.00,198.00,1862300,198.00
2016-06-14,200.00,200.00,195.00,200.00,2058000,200.00
2016-06-13,199.00,200.00,195.00,200.00,1555200,200.00
2016-06-10,199.00,199.00,199.00,199.00,5500,199.00
2016-06-09,197.00,199.00,197.00,199.00,3700,199.00
2016-06-08,200.00,200.00,197.00,197.00,25000,197.00
2016-06-07,196.00,197.00,193.00,197.00,40200,197.00
2016-06-06,199.00,199.00,195.00,196.00,23000,196.00
2016-06-03,199.00,199.00,196.00,198.00,24100,198.00
2016-06-02,195.00,198.00,190.00,198.00,74400,198.00
2016-06-01,196.00,196.00,191.00,195.00,90900,195.00
2016-05-31,193.00,197.00,190.00,196.00,27300,196.00
2016-05-30,190.00,199.00,190.00,199.00,43600,199.00
2016-05-27,198.00,198.00,190.00,195.00,211300,195.00
2016-05-26,200.00,200.00,200.00,200.00,700,200.00
2016-05-25,191.00,200.00,191.00,200.00,7500,200.00
2016-05-24,198.00,199.00,191.00,199.00,94800,199.00
2016-05-23,197.00,198.00,192.00,198.00,73000,198.00
2016-05-20,192.00,200.00,192.00,197.00,9300,197.00
2016-05-19,196.00,204.00,190.00,192.00,47400,192.00
2016-05-18,206.00,206.00,190.00,196.00,9000,196.00
2016-05-17,199.00,199.00,191.00,197.00,3600,197.00
2016-05-16,195.00,196.00,194.00,196.00,3200,196.00
2016-05-13,197.00,197.00,191.00,195.00,17100,195.00
2016-05-12,199.00,199.00,191.00,197.00,24400,197.00
2016-05-11,195.00,204.00,181.00,195.00,24800,195.00
2016-05-10,190.00,195.00,190.00,193.00,43000,193.00
2016-05-09,197.00,197.00,194.00,196.00,26800,196.00
2016-05-06,197.00,197.00,197.00,197.00,000,197.00
2016-05-05,197.00,197.00,197.00,197.00,000,197.00
2016-05-04,199.00,199.00,194.00,197.00,354600,197.00
2016-05-03,200.00,200.00,194.00,199.00,51500,199.00
2016-05-02,200.00,200.00,195.00,200.00,12600,200.00
2016-04-29,202.00,202.00,195.00,202.00,109200,202.00
2016-04-28,202.00,202.00,193.00,202.00,25900,202.00
2016-04-27,198.00,215.00,185.00,202.00,95500,202.00
2016-04-26,200.00,200.00,195.00,198.00,40200,198.00
2016-04-25,200.00,204.00,198.00,200.00,89200,200.00
2016-04-22,205.00,205.00,200.00,200.00,58200,200.00
2016-04-21,205.00,210.00,200.00,205.00,25600,205.00
2016-04-12,203.00,206.00,199.00,206.00,137900,206.00
2016-04-08,217.00,217.00,202.00,203.00,152600,203.00
2016-04-07,207.00,210.00,204.00,210.00,324400,210.00
2016-04-06,210.00,212.00,209.00,210.00,102500,210.00
2016-04-05,218.00,218.00,204.00,214.00,145600,214.00
2016-04-04,207.00,214.00,202.00,214.00,225800,214.00
2016-04-01,216.00,216.00,215.00,216.00,1300,216.00
2016-03-31,215.00,218.00,207.00,218.00,97100,218.00
2016-03-30,217.00,217.00,206.00,215.00,9000,215.00
2016-03-29,218.00,218.00,217.00,217.00,600,217.00
2016-03-28,219.00,219.00,215.00,219.00,10800,219.00
2016-03-25,217.00,217.00,217.00,217.00,000,217.00
2016-03-24,220.00,220.00,216.00,217.00,20700,217.00
2016-03-23,220.00,220.00,215.00,215.00,16200,215.00
2016-03-22,217.00,221.00,216.00,217.00,23600,217.00
2016-03-21,216.00,221.00,200.00,221.00,498700,221.00
2016-03-18,218.00,218.00,217.00,217.00,21400,217.00
2016-03-17,217.00,220.00,215.00,217.00,11300,217.00
2016-03-16,209.00,220.00,209.00,216.00,56000,216.00
2016-03-15,222.00,222.00,214.00,216.00,316200,216.00
2016-03-10,226.00,230.00,222.00,230.00,286900,230.00
2016-03-09,230.00,230.00,230.00,230.00,000,230.00
2016-03-08,230.00,237.00,221.00,230.00,265500,230.00
2016-03-07,230.00,230.00,221.00,229.00,73800,229.00
2016-03-04,218.00,225.00,218.00,225.00,69100,225.00
2016-03-03,225.00,233.00,215.00,224.00,1118700,224.00
2016-03-02,234.00,234.00,212.00,224.00,74500,224.00
2016-03-01,220.00,237.00,220.00,222.00,39100,222.00
2016-02-29,215.00,220.00,209.00,220.00,216500,220.00
2016-02-26,207.00,217.00,205.00,217.00,255000,217.00
2016-02-25,218.00,218.00,210.00,216.00,292000,216.00
2016-02-24,215.00,218.00,214.00,218.00,288700,218.00
2016-02-23,219.00,219.00,216.00,219.00,148400,219.00
2016-02-22,220.00,220.00,219.00,219.00,104300,219.00
2016-02-19,222.00,222.00,219.00,219.00,37100,219.00
2016-02-18,220.00,220.00,215.00,219.00,100200,219.00
2016-02-17,218.00,225.00,215.00,220.00,446500,220.00
2016-02-16,230.00,237.00,225.00,225.00,13800,225.00
2016-02-15,220.00,230.00,220.00,225.00,283800,225.00
2016-02-12,230.00,230.00,216.00,228.00,8500,228.00
2016-02-11,232.00,232.00,230.00,230.00,33700,230.00
2016-02-10,238.00,238.00,231.00,232.00,10500,232.00
2016-02-09,233.00,234.00,231.00,232.00,43300,232.00
2016-02-08,233.00,233.00,233.00,233.00,000,233.00
2016-02-05,234.00,239.00,232.00,233.00,54400,233.00
2016-02-04,232.00,234.00,230.00,234.00,265300,234.00
2016-02-03,240.00,240.00,234.00,234.00,26400,234.00
2016-02-02,234.00,234.00,230.00,234.00,8800,234.00
2016-02-01,242.00,245.00,234.00,234.00,26200,234.00
2016-01-29,241.00,242.00,230.00,236.00,22600,236.00
2016-01-28,236.00,236.00,234.00,236.00,11200,236.00
2016-01-27,236.00,236.00,225.00,236.00,72600,236.00
2016-01-26,234.00,239.00,234.00,236.00,19000,236.00
2016-01-25,235.00,244.00,234.00,236.00,6700,236.00
2016-01-22,241.00,247.00,235.00,235.00,10800,235.00
2016-01-21,236.00,236.00,230.00,235.00,10500,235.00
2016-01-20,239.00,239.00,230.00,237.00,17000,237.00
2016-01-19,240.00,240.00,234.00,239.00,136200,239.00
2016-01-18,242.00,242.00,235.00,241.00,4400,241.00
2016-01-15,241.00,241.00,239.00,241.00,17800,241.00
2016-01-14,241.00,249.00,241.00,241.00,19800,241.00
2016-01-13,242.00,242.00,239.00,241.00,14000,241.00
2016-01-12,243.00,243.00,242.00,242.00,4500,242.00
2016-01-11,244.00,249.00,242.00,243.00,33300,243.00
2016-01-08,245.00,250.00,231.00,243.00,29300,243.00
2016-01-07,245.00,245.00,243.00,245.00,12200,245.00
2016-01-06,245.00,250.00,243.00,245.00,2900,245.00
2016-01-05,252.00,253.00,245.00,246.00,17200,246.00
2016-01-04,268.00,268.00,245.00,250.00,56300,250.00
2016-01-01,250.00,250.00,250.00,250.00,000,250.00
2015-12-31,250.00,250.00,250.00,250.00,000,250.00
2015-12-30,247.00,250.00,246.00,250.00,1138500,250.00
2015-12-29,226.00,247.00,226.00,247.00,336900,247.00
2015-12-28,242.00,244.00,240.00,244.00,59100,244.00
2015-12-25,242.00,242.00,242.00,242.00,000,242.00
2015-12-24,242.00,242.00,242.00,242.00,000,242.00
2015-12-23,235.00,242.00,235.00,242.00,142000,242.00
2015-12-22,239.00,242.00,238.00,242.00,299100,242.00
2015-12-21,239.00,241.00,239.00,241.00,151100,241.00
2015-12-18,244.00,244.00,240.00,240.00,50500,240.00
2015-12-17,227.00,240.00,227.00,240.00,125600,240.00
2015-12-16,239.00,241.00,235.00,241.00,201300,241.00
2015-12-15,238.00,241.00,238.00,241.00,500,241.00
2015-12-14,225.00,239.00,225.00,239.00,103200,239.00
2015-12-11,227.00,240.00,219.00,238.00,21500,238.00
2015-12-10,240.00,244.00,233.00,240.00,106000,240.00
2015-12-09,240.00,240.00,240.00,240.00,000,240.00
2015-12-08,246.00,246.00,233.00,240.00,109200,240.00
2015-12-07,239.00,245.00,239.00,240.00,216400,240.00
2015-12-04,244.00,244.00,240.00,240.00,20200,240.00
2015-12-03,235.00,240.00,226.00,240.00,219600,240.00
2015-12-02,243.00,245.00,240.00,240.00,11400,240.00
2015-12-01,242.00,247.00,231.00,242.00,80100,242.00
2015-11-30,242.00,242.00,242.00,242.00,50300,242.00
2015-11-27,244.00,245.00,242.00,242.00,5700,242.00
2015-11-26,243.00,247.00,237.00,241.00,27800,241.00
2015-11-25,240.00,245.00,239.00,243.00,34200,243.00
2015-11-24,247.00,247.00,245.00,245.00,53800,245.00
2015-11-23,247.00,248.00,242.00,247.00,53500,247.00
2015-11-20,245.00,247.00,245.00,247.00,322800,247.00
2015-11-19,243.00,245.00,241.00,245.00,688000,245.00
2015-11-18,241.00,243.00,239.00,243.00,792400,243.00
2015-11-17,240.00,241.00,238.00,241.00,31000,241.00
2015-11-16,240.00,241.00,238.00,238.00,38500,238.00
2015-11-13,240.00,244.00,238.00,240.00,43500,240.00
2015-11-12,240.00,240.00,239.00,240.00,3400,240.00
2015-11-11,239.00,240.00,219.00,240.00,124100,240.00
2015-11-10,239.00,240.00,238.00,239.00,140400,239.00
2015-11-09,242.00,242.00,235.00,238.00,332800,238.00
2015-11-06,240.00,243.00,240.00,242.00,10500,242.00
2015-11-05,245.00,245.00,238.00,240.00,52000,240.00
2015-11-04,242.00,242.00,235.00,239.00,37900,239.00
2015-11-03,239.00,239.00,230.00,237.00,77200,237.00
2015-11-02,239.00,239.00,231.00,235.00,56400,235.00
2015-10-30,239.00,239.00,215.00,232.00,167200,232.00
2015-10-29,244.00,244.00,233.00,233.00,29300,233.00
2015-10-28,240.00,240.00,238.00,238.00,73800,238.00
2015-10-27,243.00,243.00,238.00,240.00,2162900,240.00
2015-10-26,244.00,244.00,239.00,240.00,3749000,240.00
2015-10-23,240.00,240.00,239.00,240.00,153300,240.00
2015-10-22,244.00,244.00,239.00,239.00,140800,239.00
