Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,720.00,740.00,680.00,720.00,292800,720.00
2017-03-29,740.00,755.00,705.00,735.00,735200,735.00
2017-03-28,740.00,740.00,740.00,740.00,000,740.00
2017-03-27,740.00,750.00,730.00,740.00,301300,740.00
2017-03-24,740.00,740.00,740.00,740.00,1400,740.00
2017-03-23,735.00,735.00,730.00,730.00,21600,730.00
2017-03-22,735.00,735.00,735.00,735.00,000,735.00
2017-03-21,725.00,735.00,725.00,735.00,456800,735.00
2017-03-20,725.00,725.00,725.00,725.00,300,725.00
2017-03-17,715.00,725.00,715.00,725.00,100,725.00
2017-03-16,715.00,715.00,715.00,715.00,000,715.00
2017-03-15,715.00,720.00,715.00,715.00,57900,715.00
2017-03-14,710.00,715.00,700.00,715.00,54100,715.00
2017-03-13,710.00,710.00,705.00,705.00,34700,705.00
2017-03-10,710.00,710.00,705.00,710.00,3000,710.00
2017-03-09,710.00,710.00,705.00,710.00,17000,710.00
2017-03-08,715.00,715.00,715.00,715.00,3400,715.00
2017-03-07,715.00,715.00,715.00,715.00,5100,715.00
2017-03-06,720.00,720.00,720.00,720.00,2700,720.00
2017-03-03,720.00,720.00,720.00,720.00,400,720.00
2017-03-02,710.00,720.00,705.00,720.00,193300,720.00
2017-03-01,710.00,715.00,710.00,715.00,159600,715.00
2017-02-28,715.00,720.00,710.00,715.00,1137400,715.00
2017-02-27,715.00,715.00,700.00,715.00,369800,715.00
2017-02-24,705.00,725.00,705.00,715.00,1442300,715.00
2017-02-23,705.00,720.00,700.00,705.00,1504500,705.00
2017-02-22,700.00,700.00,700.00,700.00,415900,700.00
2017-02-21,690.00,705.00,690.00,695.00,107300,695.00
2017-02-20,690.00,700.00,690.00,700.00,3287300,700.00
2017-02-17,675.00,690.00,675.00,690.00,111700,690.00
2017-02-16,680.00,680.00,675.00,675.00,12200,675.00
2017-02-15,680.00,680.00,680.00,680.00,000,680.00
2017-02-14,680.00,680.00,675.00,680.00,70700,680.00
2017-02-13,680.00,680.00,670.00,680.00,170100,680.00
2017-02-10,680.00,680.00,660.00,680.00,101000,680.00
2017-02-09,680.00,680.00,680.00,680.00,000,680.00
2017-02-08,680.00,680.00,680.00,680.00,1000,680.00
2017-02-07,660.00,685.00,660.00,680.00,104300,680.00
2017-02-06,660.00,690.00,660.00,690.00,4300,690.00
2017-02-03,655.00,670.00,655.00,660.00,913400,660.00
2017-02-02,630.00,680.00,630.00,655.00,611000,655.00
2017-02-01,650.00,650.00,645.00,645.00,27500,645.00
2017-01-31,650.00,650.00,635.00,650.00,1300,650.00
2017-01-30,650.00,650.00,650.00,650.00,600,650.00
2017-01-27,655.00,655.00,650.00,650.00,785500,650.00
2017-01-26,620.00,660.00,620.00,650.00,252700,650.00
2017-01-25,650.00,650.00,620.00,620.00,300,620.00
2017-01-24,650.00,650.00,650.00,650.00,400,650.00
2017-01-23,650.00,650.00,645.00,650.00,45500,650.00
2017-01-20,650.00,650.00,640.00,650.00,199500,650.00
2017-01-19,650.00,650.00,650.00,650.00,1900,650.00
2017-01-18,630.00,650.00,625.00,650.00,649200,650.00
2017-01-17,625.00,670.00,625.00,630.00,179400,630.00
2017-01-16,625.00,635.00,625.00,625.00,14900,625.00
2017-01-13,650.00,650.00,625.00,625.00,5600,625.00
2017-01-12,625.00,635.00,625.00,625.00,11300,625.00
