Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,2000.00,2000.00,2000.00,2000.00,100,2000.00
2017-03-29,1990.00,1995.00,1990.00,1995.00,1300,1995.00
2017-03-28,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-03-27,1990.00,1990.00,1985.00,1990.00,14800,1990.00
2017-03-24,1990.00,1990.00,1975.00,1985.00,73900,1985.00
2017-03-23,1995.00,2000.00,1990.00,1990.00,37300,1990.00
2017-03-22,1990.00,2000.00,1980.00,1995.00,99600,1995.00
2017-03-21,2000.00,2000.00,1995.00,1995.00,22700,1995.00
2017-03-20,2000.00,2000.00,2000.00,2000.00,1000,2000.00
2017-03-17,2020.00,2020.00,2000.00,2000.00,66800,2000.00
2017-03-16,2020.00,2020.00,2020.00,2020.00,26100,2020.00
2017-03-15,2020.00,2030.00,2010.00,2020.00,49400,2020.00
2017-03-14,2020.00,2030.00,2020.00,2020.00,24400,2020.00
2017-03-13,2020.00,2030.00,2020.00,2020.00,3800,2020.00
2017-03-10,2010.00,2020.00,2010.00,2020.00,25200,2020.00
2017-03-09,2010.00,2010.00,2010.00,2010.00,21000,2010.00
2017-03-08,1970.00,2000.00,1970.00,2000.00,82900,2000.00
2017-03-07,2020.00,2020.00,1910.00,1970.00,260500,1970.00
2017-03-06,2360.00,2470.00,2360.00,2470.00,342700,2470.00
2017-03-03,2350.00,2350.00,2340.00,2350.00,36100,2350.00
2017-03-02,2340.00,2350.00,2340.00,2350.00,27700,2350.00
2017-03-01,2330.00,2330.00,2330.00,2330.00,100,2330.00
2017-02-28,2330.00,2330.00,2330.00,2330.00,10000,2330.00
2017-02-27,2330.00,2330.00,2330.00,2330.00,4000,2330.00
2017-02-24,2330.00,2330.00,2330.00,2330.00,2200,2330.00
2017-02-23,2330.00,2330.00,2330.00,2330.00,19400,2330.00
2017-02-22,2340.00,2340.00,2330.00,2340.00,2600,2340.00
2017-02-21,2330.00,2330.00,2330.00,2330.00,6600,2330.00
2017-02-20,2310.00,2320.00,2310.00,2320.00,15700,2320.00
2017-02-17,2340.00,2340.00,2310.00,2310.00,45200,2310.00
2017-02-16,2330.00,2340.00,2330.00,2340.00,300,2340.00
2017-02-15,2330.00,2330.00,2330.00,2330.00,000,2330.00
2017-02-14,2340.00,2340.00,2330.00,2330.00,700,2330.00
2017-02-13,2330.00,2340.00,2330.00,2340.00,900,2340.00
2017-02-10,2320.00,2330.00,2320.00,2330.00,800,2330.00
2017-02-09,2330.00,2330.00,2320.00,2320.00,300,2320.00
2017-02-08,2330.00,2330.00,2330.00,2330.00,1000,2330.00
2017-02-07,2330.00,2330.00,2330.00,2330.00,000,2330.00
2017-02-06,2330.00,2330.00,2330.00,2330.00,1200,2330.00
2017-02-03,2330.00,2330.00,2330.00,2330.00,000,2330.00
2017-02-02,2330.00,2330.00,2330.00,2330.00,000,2330.00
2017-02-01,2330.00,2330.00,2330.00,2330.00,11000,2330.00
2017-01-31,2330.00,2330.00,2320.00,2330.00,16900,2330.00
2017-01-30,2320.00,2320.00,2320.00,2320.00,800,2320.00
2017-01-27,2320.00,2330.00,2320.00,2330.00,1000,2330.00
2017-01-26,2340.00,2340.00,2310.00,2320.00,2700,2320.00
2017-01-25,2340.00,2350.00,2340.00,2350.00,900,2350.00
2017-01-24,2340.00,2340.00,2340.00,2340.00,500,2340.00
2017-01-23,2340.00,2340.00,2330.00,2340.00,1400,2340.00
2017-01-20,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-01-19,2330.00,2340.00,2330.00,2340.00,1200,2340.00
2017-01-18,2310.00,2340.00,2310.00,2330.00,4700,2330.00
2017-01-17,2320.00,2320.00,2310.00,2310.00,1500,2310.00
2017-01-16,2270.00,2320.00,2270.00,2320.00,5700,2320.00
2017-01-13,2270.00,2270.00,2270.00,2270.00,000,2270.00
