Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,12925.00,12950.00,12300.00,12925.00,7215400,12925.00
2017-03-29,11800.00,12350.00,11775.00,12250.00,5768900,12250.00
2017-03-28,11750.00,11750.00,11750.00,11750.00,000,11750.00
2017-03-27,11750.00,11925.00,11575.00,11750.00,2689000,11750.00
2017-03-24,11725.00,11825.00,11700.00,11825.00,2724100,11825.00
2017-03-23,11650.00,11850.00,11575.00,11625.00,4454200,11625.00
2017-03-22,11250.00,11575.00,11150.00,11575.00,3505400,11575.00
2017-03-21,11325.00,11475.00,11325.00,11475.00,2048500,11475.00
2017-03-20,11450.00,11575.00,11250.00,11325.00,1701200,11325.00
2017-03-17,11450.00,11600.00,11250.00,11425.00,4726600,11425.00
2017-03-16,11200.00,11475.00,11100.00,11400.00,9278600,11400.00
2017-03-15,10800.00,10950.00,10700.00,10950.00,2510400,10950.00
2017-03-14,10550.00,10925.00,10550.00,10800.00,4924200,10800.00
2017-03-13,10375.00,10450.00,10200.00,10400.00,3276700,10400.00
2017-03-10,10775.00,10775.00,10325.00,10375.00,3228600,10375.00
2017-03-09,10850.00,10850.00,10725.00,10850.00,865200,10850.00
2017-03-08,11025.00,11075.00,10800.00,10800.00,1400900,10800.00
2017-03-07,10800.00,11100.00,10800.00,10950.00,2636000,10950.00
2017-03-06,10975.00,11025.00,10750.00,10750.00,1812100,10750.00
2017-03-03,11250.00,11250.00,10875.00,10975.00,2339000,10975.00
2017-03-02,11100.00,11275.00,11100.00,11200.00,1168500,11200.00
2017-03-01,11300.00,11300.00,11075.00,11125.00,1134600,11125.00
2017-02-28,11100.00,11200.00,11050.00,11175.00,2031100,11175.00
2017-02-27,11050.00,11300.00,11025.00,11025.00,1683100,11025.00
2017-02-24,11300.00,11375.00,11025.00,11150.00,2751200,11150.00
2017-02-23,11200.00,11350.00,11075.00,11300.00,1991000,11300.00
2017-02-22,11150.00,11325.00,11025.00,11200.00,2221900,11200.00
2017-02-21,11300.00,11400.00,11075.00,11250.00,6038100,11250.00
2017-02-20,10725.00,11100.00,10725.00,11100.00,2912400,11100.00
2017-02-17,10750.00,10800.00,10650.00,10675.00,1353100,10675.00
2017-02-16,11000.00,11075.00,10625.00,10750.00,4099200,10750.00
2017-02-15,10925.00,10925.00,10925.00,10925.00,000,10925.00
2017-02-14,11000.00,11125.00,10850.00,10925.00,1884300,10925.00
2017-02-13,11100.00,11150.00,11000.00,11075.00,1861000,11075.00
2017-02-10,11050.00,11150.00,10975.00,11000.00,2245000,11000.00
2017-02-09,11375.00,11400.00,11025.00,11075.00,2714900,11075.00
2017-02-08,11150.00,11450.00,10950.00,11400.00,5277600,11400.00
2017-02-07,11200.00,11200.00,10925.00,11000.00,3384600,11000.00
2017-02-06,11750.00,11750.00,11200.00,11200.00,4342800,11200.00
2017-02-03,11600.00,11750.00,11425.00,11750.00,1807300,11750.00
