Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,960.00,980.00,885.00,960.00,6537300,960.00
2017-03-29,850.00,900.00,850.00,885.00,2602600,885.00
2017-03-28,850.00,850.00,850.00,850.00,000,850.00
2017-03-27,850.00,875.00,825.00,850.00,608900,850.00
2017-03-24,830.00,830.00,815.00,830.00,107900,830.00
2017-03-23,810.00,855.00,810.00,830.00,219800,830.00
2017-03-22,830.00,830.00,805.00,810.00,316100,810.00
2017-03-21,830.00,830.00,815.00,830.00,106800,830.00
2017-03-20,835.00,845.00,830.00,830.00,180100,830.00
2017-03-17,805.00,850.00,790.00,835.00,859200,835.00
2017-03-16,800.00,810.00,800.00,805.00,155000,805.00
2017-03-15,795.00,815.00,795.00,805.00,432700,805.00
2017-03-14,780.00,805.00,770.00,795.00,441600,795.00
2017-03-13,815.00,815.00,775.00,790.00,567400,790.00
2017-03-10,845.00,845.00,780.00,815.00,1544800,815.00
2017-03-09,845.00,850.00,840.00,845.00,477000,845.00
2017-03-08,855.00,860.00,835.00,845.00,237800,845.00
2017-03-07,860.00,865.00,850.00,855.00,783500,855.00
2017-03-06,855.00,855.00,830.00,850.00,878300,850.00
2017-03-03,860.00,875.00,850.00,850.00,889200,850.00
2017-03-02,850.00,875.00,850.00,860.00,663500,860.00
2017-03-01,900.00,910.00,840.00,850.00,1970400,850.00
2017-02-28,835.00,915.00,835.00,890.00,5262600,890.00
2017-02-27,790.00,840.00,790.00,835.00,3089900,835.00
2017-02-24,780.00,780.00,770.00,780.00,1363900,780.00
2017-02-23,755.00,780.00,745.00,770.00,1396700,770.00
2017-02-22,770.00,775.00,750.00,755.00,436600,755.00
2017-02-21,765.00,790.00,760.00,765.00,639600,765.00
2017-02-20,750.00,770.00,750.00,760.00,491600,760.00
2017-02-17,740.00,755.00,740.00,750.00,258400,750.00
2017-02-16,770.00,770.00,740.00,740.00,569000,740.00
2017-02-15,770.00,770.00,770.00,770.00,000,770.00
2017-02-14,765.00,795.00,765.00,770.00,769300,770.00
2017-02-13,755.00,770.00,755.00,765.00,671400,765.00
2017-02-10,750.00,760.00,745.00,755.00,668600,755.00
2017-02-09,765.00,765.00,745.00,750.00,327400,750.00
2017-02-08,765.00,770.00,760.00,765.00,203100,765.00
2017-02-07,775.00,785.00,765.00,765.00,335700,765.00
2017-02-06,775.00,780.00,765.00,775.00,373400,775.00
2017-02-03,770.00,790.00,770.00,775.00,546100,775.00
2017-02-02,760.00,780.00,760.00,770.00,484700,770.00
2017-02-01,775.00,780.00,760.00,765.00,462300,765.00
2017-01-31,775.00,800.00,775.00,775.00,1615000,775.00
2017-01-30,750.00,790.00,750.00,770.00,1069300,770.00
2017-01-27,755.00,780.00,745.00,750.00,1240000,750.00
2017-01-26,735.00,765.00,730.00,740.00,172200,740.00
2017-01-25,765.00,765.00,735.00,735.00,674400,735.00
2017-01-24,750.00,780.00,750.00,755.00,981800,755.00
2017-01-23,735.00,750.00,735.00,740.00,213300,740.00
2017-01-20,740.00,750.00,735.00,735.00,179100,735.00
2017-01-19,750.00,765.00,745.00,750.00,357600,750.00
2017-01-18,730.00,750.00,730.00,745.00,387200,745.00
2017-01-17,745.00,750.00,715.00,730.00,340000,730.00
2017-01-16,745.00,760.00,745.00,745.00,461700,745.00
2017-01-13,760.00,780.00,740.00,745.00,434700,745.00
2017-01-12,750.00,790.00,750.00,755.00,1735400,755.00
2017-01-11,720.00,780.00,720.00,750.00,1202100,750.00
2017-01-10,740.00,740.00,720.00,720.00,258900,720.00
