Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,191.00,192.00,188.00,191.00,165200,191.00
2017-03-29,188.00,195.00,188.00,192.00,72000,192.00
2017-03-28,190.00,190.00,190.00,190.00,000,190.00
2017-03-27,190.00,194.00,190.00,190.00,73500,190.00
2017-03-24,193.00,195.00,191.00,195.00,45500,195.00
2017-03-23,190.00,195.00,189.00,195.00,17600,195.00
2017-03-22,190.00,192.00,190.00,190.00,29400,190.00
2017-03-21,198.00,198.00,180.00,190.00,3401900,190.00
2017-03-20,208.00,208.00,180.00,204.00,627000,204.00
2017-03-17,200.00,212.00,200.00,208.00,399800,208.00
2017-03-16,197.00,226.00,197.00,200.00,2301800,200.00
2017-03-15,190.00,200.00,190.00,197.00,55000,197.00
2017-03-14,193.00,193.00,185.00,190.00,81400,190.00
2017-03-13,186.00,190.00,177.00,190.00,141600,190.00
2017-03-10,186.00,186.00,186.00,186.00,100,186.00
2017-03-09,180.00,181.00,180.00,180.00,21300,180.00
2017-03-08,184.00,188.00,182.00,188.00,600,188.00
2017-03-07,190.00,190.00,176.00,184.00,1128000,184.00
2017-03-06,183.00,183.00,180.00,182.00,5300,182.00
2017-03-03,182.00,183.00,182.00,183.00,24400,183.00
2017-03-02,180.00,185.00,175.00,180.00,1031700,180.00
2017-03-01,187.00,197.00,176.00,184.00,416000,184.00
2017-02-28,190.00,190.00,185.00,185.00,206800,185.00
2017-02-27,186.00,195.00,186.00,195.00,24200,195.00
2017-02-24,192.00,192.00,183.00,190.00,262100,190.00
2017-02-23,198.00,198.00,182.00,182.00,943500,182.00
2017-02-22,220.00,220.00,198.00,198.00,14200,198.00
2017-02-21,208.00,208.00,200.00,204.00,123400,204.00
2017-02-20,210.00,212.00,208.00,208.00,134300,208.00
2017-02-17,208.00,214.00,204.00,208.00,177500,208.00
2017-02-16,200.00,226.00,198.00,208.00,941000,208.00
2017-02-15,200.00,200.00,200.00,200.00,000,200.00
2017-02-14,197.00,210.00,190.00,200.00,391300,200.00
2017-02-13,197.00,200.00,192.00,197.00,46400,197.00
2017-02-10,198.00,198.00,191.00,197.00,277200,197.00
2017-02-09,194.00,208.00,192.00,198.00,288000,198.00
2017-02-08,185.00,218.00,185.00,194.00,644900,194.00
2017-02-07,192.00,192.00,182.00,185.00,821000,185.00
2017-02-06,185.00,194.00,183.00,191.00,79000,191.00
2017-02-03,192.00,200.00,183.00,185.00,596700,185.00
2017-02-02,177.00,220.00,177.00,192.00,1053700,192.00
2017-02-01,178.00,178.00,173.00,178.00,55700,178.00
2017-01-31,178.00,178.00,171.00,178.00,78800,178.00
2017-01-30,174.00,175.00,169.00,175.00,166000,175.00
2017-01-27,172.00,178.00,170.00,174.00,545600,174.00
2017-01-26,177.00,177.00,165.00,174.00,104500,174.00
2017-01-25,165.00,178.00,162.00,178.00,525200,178.00
2017-01-24,170.00,180.00,170.00,179.00,9100,179.00
2017-01-23,169.00,178.00,165.00,178.00,543700,178.00
2017-01-20,165.00,169.00,161.00,169.00,1900,169.00
2017-01-19,161.00,169.00,161.00,169.00,200,169.00
2017-01-18,170.00,170.00,170.00,170.00,000,170.00
2017-01-17,171.00,171.00,165.00,170.00,4600,170.00
2017-01-16,171.00,171.00,171.00,171.00,000,171.00
2017-01-13,167.00,171.00,167.00,171.00,700,171.00
2017-01-12,169.00,170.00,168.00,168.00,200,168.00
2017-01-11,169.00,173.00,168.00,169.00,500,169.00
2017-01-10,165.00,173.00,164.00,169.00,33200,169.00
2017-01-09,160.00,170.00,152.00,165.00,700,165.00
2017-01-06,173.00,173.00,160.00,160.00,800,160.00
2017-01-05,175.00,175.00,173.00,173.00,400,173.00
2017-01-04,170.00,170.00,170.00,170.00,000,170.00
2017-01-03,170.00,170.00,170.00,170.00,000,170.00
2017-01-02,170.00,170.00,170.00,170.00,000,170.00
2016-12-30,155.00,174.00,154.00,170.00,15700,170.00
2016-12-29,156.00,172.00,156.00,171.00,131900,171.00
2016-12-28,173.00,173.00,173.00,173.00,1000,173.00
2016-12-27,176.00,176.00,155.00,175.00,50300,175.00
2016-12-26,165.00,165.00,165.00,165.00,000,165.00
2016-12-23,165.00,165.00,160.00,165.00,98700,165.00
2016-12-22,174.00,174.00,164.00,174.00,800,174.00
2016-12-21,172.00,172.00,164.00,170.00,28700,170.00
2016-12-20,171.00,175.00,165.00,172.00,142900,172.00
2016-12-19,165.00,172.00,165.00,171.00,4100,171.00
2016-12-16,174.00,174.00,174.00,174.00,000,174.00
2016-12-15,170.00,174.00,170.00,174.00,200,174.00
2016-12-14,174.00,174.00,174.00,174.00,100,174.00
2016-12-13,175.00,175.00,170.00,172.00,3200,172.00
2016-12-12,175.00,175.00,175.00,175.00,000,175.00
2016-12-09,176.00,176.00,170.00,175.00,11900,175.00
2016-12-08,172.00,175.00,171.00,175.00,546800,175.00
2016-12-07,175.00,175.00,175.00,175.00,000,175.00
