Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,220.00,220.00,165.00,220.00,25100,220.00
2017-03-29,220.00,220.00,220.00,220.00,000,220.00
2017-03-28,220.00,220.00,220.00,220.00,000,220.00
2017-03-27,220.00,220.00,208.00,220.00,1300,220.00
2017-03-24,212.00,240.00,208.00,208.00,18800,208.00
2017-03-23,155.00,208.00,155.00,208.00,800,208.00
2017-03-22,155.00,155.00,155.00,155.00,000,155.00
2017-03-21,155.00,155.00,155.00,155.00,500,155.00
2017-03-20,155.00,155.00,155.00,155.00,143000,155.00
2017-03-17,181.00,181.00,181.00,181.00,1400,181.00
2017-03-16,180.00,181.00,170.00,181.00,540800,181.00
2017-03-15,210.00,210.00,180.00,180.00,191000,180.00
2017-03-14,218.00,218.00,218.00,218.00,000,218.00
2017-03-13,220.00,220.00,218.00,218.00,22500,218.00
2017-03-10,210.00,220.00,210.00,220.00,27100,220.00
2017-03-09,216.00,216.00,200.00,216.00,500,216.00
2017-03-08,220.00,220.00,210.00,210.00,10600,210.00
2017-03-07,226.00,226.00,220.00,220.00,118300,220.00
2017-03-06,230.00,230.00,228.00,228.00,196300,228.00
2017-03-03,246.00,248.00,232.00,232.00,746100,232.00
2017-03-02,246.00,246.00,246.00,246.00,000,246.00
2017-03-01,240.00,246.00,230.00,246.00,97400,246.00
2017-02-28,220.00,238.00,220.00,238.00,54000,238.00
2017-02-27,208.00,220.00,208.00,220.00,20700,220.00
2017-02-24,206.00,212.00,206.00,208.00,6400,208.00
2017-02-23,208.00,208.00,200.00,208.00,49600,208.00
2017-02-22,175.00,208.00,175.00,208.00,38600,208.00
2017-02-21,173.00,173.00,173.00,173.00,23200,173.00
2017-02-20,165.00,166.00,165.00,166.00,8600,166.00
2017-02-17,148.00,155.00,148.00,155.00,33800,155.00
2017-02-16,140.00,149.00,140.00,148.00,53400,148.00
2017-02-15,140.00,140.00,140.00,140.00,000,140.00
2017-02-14,129.00,140.00,129.00,140.00,19800,140.00
2017-02-13,118.00,132.00,118.00,129.00,70300,129.00
2017-02-10,108.00,118.00,108.00,118.00,19100,118.00
2017-02-09,104.00,118.00,104.00,108.00,9500,108.00
2017-02-08,98.00,104.00,98.00,104.00,11100,104.00
2017-02-07,110.00,110.00,98.00,98.00,19600,98.00
2017-02-06,100.00,110.00,100.00,110.00,50700,110.00
2017-02-03,95.00,105.00,95.00,100.00,20200,100.00
2017-02-02,105.00,105.00,95.00,95.00,10100,95.00
2017-02-01,93.00,95.00,93.00,95.00,11100,95.00
2017-01-31,93.00,93.00,93.00,93.00,4800,93.00
2017-01-30,91.00,95.00,91.00,95.00,13100,95.00
2017-01-27,87.00,91.00,87.00,91.00,20600,91.00
2017-01-26,90.00,115.00,82.00,91.00,55000,91.00
