Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,945.00,960.00,860.00,945.00,299900,945.00
2017-03-29,875.00,950.00,840.00,950.00,935100,950.00
2017-03-28,895.00,895.00,895.00,895.00,000,895.00
2017-03-27,895.00,895.00,800.00,895.00,150600,895.00
2017-03-24,870.00,900.00,800.00,825.00,265100,825.00
2017-03-23,850.00,900.00,820.00,875.00,167500,875.00
2017-03-22,810.00,875.00,810.00,850.00,245200,850.00
2017-03-21,800.00,810.00,750.00,810.00,242600,810.00
2017-03-20,750.00,800.00,730.00,800.00,228600,800.00
2017-03-17,775.00,800.00,760.00,775.00,39400,775.00
2017-03-16,800.00,800.00,775.00,775.00,13600,775.00
2017-03-15,785.00,815.00,775.00,815.00,172600,815.00
2017-03-14,805.00,815.00,805.00,815.00,16300,815.00
2017-03-13,805.00,810.00,800.00,810.00,65000,810.00
2017-03-10,800.00,820.00,800.00,805.00,232400,805.00
2017-03-09,815.00,815.00,800.00,815.00,261000,815.00
2017-03-08,800.00,805.00,790.00,805.00,300100,805.00
2017-03-07,775.00,800.00,775.00,800.00,185600,800.00
2017-03-06,785.00,785.00,775.00,775.00,1300,775.00
2017-03-03,790.00,790.00,790.00,790.00,000,790.00
2017-03-02,750.00,790.00,750.00,790.00,38700,790.00
2017-03-01,795.00,800.00,735.00,750.00,76600,750.00
2017-02-28,800.00,810.00,775.00,775.00,4100,775.00
2017-02-27,770.00,815.00,770.00,800.00,1023300,800.00
2017-02-24,780.00,800.00,780.00,790.00,88000,790.00
2017-02-23,745.00,790.00,745.00,790.00,114000,790.00
2017-02-22,770.00,785.00,770.00,785.00,170100,785.00
2017-02-21,755.00,775.00,755.00,775.00,108500,775.00
2017-02-20,755.00,755.00,755.00,755.00,400,755.00
2017-02-17,730.00,765.00,705.00,755.00,99000,755.00
2017-02-16,700.00,735.00,700.00,730.00,382500,730.00
2017-02-15,700.00,700.00,700.00,700.00,000,700.00
2017-02-14,680.00,700.00,675.00,700.00,102900,700.00
2017-02-13,665.00,700.00,665.00,680.00,87200,680.00
2017-02-10,675.00,685.00,650.00,665.00,31100,665.00
2017-02-09,695.00,705.00,660.00,675.00,12800,675.00
2017-02-08,670.00,695.00,650.00,695.00,69900,695.00
2017-02-07,710.00,710.00,660.00,700.00,3700,700.00
2017-02-06,700.00,710.00,695.00,695.00,600,695.00
2017-02-03,680.00,700.00,655.00,700.00,93500,700.00
2017-02-02,670.00,690.00,650.00,680.00,68900,680.00
2017-02-01,655.00,685.00,645.00,650.00,127100,650.00
2017-01-31,655.00,655.00,640.00,655.00,39000,655.00
2017-01-30,670.00,670.00,630.00,670.00,217500,670.00
2017-01-27,670.00,670.00,670.00,670.00,100,670.00
2017-01-26,640.00,675.00,620.00,640.00,32200,640.00
2017-01-25,635.00,680.00,630.00,640.00,10200,640.00
2017-01-24,665.00,680.00,660.00,680.00,13300,680.00
