Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,740.00,740.00,740.00,740.00,000,740.00
2017-03-29,750.00,750.00,740.00,740.00,400,740.00
2017-03-28,600.00,600.00,600.00,600.00,000,600.00
2017-03-27,600.00,600.00,600.00,600.00,000,600.00
2017-03-24,600.00,600.00,600.00,600.00,000,600.00
2017-03-23,600.00,600.00,600.00,600.00,000,600.00
2017-03-22,600.00,600.00,600.00,600.00,000,600.00
2017-03-21,600.00,600.00,600.00,600.00,1900,600.00
2017-03-20,600.00,600.00,600.00,600.00,000,600.00
2017-03-17,600.00,600.00,600.00,600.00,000,600.00
2017-03-16,600.00,600.00,600.00,600.00,000,600.00
2017-03-15,600.00,600.00,600.00,600.00,000,600.00
2017-03-14,600.00,600.00,600.00,600.00,000,600.00
2017-03-13,600.00,600.00,600.00,600.00,1300,600.00
2017-03-10,600.00,600.00,600.00,600.00,000,600.00
2017-03-09,600.00,600.00,600.00,600.00,200,600.00
2017-03-08,515.00,550.00,392.00,550.00,2100,550.00
2017-03-07,515.00,515.00,515.00,515.00,100,515.00
2017-03-06,680.00,680.00,680.00,680.00,000,680.00
2017-03-03,680.00,680.00,680.00,680.00,000,680.00
2017-03-02,680.00,680.00,680.00,680.00,100,680.00
2017-03-01,620.00,620.00,620.00,620.00,000,620.00
2017-02-28,620.00,620.00,620.00,620.00,000,620.00
2017-02-27,620.00,620.00,620.00,620.00,000,620.00
2017-02-24,620.00,620.00,620.00,620.00,000,620.00
2017-02-23,620.00,620.00,620.00,620.00,000,620.00
2017-02-22,620.00,620.00,620.00,620.00,100,620.00
2017-02-21,670.00,670.00,670.00,670.00,000,670.00
2017-02-20,670.00,670.00,670.00,670.00,000,670.00
2017-02-17,670.00,670.00,670.00,670.00,000,670.00
2017-02-16,670.00,670.00,670.00,670.00,000,670.00
2017-02-15,670.00,670.00,670.00,670.00,000,670.00
2017-02-14,670.00,670.00,670.00,670.00,000,670.00
2017-02-13,670.00,670.00,670.00,670.00,000,670.00
2017-02-10,670.00,670.00,670.00,670.00,000,670.00
2017-02-09,665.00,670.00,620.00,670.00,600,670.00
2017-02-08,665.00,665.00,665.00,665.00,000,665.00
2017-02-07,600.00,665.00,600.00,665.00,700,665.00
2017-02-06,700.00,700.00,650.00,650.00,300,650.00
2017-02-03,700.00,700.00,700.00,700.00,000,700.00
2017-02-02,700.00,700.00,700.00,700.00,400,700.00
2017-02-01,620.00,620.00,620.00,620.00,000,620.00
2017-01-31,620.00,620.00,620.00,620.00,200,620.00
2017-01-30,570.00,570.00,570.00,570.00,100,570.00
2017-01-27,610.00,760.00,610.00,620.00,1300,620.00
2017-01-26,610.00,610.00,600.00,610.00,500,610.00
2017-01-25,920.00,920.00,735.00,735.00,600,735.00
2017-01-24,925.00,925.00,925.00,925.00,000,925.00
2017-01-23,925.00,925.00,925.00,925.00,000,925.00
2017-01-20,990.00,990.00,850.00,925.00,16300,925.00
2017-01-19,795.00,795.00,795.00,795.00,000,795.00
2017-01-18,695.00,865.00,695.00,795.00,2700,795.00
2017-01-17,650.00,800.00,650.00,695.00,1800,695.00
2017-01-16,665.00,665.00,650.00,650.00,600,650.00
2017-01-13,630.00,665.00,630.00,665.00,4200,665.00
2017-01-12,430.00,535.00,430.00,535.00,300,535.00
2017-01-11,430.00,430.00,430.00,430.00,000,430.00
2017-01-10,430.00,430.00,430.00,430.00,000,430.00
2017-01-09,430.00,430.00,430.00,430.00,000,430.00
2017-01-06,430.00,430.00,430.00,430.00,100,430.00
2017-01-05,350.00,350.00,350.00,350.00,100,350.00
2017-01-04,320.00,320.00,320.00,320.00,000,320.00
2017-01-03,320.00,320.00,320.00,320.00,100,320.00
2017-01-02,308.00,308.00,308.00,308.00,000,308.00
2016-12-30,308.00,308.00,308.00,308.00,000,308.00
2016-12-29,308.00,308.00,308.00,308.00,000,308.00
2016-12-28,308.00,308.00,308.00,308.00,000,308.00
2016-12-27,308.00,308.00,308.00,308.00,000,308.00
2016-12-26,308.00,308.00,308.00,308.00,000,308.00
2016-12-23,308.00,308.00,308.00,308.00,000,308.00
2016-12-22,308.00,308.00,308.00,308.00,000,308.00
2016-12-21,308.00,308.00,308.00,308.00,000,308.00
2016-12-20,308.00,308.00,308.00,308.00,000,308.00
2016-12-19,308.00,308.00,308.00,308.00,000,308.00
2016-12-16,300.00,308.00,300.00,308.00,200,308.00
2016-12-15,300.00,300.00,300.00,300.00,000,300.00
2016-12-14,300.00,300.00,300.00,300.00,000,300.00
2016-12-13,300.00,300.00,300.00,300.00,000,300.00
2016-12-12,300.00,300.00,300.00,300.00,000,300.00
2016-12-09,300.00,300.00,300.00,300.00,000,300.00
2016-12-08,300.00,300.00,300.00,300.00,000,300.00
2016-12-07,300.00,300.00,300.00,300.00,000,300.00
2016-12-06,300.00,300.00,300.00,300.00,100,300.00
2016-12-05,290.00,290.00,290.00,290.00,100,290.00
2016-12-02,300.00,300.00,300.00,300.00,300,300.00
2016-12-01,290.00,290.00,290.00,290.00,000,290.00
2016-11-30,290.00,290.00,290.00,290.00,000,290.00
2016-11-29,290.00,290.00,290.00,290.00,000,290.00
2016-11-28,290.00,290.00,290.00,290.00,000,290.00
2016-11-25,290.00,290.00,290.00,290.00,000,290.00
2016-11-24,308.00,308.00,290.00,290.00,300,290.00
2016-11-23,314.00,314.00,314.00,314.00,000,314.00
2016-11-22,314.00,314.00,314.00,314.00,000,314.00
2016-11-21,324.00,314.00,314.00,314.00,100,314.00
2016-11-18,324.00,324.00,324.00,324.00,100,324.00
2016-11-17,324.00,324.00,324.00,324.00,000,324.00
2016-11-16,324.00,324.00,324.00,324.00,000,324.00
2016-11-15,324.00,324.00,324.00,324.00,000,324.00
2016-11-14,324.00,324.00,324.00,324.00,000,324.00
2016-11-11,324.00,324.00,324.00,324.00,000,324.00
2016-11-10,324.00,324.00,324.00,324.00,000,324.00
2016-11-09,324.00,324.00,324.00,324.00,200,324.00
2016-11-08,324.00,324.00,324.00,324.00,000,324.00
2016-11-07,324.00,324.00,324.00,324.00,200,324.00
2016-11-04,320.00,324.00,320.00,324.00,200,324.00
2016-11-03,320.00,320.00,320.00,320.00,000,320.00
2016-11-02,320.00,320.00,320.00,320.00,000,320.00
2016-11-01,320.00,320.00,320.00,320.00,000,320.00
2016-10-31,320.00,320.00,320.00,320.00,000,320.00
2016-10-28,320.00,320.00,320.00,320.00,100,320.00
2016-10-27,330.00,330.00,330.00,330.00,000,330.00
2016-10-26,330.00,330.00,330.00,330.00,000,330.00
2016-10-25,330.00,330.00,330.00,330.00,000,330.00
2016-10-24,330.00,330.00,330.00,330.00,000,330.00
2016-10-21,330.00,330.00,330.00,330.00,100,330.00
2016-10-20,340.00,340.00,340.00,340.00,000,340.00
2016-10-19,340.00,340.00,340.00,340.00,100,340.00
2016-10-18,350.00,350.00,350.00,350.00,000,350.00
2016-10-17,350.00,350.00,350.00,350.00,000,350.00
2016-10-14,350.00,350.00,350.00,350.00,000,350.00
2016-10-13,350.00,350.00,350.00,350.00,000,350.00
2016-10-12,350.00,350.00,350.00,350.00,000,350.00
2016-10-11,350.00,350.00,350.00,350.00,000,350.00
2016-10-10,350.00,350.00,350.00,350.00,000,350.00
2016-10-07,350.00,350.00,350.00,350.00,000,350.00
2016-10-06,350.00,350.00,350.00,350.00,000,350.00
2016-10-05,350.00,350.00,350.00,350.00,000,350.00
2016-10-04,350.00,350.00,350.00,350.00,000,350.00
2016-10-03,350.00,350.00,350.00,350.00,000,350.00
2016-09-30,350.00,350.00,350.00,350.00,000,350.00
2016-09-29,350.00,350.00,350.00,350.00,000,350.00
2016-09-28,350.00,350.00,350.00,350.00,000,350.00
2016-09-27,350.00,350.00,350.00,350.00,300,350.00
2016-09-26,350.00,350.00,350.00,350.00,000,350.00
2016-09-23,350.00,350.00,350.00,350.00,000,350.00
2016-09-22,350.00,350.00,350.00,350.00,000,350.00
2016-09-21,350.00,350.00,350.00,350.00,000,350.00
2016-09-20,350.00,350.00,350.00,350.00,000,350.00
2016-09-19,350.00,350.00,350.00,350.00,000,350.00
2016-09-16,350.00,350.00,350.00,350.00,000,350.00
2016-09-15,350.00,350.00,350.00,350.00,000,350.00
2016-09-14,350.00,350.00,350.00,350.00,000,350.00
2016-09-13,350.00,350.00,350.00,350.00,000,350.00
2016-09-12,350.00,350.00,350.00,350.00,000,350.00
2016-09-09,350.00,350.00,350.00,350.00,000,350.00
2016-09-08,350.00,350.00,350.00,350.00,000,350.00
2016-09-07,350.00,350.00,350.00,350.00,000,350.00
2016-09-06,350.00,350.00,350.00,350.00,300,350.00
2016-09-05,365.00,365.00,365.00,365.00,000,365.00
2016-09-02,365.00,365.00,365.00,365.00,000,365.00
2016-09-01,365.00,365.00,365.00,365.00,000,365.00
2016-08-31,365.00,365.00,365.00,365.00,000,365.00
