Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,8850.00,9150.00,8800.00,8850.00,7633900,8850.00
2017-03-29,8800.00,9075.00,8800.00,9075.00,6331500,9075.00
2017-03-28,8775.00,8775.00,8775.00,8775.00,000,8775.00
2017-03-27,8775.00,9075.00,8750.00,8775.00,7665700,8775.00
2017-03-24,9100.00,9150.00,8950.00,8950.00,5045000,8950.00
2017-03-23,9150.00,9150.00,9050.00,9075.00,4669600,9075.00
2017-03-22,9100.00,9225.00,9075.00,9225.00,7623000,9225.00
2017-03-21,9350.00,9350.00,9100.00,9150.00,6565900,9150.00
2017-03-20,9300.00,9350.00,9225.00,9350.00,4628600,9350.00
2017-03-17,9275.00,9325.00,9175.00,9225.00,12766500,9225.00
2017-03-16,9075.00,9225.00,9075.00,9175.00,5300300,9175.00
2017-03-15,9175.00,9225.00,9050.00,9050.00,3811300,9050.00
2017-03-14,9400.00,9400.00,9200.00,9200.00,2571500,9200.00
2017-03-13,9300.00,9425.00,9300.00,9400.00,1578900,9400.00
2017-03-10,9350.00,9425.00,9200.00,9425.00,1169800,9425.00
2017-03-09,9250.00,9325.00,9125.00,9250.00,1730000,9250.00
2017-03-08,9475.00,9475.00,9275.00,9325.00,1348800,9325.00
2017-03-07,9500.00,9500.00,9275.00,9350.00,2422800,9350.00
2017-03-06,9375.00,9500.00,9375.00,9500.00,2386600,9500.00
2017-03-03,9425.00,9500.00,9375.00,9425.00,2791600,9425.00
2017-03-02,9500.00,9550.00,9400.00,9425.00,2896300,9425.00
2017-03-01,9625.00,9625.00,9400.00,9400.00,4612200,9400.00
2017-02-28,9600.00,9650.00,9525.00,9625.00,4608200,9625.00
2017-02-27,9575.00,9675.00,9525.00,9525.00,1482100,9525.00
2017-02-24,9300.00,9575.00,9300.00,9575.00,6044900,9575.00
2017-02-23,9200.00,9350.00,9175.00,9250.00,2504500,9250.00
2017-02-22,9200.00,9250.00,9100.00,9225.00,1973800,9225.00
2017-02-21,9200.00,9300.00,9075.00,9150.00,2750900,9150.00
2017-02-20,9300.00,9325.00,9075.00,9200.00,4707100,9200.00
2017-02-17,9475.00,9550.00,9275.00,9275.00,5491400,9275.00
2017-02-16,9400.00,9575.00,9300.00,9500.00,6909100,9500.00
2017-02-15,9350.00,9350.00,9350.00,9350.00,000,9350.00
2017-02-14,9725.00,9725.00,9300.00,9350.00,6749900,9350.00
2017-02-13,9800.00,9875.00,9750.00,9825.00,3776900,9825.00
2017-02-10,9700.00,9775.00,9575.00,9750.00,6688100,9750.00
2017-02-09,9300.00,9625.00,9300.00,9625.00,8893300,9625.00
2017-02-08,9150.00,9450.00,9150.00,9250.00,8964600,9250.00
2017-02-07,9250.00,9325.00,9150.00,9150.00,3692800,9150.00
2017-02-06,9200.00,9325.00,9150.00,9275.00,4044000,9275.00
2017-02-03,9300.00,9300.00,9100.00,9200.00,4562100,9200.00
2017-02-02,9025.00,9300.00,9025.00,9300.00,9230300,9300.00
2017-02-01,9125.00,9200.00,9025.00,9025.00,4000500,9025.00
2017-01-31,9025.00,9200.00,9025.00,9025.00,2641700,9025.00
2017-01-30,9300.00,9350.00,9100.00,9100.00,3845500,9100.00
2017-01-27,9125.00,9275.00,9125.00,9225.00,7711800,9225.00
2017-01-26,9100.00,9225.00,9000.00,9200.00,13207400,9200.00
2017-01-25,8750.00,9050.00,8750.00,9025.00,7299900,9025.00
2017-01-24,8700.00,8750.00,8600.00,8700.00,3039500,8700.00
2017-01-23,8700.00,8725.00,8600.00,8600.00,2721900,8600.00
2017-01-20,8675.00,8700.00,8625.00,8625.00,3653700,8625.00
2017-01-19,8750.00,8825.00,8650.00,8725.00,2630700,8725.00
2017-01-18,8600.00,8775.00,8575.00,8750.00,3817000,8750.00
2017-01-17,8650.00,8750.00,8625.00,8625.00,2696000,8625.00
2017-01-16,8800.00,8850.00,8700.00,8700.00,3475200,8700.00
2017-01-13,8725.00,8825.00,8725.00,8775.00,3022100,8775.00
2017-01-12,8850.00,8975.00,8675.00,8700.00,8310200,8700.00
2017-01-11,9050.00,9100.00,8850.00,8850.00,8684100,8850.00
2017-01-10,9125.00,9175.00,9050.00,9125.00,1893200,9125.00
2017-01-09,9400.00,9425.00,9125.00,9125.00,3030900,9125.00
2017-01-06,9500.00,9500.00,9325.00,9400.00,1418900,9400.00
2017-01-05,9450.00,9500.00,9350.00,9500.00,3887700,9500.00
2017-01-04,9125.00,9450.00,9125.00,9450.00,4682600,9450.00
2017-01-03,9175.00,9200.00,9050.00,9100.00,955300,9100.00
2017-01-02,9175.00,9175.00,9175.00,9175.00,000,9175.00
2016-12-30,9375.00,9500.00,9175.00,9175.00,5373900,9175.00
2016-12-29,9325.00,9475.00,9325.00,9400.00,4525400,9400.00
2016-12-28,9075.00,9400.00,9075.00,9325.00,6020500,9325.00
2016-12-27,9100.00,9100.00,9000.00,9075.00,1324800,9075.00
2016-12-26,9050.00,9050.00,9050.00,9050.00,000,9050.00
2016-12-23,9025.00,9125.00,8925.00,9050.00,4965500,9050.00
2016-12-22,9225.00,9225.00,8925.00,8925.00,3900900,8925.00
2016-12-21,9100.00,9200.00,9000.00,9125.00,4688500,9125.00
2016-12-20,9000.00,9150.00,8925.00,8925.00,3793100,8925.00
