Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-29,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-28,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-27,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-24,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-23,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-22,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-21,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-20,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-17,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-16,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-15,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-14,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-13,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-10,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-09,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-08,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-07,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-06,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-03,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-02,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-03-01,8300.00,8300.00,8300.00,8300.00,000,8300.00
2017-02-28,8300.00,8300.00,8300.00,8300.00,200,8300.00
2017-02-27,8275.00,8300.00,8275.00,8300.00,300,8300.00
2017-02-24,8275.00,8325.00,8225.00,8325.00,1500,8325.00
2017-02-23,8275.00,8275.00,8275.00,8275.00,200,8275.00
2017-02-22,8225.00,8275.00,8225.00,8275.00,700,8275.00
2017-02-21,8200.00,8225.00,8200.00,8225.00,300,8225.00
2017-02-20,8250.00,8250.00,8250.00,8250.00,200,8250.00
2017-02-17,8300.00,8300.00,8225.00,8250.00,200,8250.00
2017-02-16,8350.00,8350.00,8275.00,8300.00,500,8300.00
2017-02-15,8350.00,8350.00,8350.00,8350.00,000,8350.00
2017-02-14,8350.00,8350.00,8350.00,8350.00,300,8350.00
2017-02-13,8350.00,8350.00,8350.00,8350.00,500,8350.00
2017-02-10,8400.00,8400.00,8350.00,8350.00,300,8350.00
2017-02-09,8400.00,8400.00,8400.00,8400.00,500,8400.00
2017-02-08,8400.00,8400.00,8400.00,8400.00,700,8400.00
2017-02-07,8400.00,8400.00,8400.00,8400.00,300,8400.00
2017-02-06,8500.00,8500.00,8500.00,8500.00,600,8500.00
2017-02-03,8500.00,8500.00,8400.00,8500.00,1800,8500.00
2017-02-02,8400.00,8500.00,8400.00,8500.00,1600,8500.00
2017-02-01,8550.00,8550.00,8550.00,8550.00,1500,8550.00
2017-01-31,8550.00,8550.00,8400.00,8550.00,4300,8550.00
2017-01-30,8475.00,8475.00,8475.00,8475.00,000,8475.00
2017-01-27,8475.00,8475.00,8475.00,8475.00,900,8475.00
2017-01-26,8500.00,8500.00,8500.00,8500.00,000,8500.00
2017-01-25,8375.00,8500.00,8375.00,8500.00,2100,8500.00
2017-01-24,8600.00,8600.00,8600.00,8600.00,000,8600.00
2017-01-23,8600.00,8600.00,8350.00,8600.00,3200,8600.00
2017-01-20,8600.00,8600.00,8600.00,8600.00,000,8600.00
2017-01-19,8600.00,8600.00,8600.00,8600.00,000,8600.00
2017-01-18,8500.00,8600.00,8200.00,8600.00,19700,8600.00
2017-01-17,8600.00,8600.00,8500.00,8500.00,200,8500.00
2017-01-16,8475.00,8600.00,8400.00,8600.00,2900,8600.00
2017-01-13,8300.00,8475.00,8300.00,8475.00,1800,8475.00
2017-01-12,8500.00,8500.00,8500.00,8500.00,500,8500.00
2017-01-11,8400.00,8500.00,8300.00,8500.00,7200,8500.00
2017-01-10,8500.00,8500.00,8200.00,8400.00,1100,8400.00
2017-01-09,8550.00,8550.00,8475.00,8500.00,1600,8500.00
2017-01-06,8400.00,8550.00,8400.00,8550.00,4200,8550.00
2017-01-05,8500.00,8500.00,8500.00,8500.00,200,8500.00
2017-01-04,8600.00,8600.00,8550.00,8575.00,1100,8575.00
2017-01-03,8575.00,8600.00,8575.00,8600.00,1200,8600.00
2017-01-02,8575.00,8575.00,8575.00,8575.00,000,8575.00
2016-12-30,8575.00,8600.00,8575.00,8575.00,1900,8575.00
2016-12-29,8600.00,8600.00,8500.00,8600.00,700,8600.00
2016-12-28,8600.00,8600.00,8600.00,8600.00,400,8600.00
2016-12-27,8675.00,8700.00,8600.00,8700.00,1000,8700.00
2016-12-26,8700.00,8700.00,8700.00,8700.00,000,8700.00
2016-12-23,8700.00,8700.00,8625.00,8700.00,2500,8700.00
2016-12-22,8750.00,8750.00,8675.00,8725.00,2200,8725.00
2016-12-21,8775.00,8775.00,8775.00,8775.00,000,8775.00
2016-12-20,8775.00,8775.00,8750.00,8775.00,1600,8775.00
2016-12-19,8775.00,8775.00,8775.00,8775.00,000,8775.00
2016-12-16,8775.00,8775.00,8750.00,8775.00,1500,8775.00
2016-12-15,8750.00,8775.00,8750.00,8775.00,2500,8775.00
2016-12-14,8750.00,8775.00,8725.00,8775.00,2600,8775.00
2016-12-13,8800.00,8800.00,8800.00,8800.00,1900,8800.00
2016-12-12,8800.00,8800.00,8800.00,8800.00,000,8800.00
2016-12-09,8800.00,8800.00,8800.00,8800.00,000,8800.00
2016-12-08,8800.00,8800.00,8800.00,8800.00,000,8800.00
2016-12-07,8800.00,8800.00,8800.00,8800.00,000,8800.00
2016-12-06,8800.00,8800.00,8800.00,8800.00,000,8800.00
2016-12-05,8800.00,8800.00,8800.00,8800.00,000,8800.00
2016-12-02,8800.00,8800.00,8800.00,8800.00,000,8800.00
2016-12-01,8800.00,8800.00,8800.00,8800.00,000,8800.00
