Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,129.00,135.00,127.00,129.00,1773600,129.00
2017-03-29,128.00,135.00,127.00,130.00,3332600,130.00
2017-03-28,128.00,128.00,128.00,128.00,000,128.00
2017-03-27,128.00,140.00,128.00,128.00,5807900,128.00
2017-03-24,128.00,139.00,128.00,134.00,12315300,134.00
2017-03-23,126.00,135.00,124.00,127.00,18258700,127.00
2017-03-22,128.00,128.00,126.00,126.00,2758500,126.00
2017-03-21,130.00,131.00,128.00,128.00,6586000,128.00
2017-03-20,136.00,138.00,130.00,132.00,9134600,132.00
2017-03-17,141.00,147.00,134.00,136.00,16807900,136.00
2017-03-16,128.00,156.00,127.00,141.00,75088700,141.00
2017-03-15,130.00,130.00,124.00,126.00,3894800,126.00
2017-03-14,133.00,133.00,129.00,131.00,1051200,131.00
2017-03-13,135.00,137.00,131.00,132.00,540000,132.00
2017-03-10,134.00,138.00,130.00,135.00,2579000,135.00
2017-03-09,132.00,141.00,132.00,132.00,4297000,132.00
2017-03-08,138.00,147.00,138.00,140.00,3016400,140.00
2017-03-07,140.00,140.00,137.00,138.00,3754700,138.00
2017-03-06,144.00,147.00,140.00,140.00,3102300,140.00
2017-03-03,146.00,149.00,140.00,143.00,3916100,143.00
2017-03-02,150.00,150.00,145.00,145.00,4360800,145.00
2017-03-01,155.00,155.00,148.00,148.00,6435600,148.00
2017-02-28,149.00,158.00,147.00,154.00,17065000,154.00
2017-02-27,150.00,150.00,147.00,149.00,3671900,149.00
2017-02-24,153.00,156.00,150.00,150.00,11708100,150.00
2017-02-23,152.00,159.00,147.00,153.00,16982200,153.00
2017-02-22,158.00,158.00,146.00,150.00,9801700,150.00
2017-02-21,165.00,178.00,158.00,158.00,35922800,158.00
2017-02-20,168.00,179.00,163.00,164.00,13163100,164.00
2017-02-17,173.00,174.00,167.00,167.00,3647900,167.00
2017-02-16,180.00,180.00,166.00,173.00,6262400,173.00
2017-02-15,180.00,180.00,180.00,180.00,000,180.00
2017-02-14,182.00,194.00,178.00,180.00,7720700,180.00
2017-02-13,194.00,198.00,182.00,182.00,4606300,182.00
2017-02-10,191.00,204.00,191.00,194.00,9262600,194.00
2017-02-09,199.00,206.00,190.00,191.00,18918600,191.00
2017-02-08,210.00,218.00,198.00,199.00,18927100,199.00
2017-02-07,220.00,226.00,204.00,208.00,24409600,208.00
2017-02-06,189.00,226.00,179.00,220.00,90046100,220.00
2017-02-03,206.00,230.00,184.00,189.00,83340600,189.00
2017-02-02,155.00,206.00,155.00,206.00,83978800,206.00
2017-02-01,154.00,156.00,153.00,154.00,3454600,154.00
2017-01-31,154.00,162.00,150.00,154.00,10162100,154.00
2017-01-30,150.00,155.00,147.00,150.00,3745800,150.00
2017-01-27,151.00,152.00,147.00,150.00,2240400,150.00
2017-01-26,151.00,155.00,144.00,148.00,3877100,148.00
2017-01-25,152.00,153.00,150.00,151.00,1830700,151.00
2017-01-24,153.00,155.00,150.00,152.00,2107600,152.00
2017-01-23,157.00,157.00,148.00,153.00,3404400,153.00
2017-01-20,160.00,163.00,157.00,157.00,2517600,157.00
2017-01-19,158.00,167.00,158.00,160.00,5392600,160.00
2017-01-18,159.00,163.00,157.00,158.00,4292500,158.00
2017-01-17,159.00,162.00,156.00,159.00,5221200,159.00
2017-01-16,161.00,169.00,157.00,159.00,3718500,159.00
2017-01-13,169.00,170.00,161.00,161.00,4903300,161.00
2017-01-12,157.00,174.00,157.00,166.00,24411200,166.00
2017-01-11,157.00,165.00,157.00,157.00,7281300,157.00
2017-01-10,160.00,162.00,157.00,157.00,2292400,157.00
2017-01-09,162.00,167.00,158.00,160.00,11190400,160.00
2017-01-06,151.00,164.00,151.00,162.00,12716700,162.00
