Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1335.00,1345.00,1315.00,1335.00,15171400,1335.00
2017-03-29,1320.00,1345.00,1275.00,1315.00,23320500,1315.00
2017-03-28,1315.00,1315.00,1315.00,1315.00,000,1315.00
2017-03-27,1315.00,1360.00,1310.00,1315.00,6725600,1315.00
2017-03-24,1375.00,1385.00,1335.00,1340.00,21130500,1340.00
2017-03-23,1380.00,1380.00,1355.00,1370.00,13455000,1370.00
2017-03-22,1380.00,1380.00,1355.00,1380.00,18782700,1380.00
2017-03-21,1380.00,1385.00,1370.00,1380.00,13949900,1380.00
2017-03-20,1400.00,1405.00,1350.00,1370.00,14651500,1370.00
2017-03-17,1380.00,1400.00,1370.00,1400.00,22709300,1400.00
2017-03-16,1370.00,1380.00,1365.00,1370.00,4650300,1370.00
2017-03-15,1365.00,1370.00,1340.00,1360.00,3595900,1360.00
2017-03-14,1360.00,1380.00,1350.00,1365.00,4450600,1365.00
2017-03-13,1345.00,1360.00,1330.00,1355.00,7318500,1355.00
2017-03-10,1365.00,1365.00,1350.00,1360.00,14506300,1360.00
2017-03-09,1360.00,1380.00,1350.00,1360.00,6320300,1360.00
2017-03-08,1375.00,1390.00,1365.00,1375.00,9948600,1375.00
2017-03-07,1380.00,1390.00,1365.00,1375.00,6298400,1375.00
2017-03-06,1390.00,1400.00,1370.00,1400.00,9604500,1400.00
2017-03-03,1375.00,1390.00,1365.00,1380.00,9365300,1380.00
2017-03-02,1360.00,1385.00,1360.00,1375.00,12000600,1375.00
2017-03-01,1375.00,1380.00,1345.00,1370.00,18822500,1370.00
2017-02-28,1370.00,1380.00,1350.00,1370.00,14538300,1370.00
2017-02-27,1415.00,1415.00,1375.00,1385.00,10360300,1385.00
2017-02-24,1415.00,1415.00,1385.00,1395.00,5348700,1395.00
2017-02-23,1405.00,1425.00,1395.00,1400.00,12583000,1400.00
2017-02-22,1400.00,1440.00,1400.00,1425.00,10052200,1425.00
2017-02-21,1360.00,1410.00,1360.00,1400.00,5845400,1400.00
2017-02-20,1400.00,1400.00,1370.00,1375.00,3903000,1375.00
2017-02-17,1410.00,1410.00,1380.00,1385.00,11619300,1385.00
2017-02-16,1430.00,1440.00,1390.00,1405.00,14396100,1405.00
2017-02-15,1420.00,1420.00,1420.00,1420.00,000,1420.00
2017-02-14,1450.00,1455.00,1410.00,1420.00,14881400,1420.00
2017-02-13,1400.00,1460.00,1400.00,1450.00,17270000,1450.00
2017-02-10,1335.00,1410.00,1325.00,1400.00,32542400,1400.00
2017-02-09,1320.00,1340.00,1315.00,1320.00,18872300,1320.00
2017-02-08,1310.00,1320.00,1305.00,1320.00,7879700,1320.00
2017-02-07,1320.00,1320.00,1310.00,1315.00,11425700,1315.00
2017-02-06,1340.00,1340.00,1300.00,1320.00,20199500,1320.00
2017-02-03,1315.00,1345.00,1315.00,1320.00,15183500,1320.00
2017-02-02,1305.00,1325.00,1300.00,1315.00,12760600,1315.00
2017-02-01,1315.00,1330.00,1300.00,1300.00,13758500,1300.00
2017-01-31,1310.00,1350.00,1310.00,1310.00,10905600,1310.00
2017-01-30,1385.00,1385.00,1340.00,1340.00,6218300,1340.00
2017-01-27,1400.00,1400.00,1365.00,1365.00,4847300,1365.00
2017-01-26,1395.00,1405.00,1380.00,1400.00,6633700,1400.00
2017-01-25,1405.00,1410.00,1375.00,1375.00,7938400,1375.00
2017-01-24,1370.00,1405.00,1360.00,1395.00,13441500,1395.00
2017-01-23,1370.00,1375.00,1315.00,1345.00,6966400,1345.00
2017-01-20,1400.00,1420.00,1355.00,1355.00,24156000,1355.00
2017-01-19,1320.00,1415.00,1315.00,1400.00,41011400,1400.00
2017-01-18,1295.00,1315.00,1295.00,1315.00,16530200,1315.00
2017-01-17,1280.00,1315.00,1280.00,1300.00,8915200,1300.00
2017-01-16,1325.00,1350.00,1295.00,1295.00,22440300,1295.00
2017-01-13,1350.00,1360.00,1325.00,1335.00,8383500,1335.00
2017-01-12,1315.00,1360.00,1315.00,1360.00,15529300,1360.00
2017-01-11,1325.00,1345.00,1320.00,1325.00,3534000,1325.00
2017-01-10,1375.00,1375.00,1320.00,1325.00,7535100,1325.00
2017-01-09,1355.00,1375.00,1340.00,1375.00,11566000,1375.00
2017-01-06,1340.00,1365.00,1340.00,1355.00,11667200,1355.00
2017-01-05,1365.00,1370.00,1325.00,1340.00,11660800,1340.00
2017-01-04,1310.00,1360.00,1290.00,1360.00,15944800,1360.00
2017-01-03,1310.00,1330.00,1300.00,1310.00,4542600,1310.00
2017-01-02,1325.00,1325.00,1325.00,1325.00,000,1325.00
2016-12-30,1350.00,1350.00,1325.00,1325.00,7047000,1325.00
2016-12-29,1305.00,1350.00,1305.00,1340.00,11270100,1340.00
2016-12-28,1270.00,1350.00,1270.00,1320.00,12271100,1320.00
2016-12-27,1260.00,1290.00,1255.00,1270.00,5622100,1270.00
2016-12-26,1255.00,1255.00,1255.00,1255.00,000,1255.00
2016-12-23,1275.00,1305.00,1255.00,1255.00,11906000,1255.00
2016-12-22,1290.00,1320.00,1275.00,1300.00,16430700,1300.00
2016-12-21,1350.00,1360.00,1250.00,1250.00,18636200,1250.00
2016-12-20,1400.00,1410.00,1335.00,1350.00,15038100,1350.00
2016-12-19,1390.00,1415.00,1385.00,1400.00,13712400,1400.00
2016-12-16,1410.00,1410.00,1385.00,1395.00,22414900,1395.00
2016-12-15,1425.00,1425.00,1375.00,1395.00,16984400,1395.00
2016-12-14,1485.00,1485.00,1415.00,1420.00,11964300,1420.00
2016-12-13,1460.00,1490.00,1450.00,1485.00,10488700,1485.00
2016-12-12,1480.00,1480.00,1480.00,1480.00,000,1480.00
2016-12-09,1495.00,1495.00,1455.00,1480.00,7262800,1480.00
2016-12-08,1480.00,1500.00,1450.00,1495.00,16623400,1495.00
2016-12-07,1485.00,1485.00,1450.00,1465.00,7671500,1465.00
2016-12-06,1465.00,1465.00,1445.00,1465.00,6987400,1465.00
2016-12-05,1425.00,1465.00,1420.00,1445.00,17288200,1445.00
2016-12-02,1390.00,1435.00,1380.00,1425.00,13179000,1425.00
2016-12-01,1420.00,1420.00,1385.00,1385.00,10251300,1385.00
2016-11-30,1405.00,1420.00,1385.00,1415.00,28747000,1415.00
2016-11-29,1365.00,1400.00,1365.00,1390.00,24944600,1390.00
2016-11-28,1365.00,1365.00,1340.00,1360.00,7912400,1360.00
2016-11-25,1330.00,1370.00,1330.00,1370.00,7979000,1370.00
2016-11-24,1400.00,1400.00,1320.00,1320.00,26261100,1320.00
2016-11-23,1410.00,1415.00,1380.00,1400.00,21006400,1400.00
2016-11-22,1360.00,1410.00,1350.00,1395.00,16719400,1395.00
