Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,412.00,414.00,398.00,412.00,858500,412.00
2017-03-29,416.00,418.00,396.00,412.00,344900,412.00
2017-03-28,416.00,416.00,416.00,416.00,000,416.00
2017-03-27,416.00,422.00,402.00,416.00,346800,416.00
2017-03-24,396.00,422.00,382.00,420.00,1010300,420.00
2017-03-23,348.00,400.00,334.00,396.00,3127100,396.00
2017-03-22,350.00,350.00,318.00,348.00,546200,348.00
2017-03-21,296.00,362.00,290.00,352.00,1658600,352.00
2017-03-20,296.00,298.00,290.00,298.00,82300,298.00
2017-03-17,296.00,296.00,292.00,296.00,59200,296.00
2017-03-16,294.00,296.00,292.00,296.00,43000,296.00
2017-03-15,294.00,294.00,292.00,294.00,18400,294.00
2017-03-14,302.00,302.00,294.00,294.00,78900,294.00
2017-03-13,302.00,302.00,290.00,300.00,96200,300.00
2017-03-10,300.00,302.00,290.00,302.00,102400,302.00
2017-03-09,300.00,304.00,290.00,300.00,108600,300.00
2017-03-08,290.00,302.00,288.00,302.00,98900,302.00
2017-03-07,300.00,300.00,290.00,290.00,60400,290.00
2017-03-06,298.00,300.00,282.00,300.00,152300,300.00
2017-03-03,304.00,304.00,288.00,298.00,125700,298.00
2017-03-02,304.00,304.00,304.00,304.00,12400,304.00
2017-03-01,300.00,304.00,296.00,304.00,81700,304.00
2017-02-28,300.00,300.00,294.00,300.00,54900,300.00
2017-02-27,298.00,300.00,298.00,300.00,31100,300.00
2017-02-24,300.00,300.00,298.00,298.00,15000,298.00
2017-02-23,302.00,302.00,300.00,300.00,23900,300.00
2017-02-22,304.00,304.00,304.00,304.00,50000,304.00
2017-02-21,300.00,300.00,294.00,294.00,41500,294.00
2017-02-20,298.00,298.00,298.00,298.00,7000,298.00
2017-02-17,300.00,300.00,294.00,298.00,70200,298.00
2017-02-16,302.00,302.00,300.00,300.00,18700,300.00
2017-02-15,302.00,302.00,302.00,302.00,000,302.00
2017-02-14,302.00,302.00,302.00,302.00,10000,302.00
2017-02-13,300.00,302.00,296.00,302.00,30000,302.00
2017-02-10,304.00,306.00,298.00,300.00,46000,300.00
2017-02-09,318.00,318.00,298.00,304.00,142600,304.00
2017-02-08,320.00,322.00,298.00,318.00,255500,318.00
2017-02-07,320.00,322.00,320.00,320.00,900,320.00
2017-02-06,320.00,322.00,320.00,322.00,20000,322.00
2017-02-03,324.00,324.00,320.00,320.00,19400,320.00
2017-02-02,340.00,340.00,314.00,324.00,255700,324.00
2017-02-01,350.00,352.00,320.00,342.00,174000,342.00
2017-01-31,350.00,354.00,300.00,350.00,491500,350.00
2017-01-30,310.00,312.00,304.00,312.00,129400,312.00
2017-01-27,310.00,310.00,308.00,310.00,36700,310.00
2017-01-26,300.00,310.00,298.00,310.00,216600,310.00
2017-01-25,300.00,302.00,296.00,300.00,93400,300.00
2017-01-24,282.00,300.00,280.00,300.00,106900,300.00
2017-01-23,280.00,282.00,276.00,282.00,26300,282.00
2017-01-20,280.00,298.00,274.00,280.00,292800,280.00
2017-01-19,284.00,284.00,280.00,280.00,64800,280.00
2017-01-18,284.00,284.00,280.00,284.00,45700,284.00
2017-01-17,282.00,286.00,280.00,284.00,64100,284.00
2017-01-16,290.00,292.00,282.00,282.00,48000,282.00
2017-01-13,290.00,290.00,282.00,290.00,106600,290.00
2017-01-12,290.00,290.00,284.00,290.00,84200,290.00
2017-01-11,294.00,294.00,290.00,290.00,62400,290.00
2017-01-10,298.00,298.00,290.00,294.00,111300,294.00
2017-01-09,302.00,302.00,290.00,298.00,186600,298.00
2017-01-06,300.00,302.00,288.00,302.00,302800,302.00
2017-01-05,300.00,324.00,292.00,300.00,345900,300.00
2017-01-04,324.00,326.00,294.00,298.00,370000,298.00
2017-01-03,340.00,340.00,324.00,324.00,119400,324.00
2017-01-02,340.00,340.00,340.00,340.00,000,340.00
2016-12-30,342.00,350.00,332.00,340.00,2544200,340.00
2016-12-29,346.00,346.00,340.00,340.00,103000,340.00
2016-12-28,344.00,346.00,340.00,346.00,179300,346.00
2016-12-27,344.00,348.00,318.00,346.00,1577000,346.00
2016-12-26,344.00,344.00,344.00,344.00,000,344.00
2016-12-23,358.00,358.00,344.00,344.00,169800,344.00
2016-12-22,360.00,364.00,354.00,358.00,83500,358.00
2016-12-21,368.00,368.00,348.00,360.00,305900,360.00
2016-12-20,372.00,378.00,336.00,368.00,4711900,368.00
2016-12-19,376.00,384.00,342.00,372.00,1559700,372.00
