Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1065.00,1090.00,1060.00,1065.00,2962900,1065.00
2017-03-29,1045.00,1075.00,1040.00,1060.00,6304500,1060.00
2017-03-28,1040.00,1040.00,1040.00,1040.00,000,1040.00
2017-03-27,1040.00,1040.00,1030.00,1040.00,1626200,1040.00
2017-03-24,1030.00,1040.00,1025.00,1030.00,1765600,1030.00
2017-03-23,1020.00,1035.00,1015.00,1030.00,1437300,1030.00
2017-03-22,1010.00,1020.00,1000.00,1020.00,1545500,1020.00
2017-03-21,1020.00,1020.00,1010.00,1015.00,1549500,1015.00
2017-03-20,1030.00,1045.00,1020.00,1025.00,1732000,1025.00
2017-03-17,1005.00,1045.00,1000.00,1025.00,6813400,1025.00
2017-03-16,995.00,1015.00,995.00,1005.00,2227700,1005.00
2017-03-15,1005.00,1005.00,990.00,995.00,2716900,995.00
2017-03-14,985.00,1025.00,985.00,1005.00,4165100,1005.00
2017-03-13,980.00,980.00,960.00,980.00,1916500,980.00
2017-03-10,955.00,970.00,955.00,955.00,1946900,955.00
2017-03-09,950.00,955.00,945.00,950.00,2168500,950.00
2017-03-08,940.00,950.00,930.00,945.00,2185600,945.00
2017-03-07,945.00,950.00,940.00,940.00,2165100,940.00
2017-03-06,960.00,960.00,945.00,945.00,2286100,945.00
2017-03-03,975.00,980.00,955.00,960.00,2424800,960.00
2017-03-02,990.00,990.00,975.00,975.00,1440800,975.00
2017-03-01,980.00,990.00,975.00,985.00,1561100,985.00
2017-02-28,985.00,995.00,975.00,985.00,1951000,985.00
2017-02-27,990.00,1005.00,975.00,985.00,2083600,985.00
2017-02-24,980.00,1000.00,980.00,985.00,1787500,985.00
2017-02-23,980.00,995.00,975.00,975.00,1246300,975.00
2017-02-22,985.00,1000.00,975.00,975.00,1257800,975.00
2017-02-21,995.00,1005.00,980.00,990.00,1559300,990.00
2017-02-20,1000.00,1010.00,985.00,990.00,1868000,990.00
2017-02-17,1020.00,1020.00,995.00,995.00,1320000,995.00
2017-02-16,1030.00,1050.00,1020.00,1020.00,1445800,1020.00
2017-02-15,1030.00,1030.00,1030.00,1030.00,000,1030.00
2017-02-14,1040.00,1060.00,1020.00,1030.00,2212000,1030.00
2017-02-13,1000.00,1040.00,990.00,1040.00,2466800,1040.00
2017-02-10,1005.00,1025.00,995.00,1000.00,6097800,1000.00
2017-02-09,975.00,1005.00,975.00,1005.00,1520800,1005.00
2017-02-08,960.00,985.00,955.00,975.00,1276800,975.00
2017-02-07,960.00,1005.00,950.00,950.00,1082200,950.00
2017-02-06,930.00,1000.00,930.00,980.00,231000,980.00
2017-02-03,930.00,950.00,920.00,930.00,83400,930.00
2017-02-02,900.00,935.00,900.00,930.00,496900,930.00
2017-02-01,885.00,900.00,880.00,900.00,169700,900.00
2017-01-31,885.00,890.00,885.00,885.00,163100,885.00
2017-01-30,895.00,895.00,885.00,895.00,152700,895.00
2017-01-27,895.00,900.00,895.00,895.00,16800,895.00
2017-01-26,890.00,905.00,890.00,895.00,179600,895.00
2017-01-25,890.00,890.00,885.00,890.00,155800,890.00
2017-01-24,890.00,890.00,880.00,885.00,344500,885.00
2017-01-23,890.00,895.00,885.00,885.00,197400,885.00
2017-01-20,885.00,890.00,885.00,890.00,129300,890.00
2017-01-19,890.00,900.00,885.00,890.00,408500,890.00
2017-01-18,895.00,900.00,885.00,890.00,191500,890.00
2017-01-17,895.00,895.00,885.00,895.00,280500,895.00
2017-01-16,890.00,900.00,885.00,895.00,122400,895.00
2017-01-13,900.00,900.00,880.00,890.00,740000,890.00
2017-01-12,895.00,905.00,890.00,900.00,303700,900.00
2017-01-11,890.00,905.00,885.00,895.00,1085300,895.00
2017-01-10,890.00,905.00,885.00,890.00,724900,890.00
2017-01-09,910.00,910.00,885.00,890.00,555100,890.00
2017-01-06,905.00,920.00,900.00,910.00,724600,910.00
2017-01-05,870.00,950.00,865.00,900.00,8135700,900.00
2017-01-04,965.00,970.00,830.00,830.00,4657600,830.00
2017-01-03,980.00,980.00,965.00,965.00,68300,965.00
2017-01-02,980.00,980.00,980.00,980.00,000,980.00
2016-12-30,965.00,980.00,960.00,980.00,433400,980.00
2016-12-29,970.00,970.00,960.00,960.00,60100,960.00
2016-12-28,970.00,970.00,965.00,970.00,110400,970.00
2016-12-27,965.00,970.00,960.00,970.00,249500,970.00
2016-12-26,965.00,965.00,965.00,965.00,000,965.00
2016-12-23,975.00,975.00,960.00,965.00,136800,965.00
2016-12-22,975.00,975.00,965.00,970.00,244500,970.00
2016-12-21,970.00,970.00,955.00,970.00,201000,970.00
2016-12-20,980.00,980.00,965.00,970.00,111800,970.00
2016-12-19,975.00,980.00,885.00,980.00,270200,980.00
2016-12-16,975.00,985.00,975.00,980.00,992500,980.00
2016-12-15,980.00,980.00,965.00,975.00,1378700,975.00
2016-12-14,985.00,995.00,980.00,980.00,340700,980.00
2016-12-13,975.00,985.00,970.00,970.00,386100,970.00
2016-12-12,975.00,975.00,975.00,975.00,000,975.00
2016-12-09,985.00,995.00,970.00,975.00,370800,975.00
2016-12-08,1000.00,1000.00,975.00,980.00,213000,980.00
2016-12-07,985.00,985.00,970.00,975.00,435300,975.00
2016-12-06,1000.00,1005.00,985.00,985.00,500400,985.00
2016-12-05,1010.00,1015.00,995.00,1000.00,568200,1000.00
2016-12-02,1005.00,1020.00,1000.00,1015.00,325500,1015.00
2016-12-01,1005.00,1020.00,1000.00,1005.00,441800,1005.00
2016-11-30,1005.00,1010.00,1000.00,1005.00,321900,1005.00
2016-11-29,1015.00,1025.00,1010.00,1010.00,259100,1010.00
2016-11-28,1030.00,1035.00,1000.00,1010.00,434300,1010.00
2016-11-25,1010.00,1030.00,1010.00,1030.00,2986000,1030.00
2016-11-24,1005.00,1030.00,1005.00,1020.00,12400,1020.00
2016-11-23,1020.00,1020.00,1000.00,1000.00,25500,1000.00
2016-11-22,1015.00,1020.00,995.00,1020.00,10900,1020.00
2016-11-21,1000.00,1005.00,1000.00,1000.00,61600,1000.00
2016-11-18,1000.00,1000.00,990.00,1000.00,111500,1000.00
