Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1620.00,1620.00,1620.00,1620.00,000,1620.00
2017-03-29,1620.00,1620.00,1620.00,1620.00,200,1620.00
2017-03-28,1620.00,1620.00,1620.00,1620.00,000,1620.00
2017-03-27,1620.00,1670.00,1620.00,1620.00,400,1620.00
2017-03-24,1620.00,1620.00,1620.00,1620.00,000,1620.00
2017-03-23,1550.00,1680.00,1550.00,1620.00,500,1620.00
2017-03-22,1640.00,1680.00,1550.00,1550.00,300,1550.00
2017-03-21,1600.00,1600.00,1590.00,1590.00,200,1590.00
2017-03-20,1680.00,1680.00,1680.00,1680.00,000,1680.00
2017-03-17,1630.00,1680.00,1630.00,1680.00,300,1680.00
2017-03-16,1630.00,1630.00,1630.00,1630.00,100,1630.00
2017-03-15,1580.00,1580.00,1580.00,1580.00,100,1580.00
2017-03-14,1540.00,1540.00,1540.00,1540.00,100,1540.00
2017-03-13,1490.00,1490.00,1490.00,1490.00,200,1490.00
2017-03-10,1500.00,1500.00,1500.00,1500.00,300,1500.00
2017-03-09,1500.00,1500.00,1500.00,1500.00,000,1500.00
2017-03-08,1580.00,1580.00,1500.00,1500.00,100,1500.00
2017-03-07,1580.00,1580.00,1580.00,1580.00,000,1580.00
2017-03-06,1580.00,1580.00,1580.00,1580.00,000,1580.00
2017-03-03,1580.00,1580.00,1580.00,1580.00,000,1580.00
2017-03-02,1580.00,1580.00,1580.00,1580.00,100,1580.00
2017-03-01,1530.00,1530.00,1530.00,1530.00,000,1530.00
2017-02-28,1530.00,1530.00,1530.00,1530.00,000,1530.00
2017-02-27,1530.00,1530.00,1530.00,1530.00,100,1530.00
2017-02-24,1480.00,1480.00,1480.00,1480.00,000,1480.00
2017-02-23,1500.00,1500.00,1480.00,1480.00,600,1480.00
2017-02-22,1490.00,1490.00,1490.00,1490.00,000,1490.00
2017-02-21,1490.00,1490.00,1490.00,1490.00,000,1490.00
2017-02-20,1490.00,1490.00,1490.00,1490.00,700,1490.00
2017-02-17,1540.00,1540.00,1540.00,1540.00,000,1540.00
2017-02-16,1530.00,1580.00,1530.00,1540.00,300,1540.00
2017-02-15,1530.00,1530.00,1530.00,1530.00,000,1530.00
2017-02-14,1640.00,1640.00,1520.00,1530.00,500,1530.00
2017-02-13,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-02-10,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-02-09,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-02-08,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-02-07,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-02-06,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-02-03,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-02-02,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-02-01,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-31,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-30,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-27,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-26,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-25,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-24,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-23,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-20,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-19,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-18,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-17,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-16,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-13,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-12,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-11,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-10,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-09,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-06,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-05,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-04,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-03,1640.00,1640.00,1640.00,1640.00,000,1640.00
2017-01-02,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-30,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-29,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-28,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-27,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-26,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-23,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-22,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-21,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-20,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-19,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-16,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-15,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-14,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-13,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-12,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-09,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-08,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-07,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-06,1640.00,1640.00,1640.00,1640.00,000,1640.00
2016-12-05,1640.00,1640.00,1640.00,1640.00,1200,1640.00
2016-12-02,1650.00,1650.00,1650.00,1650.00,000,1650.00
2016-12-01,1650.00,1650.00,1650.00,1650.00,000,1650.00
