Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,3280.00,3300.00,3280.00,3280.00,309200,3280.00
2017-03-29,3290.00,3300.00,3280.00,3290.00,581700,3290.00
2017-03-28,3280.00,3280.00,3280.00,3280.00,000,3280.00
2017-03-27,3280.00,3290.00,3280.00,3280.00,29400,3280.00
2017-03-24,3290.00,3290.00,3280.00,3290.00,25700,3290.00
2017-03-23,3290.00,3300.00,3280.00,3290.00,12400,3290.00
2017-03-22,3290.00,3290.00,3280.00,3290.00,8200,3290.00
2017-03-21,3290.00,3290.00,3280.00,3290.00,58800,3290.00
2017-03-20,3320.00,3320.00,3280.00,3290.00,91400,3290.00
2017-03-17,3300.00,3300.00,3300.00,3300.00,74900,3300.00
2017-03-16,3290.00,3300.00,3270.00,3300.00,117300,3300.00
2017-03-15,3300.00,3320.00,3280.00,3280.00,34300,3280.00
2017-03-14,3370.00,3370.00,3300.00,3300.00,65600,3300.00
2017-03-13,3370.00,3400.00,3350.00,3370.00,177700,3370.00
2017-03-10,3380.00,3380.00,3360.00,3370.00,13500,3370.00
2017-03-09,3370.00,3380.00,3360.00,3370.00,20300,3370.00
2017-03-08,3380.00,3390.00,3380.00,3380.00,49500,3380.00
2017-03-07,3380.00,3380.00,3380.00,3380.00,500,3380.00
2017-03-06,3380.00,3380.00,3380.00,3380.00,6000,3380.00
2017-03-03,3400.00,3400.00,3380.00,3380.00,21600,3380.00
2017-03-02,3400.00,3400.00,3380.00,3380.00,67000,3380.00
2017-03-01,3420.00,3420.00,3330.00,3380.00,55500,3380.00
2017-02-28,3420.00,3420.00,3420.00,3420.00,6300,3420.00
2017-02-27,3430.00,3430.00,3420.00,3430.00,6200,3430.00
2017-02-24,3330.00,3430.00,3330.00,3430.00,4000,3430.00
2017-02-23,3420.00,3430.00,3420.00,3430.00,4500,3430.00
2017-02-22,3380.00,3430.00,3350.00,3430.00,12500,3430.00
2017-02-21,3430.00,3430.00,3380.00,3430.00,4000,3430.00
2017-02-20,3430.00,3430.00,3380.00,3430.00,11900,3430.00
2017-02-17,3430.00,3430.00,3430.00,3430.00,10900,3430.00
2017-02-16,3440.00,3450.00,3430.00,3430.00,30200,3430.00
2017-02-15,3440.00,3440.00,3440.00,3440.00,000,3440.00
2017-02-14,3440.00,3450.00,3430.00,3440.00,93500,3440.00
2017-02-13,3440.00,3450.00,3440.00,3440.00,18300,3440.00
2017-02-10,3430.00,3440.00,3430.00,3440.00,21900,3440.00
2017-02-09,3430.00,3460.00,3430.00,3430.00,151000,3430.00
2017-02-08,3430.00,3450.00,3430.00,3430.00,35000,3430.00
2017-02-07,3430.00,3500.00,3430.00,3430.00,35900,3430.00
2017-02-06,3490.00,3490.00,3430.00,3430.00,3400,3430.00
2017-02-03,3490.00,3490.00,3400.00,3490.00,1600,3490.00
2017-02-02,3490.00,3490.00,3490.00,3490.00,200,3490.00
2017-02-01,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-31,3500.00,3500.00,3440.00,3500.00,112500,3500.00
2017-01-30,3450.00,3450.00,3450.00,3450.00,000,3450.00
2017-01-27,3450.00,3450.00,3450.00,3450.00,16000,3450.00
2017-01-26,3450.00,3450.00,3250.00,3450.00,117300,3450.00
2017-01-25,3450.00,3450.00,3450.00,3450.00,11000,3450.00
2017-01-24,3450.00,3450.00,3450.00,3450.00,4500,3450.00
2017-01-23,3440.00,3450.00,3440.00,3450.00,44000,3450.00
2017-01-20,3430.00,3440.00,3430.00,3440.00,7500,3440.00
2017-01-19,3420.00,3430.00,3410.00,3430.00,16700,3430.00
2017-01-18,3450.00,3500.00,3410.00,3410.00,4900,3410.00
2017-01-17,3440.00,3450.00,3440.00,3450.00,13200,3450.00
2017-01-16,3440.00,3440.00,3400.00,3440.00,5600,3440.00
2017-01-13,3440.00,3440.00,3440.00,3440.00,2000,3440.00
2017-01-12,3440.00,3440.00,3440.00,3440.00,100,3440.00
2017-01-11,3440.00,3440.00,3440.00,3440.00,000,3440.00
2017-01-10,3440.00,3440.00,3440.00,3440.00,600,3440.00
2017-01-09,3450.00,3450.00,3360.00,3440.00,500,3440.00
