Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,165.00,168.00,165.00,165.00,1335600,165.00
2017-03-29,166.00,167.00,164.00,165.00,2284300,165.00
2017-03-28,166.00,166.00,166.00,166.00,000,166.00
2017-03-27,166.00,169.00,164.00,166.00,4566100,166.00
2017-03-24,170.00,170.00,162.00,163.00,6029600,163.00
2017-03-23,165.00,179.00,165.00,170.00,22523400,170.00
2017-03-22,168.00,168.00,165.00,165.00,589800,165.00
2017-03-21,168.00,169.00,165.00,166.00,1496000,166.00
2017-03-20,166.00,168.00,166.00,167.00,1028200,167.00
2017-03-17,166.00,166.00,164.00,165.00,1507000,165.00
2017-03-16,167.00,169.00,166.00,166.00,3737100,166.00
2017-03-15,168.00,168.00,165.00,166.00,2406900,166.00
2017-03-14,167.00,168.00,165.00,167.00,1917200,167.00
2017-03-13,166.00,168.00,164.00,166.00,2191900,166.00
2017-03-10,166.00,169.00,164.00,166.00,1854400,166.00
2017-03-09,164.00,168.00,163.00,164.00,4652800,164.00
2017-03-08,168.00,170.00,164.00,165.00,12845000,165.00
2017-03-07,170.00,172.00,166.00,168.00,3051300,168.00
2017-03-06,169.00,170.00,165.00,167.00,3817000,167.00
2017-03-03,170.00,170.00,166.00,168.00,3181500,168.00
2017-03-02,170.00,171.00,167.00,169.00,4659900,169.00
2017-03-01,175.00,179.00,166.00,168.00,5206900,168.00
2017-02-28,164.00,175.00,164.00,173.00,9617700,173.00
2017-02-27,165.00,166.00,161.00,164.00,3437200,164.00
2017-02-24,167.00,168.00,163.00,163.00,2844200,163.00
2017-02-23,166.00,168.00,164.00,167.00,2456000,167.00
2017-02-22,169.00,170.00,165.00,165.00,2812900,165.00
2017-02-21,170.00,175.00,168.00,168.00,5775900,168.00
2017-02-20,166.00,174.00,166.00,170.00,5481400,170.00
2017-02-17,165.00,170.00,164.00,166.00,2762500,166.00
2017-02-16,169.00,172.00,165.00,165.00,4915200,165.00
2017-02-15,169.00,169.00,169.00,169.00,000,169.00
2017-02-14,173.00,177.00,169.00,169.00,5639700,169.00
2017-02-13,175.00,179.00,173.00,173.00,5699600,173.00
2017-02-10,173.00,181.00,173.00,175.00,7268700,175.00
2017-02-09,172.00,179.00,171.00,173.00,8001600,173.00
2017-02-08,177.00,179.00,172.00,172.00,3784600,172.00
2017-02-07,178.00,181.00,176.00,177.00,2840100,177.00
2017-02-06,177.00,185.00,175.00,180.00,9229400,180.00
2017-02-03,182.00,189.00,177.00,177.00,7971800,177.00
2017-02-02,174.00,191.00,173.00,182.00,47355400,182.00
2017-02-01,173.00,181.00,173.00,173.00,9567000,173.00
2017-01-31,173.00,178.00,172.00,173.00,4205600,173.00
2017-01-30,173.00,176.00,172.00,172.00,7390600,172.00
2017-01-27,175.00,178.00,171.00,173.00,4254100,173.00
2017-01-26,171.00,182.00,169.00,174.00,11123600,174.00
2017-01-25,175.00,175.00,170.00,171.00,5861100,171.00
2017-01-24,173.00,177.00,170.00,172.00,4227800,172.00
2017-01-23,179.00,179.00,172.00,172.00,7095200,172.00
2017-01-20,188.00,189.00,178.00,179.00,15685200,179.00
2017-01-19,173.00,195.00,173.00,186.00,71953500,186.00
2017-01-18,169.00,179.00,169.00,172.00,73963900,172.00
2017-01-17,165.00,173.00,161.00,169.00,6357200,169.00
2017-01-16,166.00,168.00,161.00,165.00,4689900,165.00
2017-01-13,166.00,170.00,164.00,166.00,5364300,166.00
2017-01-12,171.00,173.00,166.00,169.00,3723200,169.00
2017-01-11,170.00,172.00,169.00,171.00,2833900,171.00
2017-01-10,173.00,174.00,169.00,170.00,4689200,170.00
2017-01-09,172.00,178.00,169.00,173.00,16559700,173.00
2017-01-06,170.00,174.00,168.00,172.00,7304400,172.00
2017-01-05,165.00,174.00,165.00,169.00,13061700,169.00
2017-01-04,162.00,169.00,162.00,165.00,10690800,165.00
2017-01-03,170.00,170.00,162.00,162.00,15483600,162.00
2017-01-02,170.00,170.00,170.00,170.00,000,170.00
2016-12-30,174.00,177.00,169.00,170.00,9517000,170.00
2016-12-29,171.00,180.00,170.00,172.00,22145800,172.00
2016-12-28,175.00,177.00,169.00,170.00,8931600,170.00
2016-12-27,164.00,187.00,160.00,172.00,51041000,172.00
2016-12-26,166.00,166.00,166.00,166.00,000,166.00
2016-12-23,168.00,175.00,165.00,166.00,10318500,166.00
2016-12-22,184.00,188.00,166.00,168.00,43259800,168.00
2016-12-21,204.00,214.00,184.00,184.00,74615400,184.00
2016-12-20,206.00,240.00,200.00,204.00,332408500,204.00
2016-12-19,160.00,206.00,158.00,206.00,306194700,206.00
2016-12-16,155.00,156.00,153.00,153.00,3844600,153.00
2016-12-15,155.00,159.00,152.00,155.00,9770600,155.00
2016-12-14,154.00,158.00,152.00,152.00,6283500,152.00
2016-12-13,154.00,156.00,151.00,154.00,3390200,154.00
2016-12-12,154.00,154.00,154.00,154.00,000,154.00
2016-12-09,153.00,157.00,151.00,154.00,4308300,154.00
2016-12-08,152.00,153.00,150.00,152.00,1959300,152.00
2016-12-07,153.00,155.00,152.00,152.00,3287700,152.00
2016-12-06,156.00,157.00,153.00,153.00,1681000,153.00
2016-12-05,153.00,157.00,152.00,156.00,2220700,156.00
2016-12-02,154.00,157.00,152.00,155.00,6032200,155.00
2016-12-01,155.00,158.00,154.00,154.00,2619400,154.00
2016-11-30,161.00,161.00,155.00,155.00,3872300,155.00
2016-11-29,161.00,161.00,155.00,157.00,3197000,157.00
2016-11-28,158.00,163.00,153.00,155.00,3191900,155.00
2016-11-25,165.00,165.00,156.00,158.00,5933100,158.00
2016-11-24,157.00,171.00,156.00,161.00,19188100,161.00
2016-11-23,155.00,168.00,154.00,156.00,21276900,156.00
2016-11-22,159.00,159.00,154.00,155.00,6321100,155.00
2016-11-21,156.00,163.00,154.00,155.00,9922700,155.00
2016-11-18,156.00,160.00,154.00,156.00,7556300,156.00
2016-11-17,160.00,160.00,153.00,156.00,3416100,156.00
2016-11-16,158.00,162.00,153.00,157.00,17012700,157.00
2016-11-15,162.00,165.00,145.00,158.00,7628200,158.00
2016-11-14,165.00,170.00,152.00,161.00,11536600,161.00
2016-11-11,166.00,168.00,160.00,161.00,5860000,161.00
2016-11-10,170.00,171.00,166.00,166.00,2039500,166.00
2016-11-09,170.00,170.00,167.00,167.00,2775400,167.00
2016-11-08,168.00,175.00,167.00,171.00,4386800,171.00
2016-11-07,167.00,170.00,167.00,167.00,1464500,167.00
2016-11-04,165.00,170.00,165.00,167.00,1819900,167.00
2016-11-03,169.00,174.00,165.00,165.00,4153000,165.00
2016-11-02,173.00,173.00,168.00,168.00,3103000,168.00
2016-11-01,173.00,180.00,169.00,171.00,6951400,171.00
2016-10-31,171.00,185.00,171.00,173.00,13140600,173.00
2016-10-28,174.00,177.00,170.00,171.00,5012100,171.00
2016-10-27,179.00,179.00,172.00,176.00,4741600,176.00
2016-10-26,180.00,183.00,174.00,176.00,4738900,176.00
2016-10-25,178.00,193.00,177.00,180.00,20347100,180.00
2016-10-24,173.00,180.00,172.00,177.00,5149400,177.00
2016-10-21,173.00,176.00,172.00,173.00,1152800,173.00
2016-10-20,176.00,176.00,171.00,173.00,3481200,173.00
2016-10-19,174.00,177.00,173.00,175.00,1474800,175.00
2016-10-18,176.00,178.00,173.00,174.00,2085500,174.00
2016-10-17,177.00,180.00,173.00,176.00,1568400,176.00
2016-10-14,173.00,179.00,172.00,175.00,2208100,175.00
2016-10-13,176.00,179.00,172.00,172.00,2035600,172.00
2016-10-12,177.00,180.00,172.00,176.00,3064200,176.00
2016-10-11,184.00,188.00,176.00,176.00,4970800,176.00
2016-10-10,188.00,192.00,183.00,184.00,6397000,184.00
2016-10-07,186.00,196.00,186.00,188.00,5792900,188.00
2016-10-06,185.00,190.00,182.00,185.00,4447600,185.00
2016-10-05,197.00,197.00,185.00,185.00,8042000,185.00
2016-10-04,199.00,202.00,188.00,197.00,11190600,197.00
2016-10-03,196.00,208.00,190.00,199.00,32662700,199.00
2016-09-30,179.00,210.00,179.00,196.00,90067000,196.00
2016-09-29,167.00,185.00,167.00,179.00,29162200,179.00
2016-09-28,177.00,178.00,169.00,170.00,11102100,170.00
2016-09-27,154.00,181.00,154.00,176.00,55817200,176.00
2016-09-26,159.00,160.00,153.00,154.00,6918200,154.00
2016-09-23,159.00,163.00,157.00,159.00,5345500,159.00
2016-09-22,160.00,164.00,160.00,161.00,7550500,161.00
2016-09-21,160.00,164.00,159.00,160.00,8568100,160.00
2016-09-20,164.00,165.00,160.00,162.00,1876000,162.00
2016-09-19,165.00,167.00,162.00,163.00,1301300,163.00
2016-09-16,164.00,174.00,161.00,164.00,8793900,164.00
2016-09-15,159.00,168.00,159.00,164.00,3707000,164.00
2016-09-14,165.00,166.00,158.00,159.00,4142200,159.00
2016-09-13,168.00,171.00,163.00,164.00,8061900,164.00
2016-09-12,171.00,171.00,171.00,171.00,000,171.00
2016-09-09,173.00,174.00,169.00,171.00,5803000,171.00
2016-09-08,175.00,178.00,168.00,170.00,9942000,170.00
2016-09-07,180.00,181.00,170.00,172.00,7589200,172.00
2016-09-06,183.00,183.00,174.00,175.00,3696000,175.00
2016-09-05,186.00,186.00,178.00,179.00,3038700,179.00
2016-09-02,184.00,191.00,181.00,182.00,7878800,182.00
2016-09-01,186.00,189.00,183.00,183.00,1679200,183.00
2016-08-31,187.00,192.00,184.00,186.00,12474300,186.00
2016-08-30,188.00,194.00,177.00,187.00,18785500,187.00
2016-08-29,196.00,197.00,186.00,186.00,10247600,186.00
