Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,270.00,312.00,270.00,270.00,3977700,270.00
2017-03-29,320.00,360.00,298.00,304.00,10518100,304.00
2017-03-28,296.00,296.00,296.00,296.00,000,296.00
2017-03-27,296.00,296.00,238.00,296.00,7670300,296.00
2017-03-24,224.00,246.00,224.00,238.00,1861200,238.00
2017-03-23,210.00,222.00,202.00,222.00,454100,222.00
2017-03-22,224.00,228.00,196.00,210.00,1165400,210.00
2017-03-21,220.00,258.00,216.00,224.00,5880300,224.00
2017-03-20,159.00,212.00,158.00,212.00,6551100,212.00
2017-03-17,145.00,175.00,144.00,158.00,3395300,158.00
2017-03-16,149.00,149.00,141.00,145.00,358900,145.00
2017-03-15,150.00,150.00,145.00,146.00,20200,146.00
2017-03-14,150.00,150.00,138.00,146.00,59300,146.00
2017-03-13,145.00,148.00,140.00,145.00,53200,145.00
2017-03-10,150.00,150.00,141.00,145.00,9600,145.00
2017-03-09,145.00,145.00,140.00,145.00,1031700,145.00
2017-03-08,145.00,145.00,140.00,145.00,500,145.00
2017-03-07,145.00,145.00,141.00,145.00,100200,145.00
2017-03-06,150.00,150.00,138.00,145.00,107200,145.00
2017-03-03,152.00,152.00,141.00,145.00,228500,145.00
2017-03-02,148.00,152.00,142.00,143.00,557200,143.00
2017-03-01,148.00,154.00,141.00,142.00,208100,142.00
2017-02-28,146.00,153.00,144.00,150.00,6700,150.00
2017-02-27,155.00,155.00,146.00,146.00,285300,146.00
2017-02-24,149.00,154.00,145.00,148.00,495900,148.00
2017-02-23,138.00,150.00,138.00,148.00,1205200,148.00
2017-02-22,138.00,138.00,138.00,138.00,7100,138.00
2017-02-21,139.00,139.00,137.00,138.00,2900,138.00
2017-02-20,138.00,142.00,136.00,140.00,102100,140.00
2017-02-17,133.00,136.00,132.00,136.00,81000,136.00
2017-02-16,137.00,138.00,130.00,133.00,259800,133.00
2017-02-15,137.00,137.00,137.00,137.00,000,137.00
2017-02-14,132.00,146.00,128.00,137.00,990200,137.00
2017-02-13,137.00,138.00,132.00,132.00,173400,132.00
2017-02-10,129.00,140.00,126.00,137.00,1131400,137.00
2017-02-09,125.00,129.00,125.00,129.00,211400,129.00
2017-02-08,124.00,127.00,124.00,125.00,7500,125.00
2017-02-07,125.00,125.00,124.00,124.00,107700,124.00
