Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,91.00,91.00,83.00,91.00,6249500,91.00
2017-03-29,85.00,89.00,83.00,83.00,1875100,83.00
2017-03-28,85.00,85.00,85.00,85.00,000,85.00
2017-03-27,85.00,86.00,83.00,85.00,815000,85.00
2017-03-24,84.00,87.00,84.00,85.00,52700,85.00
2017-03-23,87.00,87.00,83.00,86.00,173200,86.00
2017-03-22,88.00,88.00,85.00,87.00,120800,87.00
2017-03-21,87.00,89.00,85.00,88.00,1044600,88.00
2017-03-20,83.00,86.00,83.00,85.00,243100,85.00
2017-03-17,83.00,83.00,82.00,83.00,199100,83.00
2017-03-16,82.00,84.00,82.00,83.00,306200,83.00
2017-03-15,81.00,83.00,81.00,82.00,975000,82.00
2017-03-14,85.00,85.00,81.00,81.00,469800,81.00
2017-03-13,83.00,87.00,79.00,87.00,1689000,87.00
2017-03-10,82.00,88.00,82.00,83.00,174100,83.00
2017-03-09,85.00,91.00,83.00,85.00,948100,85.00
2017-03-08,91.00,94.00,88.00,91.00,2069100,91.00
2017-03-07,82.00,94.00,82.00,91.00,14701600,91.00
2017-03-06,79.00,82.00,79.00,82.00,1405300,82.00
2017-03-03,81.00,81.00,79.00,81.00,276000,81.00
2017-03-02,78.00,83.00,78.00,82.00,415000,82.00
2017-03-01,82.00,82.00,81.00,81.00,172600,81.00
2017-02-28,82.00,85.00,79.00,81.00,249500,81.00
2017-02-27,82.00,82.00,82.00,82.00,601200,82.00
2017-02-24,81.00,83.00,80.00,81.00,1128600,81.00
2017-02-23,82.00,83.00,79.00,80.00,12218000,80.00
2017-02-22,85.00,85.00,81.00,81.00,480900,81.00
2017-02-21,82.00,83.00,80.00,82.00,3308300,82.00
2017-02-20,82.00,83.00,80.00,81.00,667000,81.00
2017-02-17,85.00,89.00,81.00,81.00,2740900,81.00
2017-02-16,81.00,87.00,76.00,85.00,6291500,85.00
2017-02-15,81.00,81.00,81.00,81.00,000,81.00
2017-02-14,80.00,83.00,78.00,81.00,2653300,81.00
2017-02-13,80.00,81.00,76.00,80.00,12708500,80.00
2017-02-10,84.00,112.00,78.00,80.00,131486900,80.00
2017-02-09,85.00,85.00,83.00,84.00,3876300,84.00
