Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,312.00,314.00,312.00,312.00,3400,312.00
2017-03-29,300.00,300.00,300.00,300.00,100,300.00
2017-03-28,310.00,310.00,310.00,310.00,000,310.00
2017-03-27,310.00,310.00,310.00,310.00,100,310.00
2017-03-24,300.00,300.00,300.00,300.00,125000,300.00
2017-03-23,310.00,318.00,310.00,310.00,57600,310.00
2017-03-22,310.00,310.00,310.00,310.00,300,310.00
2017-03-21,310.00,310.00,310.00,310.00,2500,310.00
2017-03-20,310.00,310.00,308.00,308.00,200,308.00
2017-03-17,300.00,300.00,300.00,300.00,000,300.00
2017-03-16,300.00,300.00,300.00,300.00,205500,300.00
2017-03-15,300.00,300.00,300.00,300.00,100000,300.00
2017-03-14,300.00,300.00,300.00,300.00,000,300.00
2017-03-13,300.00,300.00,300.00,300.00,150000,300.00
2017-03-10,300.00,300.00,300.00,300.00,000,300.00
2017-03-09,300.00,300.00,300.00,300.00,000,300.00
2017-03-08,304.00,304.00,300.00,300.00,50000,300.00
2017-03-07,304.00,304.00,304.00,304.00,200,304.00
2017-03-06,304.00,304.00,300.00,300.00,50000,300.00
2017-03-03,310.00,310.00,310.00,310.00,4300,310.00
2017-03-02,310.00,310.00,300.00,300.00,101700,300.00
2017-03-01,308.00,308.00,308.00,308.00,000,308.00
2017-02-28,308.00,308.00,308.00,308.00,1000,308.00
2017-02-27,310.00,310.00,310.00,310.00,000,310.00
2017-02-24,310.00,310.00,310.00,310.00,000,310.00
2017-02-23,310.00,310.00,310.00,310.00,000,310.00
2017-02-22,310.00,310.00,310.00,310.00,100,310.00
2017-02-21,300.00,300.00,300.00,300.00,000,300.00
2017-02-20,300.00,300.00,300.00,300.00,75100,300.00
2017-02-17,302.00,302.00,300.00,300.00,5000,300.00
2017-02-16,302.00,302.00,302.00,302.00,100,302.00
2017-02-15,302.00,302.00,302.00,302.00,000,302.00
2017-02-14,302.00,302.00,300.00,302.00,183600,302.00
