Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,181.00,181.00,179.00,181.00,5752000,181.00
2017-03-29,179.00,181.00,178.00,181.00,5723300,181.00
2017-03-28,179.00,179.00,179.00,179.00,000,179.00
2017-03-27,179.00,179.00,173.00,179.00,6573800,179.00
2017-03-24,171.00,173.00,171.00,173.00,5574200,173.00
2017-03-23,171.00,171.00,169.00,171.00,6114700,171.00
2017-03-22,172.00,172.00,170.00,171.00,5750900,171.00
2017-03-21,170.00,173.00,170.00,172.00,5691600,172.00
2017-03-20,170.00,172.00,169.00,170.00,6376200,170.00
2017-03-17,174.00,174.00,170.00,170.00,5843100,170.00
2017-03-16,175.00,177.00,174.00,174.00,5432500,174.00
2017-03-15,175.00,176.00,174.00,175.00,5946000,175.00
2017-03-14,175.00,177.00,174.00,175.00,5034700,175.00
2017-03-13,175.00,178.00,175.00,175.00,7077900,175.00
2017-03-10,176.00,177.00,174.00,175.00,5753200,175.00
2017-03-09,176.00,176.00,175.00,176.00,5527400,176.00
2017-03-08,174.00,176.00,172.00,176.00,6627700,176.00
2017-03-07,173.00,174.00,171.00,174.00,5994600,174.00
2017-03-06,173.00,175.00,173.00,173.00,6024100,173.00
2017-03-03,174.00,174.00,171.00,173.00,5778200,173.00
2017-03-02,173.00,174.00,172.00,174.00,6281000,174.00
2017-03-01,173.00,173.00,171.00,173.00,5555300,173.00
2017-02-28,173.00,174.00,172.00,173.00,6468100,173.00
2017-02-27,174.00,175.00,172.00,173.00,5497600,173.00
2017-02-24,172.00,175.00,172.00,174.00,6019400,174.00
2017-02-23,171.00,172.00,170.00,172.00,6070000,172.00
2017-02-22,171.00,171.00,170.00,171.00,6039700,171.00
2017-02-21,171.00,172.00,170.00,171.00,5153200,171.00
2017-02-20,170.00,172.00,170.00,171.00,6255800,171.00
2017-02-17,170.00,171.00,169.00,170.00,6057800,170.00
2017-02-16,170.00,172.00,169.00,170.00,5997500,170.00
2017-02-15,170.00,170.00,170.00,170.00,000,170.00
2017-02-14,170.00,172.00,169.00,170.00,6016700,170.00
