Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,800.00,800.00,800.00,800.00,000,800.00
2017-03-29,800.00,800.00,800.00,800.00,000,800.00
2017-03-28,800.00,800.00,800.00,800.00,000,800.00
2017-03-27,800.00,800.00,800.00,800.00,000,800.00
2017-03-24,800.00,800.00,800.00,800.00,000,800.00
2017-03-23,800.00,800.00,800.00,800.00,000,800.00
2017-03-22,800.00,800.00,800.00,800.00,000,800.00
2017-03-21,800.00,800.00,800.00,800.00,000,800.00
2017-03-20,800.00,800.00,800.00,800.00,000,800.00
2017-03-17,800.00,800.00,800.00,800.00,000,800.00
2017-03-16,800.00,800.00,800.00,800.00,000,800.00
2017-03-15,800.00,800.00,800.00,800.00,000,800.00
2017-03-14,800.00,800.00,800.00,800.00,000,800.00
2017-03-13,800.00,800.00,800.00,800.00,000,800.00
2017-03-10,800.00,800.00,800.00,800.00,000,800.00
2017-03-09,800.00,800.00,800.00,800.00,000,800.00
2017-03-08,800.00,800.00,800.00,800.00,000,800.00
2017-03-07,800.00,800.00,800.00,800.00,000,800.00
2017-03-06,800.00,800.00,800.00,800.00,000,800.00
2017-03-03,800.00,800.00,800.00,800.00,000,800.00
2017-03-02,800.00,800.00,800.00,800.00,000,800.00
2017-03-01,800.00,800.00,800.00,800.00,000,800.00
2017-02-28,800.00,800.00,800.00,800.00,000,800.00
2017-02-27,800.00,800.00,800.00,800.00,000,800.00
2017-02-24,800.00,800.00,800.00,800.00,000,800.00
2017-02-23,800.00,800.00,800.00,800.00,000,800.00
2017-02-22,800.00,800.00,800.00,800.00,000,800.00
2017-02-21,800.00,800.00,800.00,800.00,000,800.00
2017-02-20,800.00,800.00,800.00,800.00,000,800.00
2017-02-17,800.00,800.00,800.00,800.00,000,800.00
2017-02-16,800.00,800.00,800.00,800.00,000,800.00
2017-02-15,800.00,800.00,800.00,800.00,000,800.00
2017-02-14,800.00,800.00,800.00,800.00,000,800.00
2017-02-13,800.00,800.00,800.00,800.00,000,800.00
2017-02-10,800.00,800.00,800.00,800.00,000,800.00
2017-02-09,750.00,930.00,750.00,800.00,400,800.00
2017-02-08,750.00,750.00,750.00,750.00,000,750.00
2017-02-07,750.00,750.00,750.00,750.00,000,750.00
2017-02-06,750.00,750.00,750.00,750.00,000,750.00
2017-02-03,750.00,750.00,750.00,750.00,000,750.00
2017-02-02,750.00,750.00,750.00,750.00,000,750.00
2017-02-01,730.00,750.00,730.00,750.00,100,750.00
2017-01-31,730.00,730.00,730.00,730.00,000,730.00
2017-01-30,730.00,730.00,730.00,730.00,000,730.00
2017-01-27,730.00,730.00,730.00,730.00,000,730.00
2017-01-26,675.00,760.00,675.00,730.00,1100,730.00
2017-01-25,675.00,675.00,675.00,675.00,000,675.00
2017-01-24,830.00,830.00,675.00,675.00,5700,675.00
2017-01-23,840.00,840.00,840.00,840.00,000,840.00
2017-01-20,840.00,840.00,840.00,840.00,000,840.00
2017-01-19,840.00,840.00,840.00,840.00,000,840.00
2017-01-18,840.00,840.00,840.00,840.00,000,840.00
2017-01-17,840.00,840.00,840.00,840.00,000,840.00
2017-01-16,840.00,840.00,840.00,840.00,000,840.00
2017-01-13,840.00,840.00,840.00,840.00,000,840.00
2017-01-12,840.00,840.00,840.00,840.00,000,840.00
2017-01-11,840.00,840.00,840.00,840.00,000,840.00
2017-01-10,840.00,840.00,840.00,840.00,000,840.00
2017-01-09,840.00,840.00,840.00,840.00,000,840.00
2017-01-06,840.00,840.00,840.00,840.00,000,840.00
2017-01-05,840.00,840.00,840.00,840.00,000,840.00
2017-01-04,840.00,840.00,840.00,840.00,000,840.00
2017-01-03,840.00,840.00,840.00,840.00,000,840.00
2017-01-02,840.00,840.00,840.00,840.00,000,840.00
2016-12-30,840.00,840.00,840.00,840.00,100,840.00
2016-12-29,930.00,930.00,930.00,930.00,000,930.00
2016-12-28,930.00,930.00,930.00,930.00,000,930.00
2016-12-27,930.00,930.00,930.00,930.00,000,930.00
2016-12-26,930.00,930.00,930.00,930.00,000,930.00
2016-12-23,930.00,930.00,930.00,930.00,000,930.00
2016-12-22,930.00,930.00,930.00,930.00,000,930.00
2016-12-21,930.00,930.00,930.00,930.00,000,930.00
2016-12-20,930.00,930.00,930.00,930.00,000,930.00
2016-12-19,930.00,930.00,930.00,930.00,000,930.00
2016-12-16,930.00,930.00,930.00,930.00,000,930.00
2016-12-15,930.00,930.00,930.00,930.00,000,930.00
2016-12-14,930.00,930.00,930.00,930.00,000,930.00
2016-12-13,930.00,930.00,930.00,930.00,000,930.00
2016-12-12,930.00,930.00,930.00,930.00,000,930.00
2016-12-09,930.00,930.00,930.00,930.00,000,930.00
2016-12-08,930.00,930.00,930.00,930.00,000,930.00
2016-12-07,1150.00,1150.00,930.00,930.00,1600,930.00
2016-12-06,930.00,930.00,930.00,930.00,000,930.00
2016-12-05,930.00,930.00,930.00,930.00,000,930.00
2016-12-02,930.00,930.00,930.00,930.00,000,930.00
2016-12-01,930.00,930.00,930.00,930.00,000,930.00
2016-11-30,930.00,930.00,930.00,930.00,000,930.00
2016-11-29,930.00,930.00,930.00,930.00,000,930.00
2016-11-28,930.00,930.00,930.00,930.00,000,930.00
2016-11-25,930.00,930.00,930.00,930.00,000,930.00
2016-11-24,930.00,930.00,930.00,930.00,000,930.00
2016-11-23,930.00,930.00,930.00,930.00,000,930.00
2016-11-22,930.00,930.00,930.00,930.00,100,930.00
2016-11-21,930.00,930.00,930.00,930.00,000,930.00
2016-11-18,930.00,930.00,930.00,930.00,000,930.00
2016-11-17,930.00,930.00,930.00,930.00,100,930.00
2016-11-16,880.00,880.00,880.00,880.00,000,880.00
2016-11-15,880.00,880.00,880.00,880.00,100,880.00
2016-11-14,715.00,715.00,715.00,715.00,000,715.00
2016-11-11,715.00,715.00,715.00,715.00,100,715.00
2016-11-10,695.00,695.00,695.00,695.00,100,695.00
2016-11-09,525.00,695.00,525.00,695.00,4300,695.00
2016-11-08,580.00,580.00,575.00,575.00,300,575.00
2016-11-07,620.00,640.00,600.00,600.00,400,600.00
2016-11-04,650.00,650.00,620.00,620.00,400,620.00
2016-11-03,650.00,650.00,650.00,650.00,200,650.00
2016-11-02,700.00,700.00,700.00,700.00,000,700.00
2016-11-01,700.00,700.00,700.00,700.00,000,700.00
2016-10-31,700.00,700.00,700.00,700.00,000,700.00
2016-10-28,700.00,700.00,700.00,700.00,000,700.00
2016-10-27,700.00,700.00,700.00,700.00,000,700.00
2016-10-26,700.00,700.00,700.00,700.00,000,700.00
2016-10-25,700.00,700.00,700.00,700.00,000,700.00
2016-10-24,700.00,700.00,700.00,700.00,000,700.00
2016-10-21,700.00,700.00,700.00,700.00,000,700.00
2016-10-20,700.00,700.00,700.00,700.00,000,700.00
2016-10-19,700.00,700.00,700.00,700.00,200,700.00
2016-10-18,715.00,715.00,715.00,715.00,000,715.00
2016-10-17,715.00,715.00,715.00,715.00,000,715.00
2016-10-14,715.00,715.00,715.00,715.00,000,715.00
2016-10-13,715.00,715.00,715.00,715.00,000,715.00
2016-10-12,715.00,715.00,715.00,715.00,000,715.00
2016-10-11,715.00,715.00,715.00,715.00,000,715.00
2016-10-10,715.00,715.00,715.00,715.00,000,715.00
2016-10-07,715.00,715.00,715.00,715.00,000,715.00
2016-10-06,715.00,715.00,715.00,715.00,000,715.00
2016-10-05,715.00,715.00,715.00,715.00,000,715.00
2016-10-04,780.00,780.00,715.00,715.00,100,715.00
2016-10-03,780.00,780.00,780.00,780.00,000,780.00
2016-09-30,780.00,780.00,780.00,780.00,000,780.00
2016-09-29,735.00,780.00,735.00,780.00,200,780.00
2016-09-28,700.00,700.00,700.00,700.00,100,700.00
2016-09-27,775.00,775.00,735.00,735.00,700,735.00
